subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
13	1	1	999	1	0	1	2	-1000	3	2	262762	263767	2	2	1	0	265517	1750	0	0	0
13	1	1	999	2	0	1	2	1000	4	3	267777	268782	4	3	0	0	270208	1426	0	0	0
13	1	1	999	3	0	1	2	1000	4	3	272809	273814	4	3	0	0	274905	1091	0	0	0
13	1	1	999	4	0	1	2	1000	1	3	277821	278826	4	3	2	5	281433	2607	4	281433	2607
13	1	1	999	5	0	1	2	1000	2	1	282839	283844	1	1	0	0	284504	660	0	0	0
13	1	1	999	1	0	1	2	-1000	3	1	48117	49122	4	3	0	1	49765	643	0	0	0
13	1	1	999	2	0	1	2	-1000	3	4	52132	53137	4	3	0	1	53715	578	0	0	0
13	1	1	999	3	0	1	2	1000	2	3	56147	57152	2	2	1	1	57769	617	0	0	0
13	1	1	999	4	0	1	2	1000	1	3	60161	61166	1	1	1	1	61820	654	0	0	0
13	1	1	999	5	0	1	2	1000	2	1	64173	65178	2	2	1	1	65908	730	0	0	0
13	1	0	1	1	0	1	2	-110	1	2	85671	85786	1	1	2	7	86608	822	0	0	0
13	1	0	2	2	0	1	2	-300	3	2	88803	89108	4	3	0	1	89672	564	0	0	0
13	1	0	3	3	0	1	2	300	2	3	92135	92440	2	2	1	1	93022	582	0	0	0
13	1	0	4	4	0	1	2	-300	3	4	95450	95755	4	3	0	1	96260	505	0	0	0
13	1	0	5	5	0	1	2	-300	4	2	98764	99069	3	4	0	1	99493	424	0	0	0
13	1	0	6	6	0	1	2	300	4	3	102082	102387	3	4	1	1	102944	557	0	0	0
13	1	0	7	7	0	1	2	300	2	1	105414	105719	2	2	1	1	106292	573	0	0	0
13	1	0	8	8	0	1	2	300	4	1	108747	109052	4	3	2	6	109579	527	0	0	0
13	1	0	9	9	0	1	2	-50	3	4	112079	112134	4	3	0	1	113063	929	0	0	0
13	1	0	10	10	0	1	2	110	4	3	115161	115276	3	4	1	1	116292	1016	0	0	0
13	1	0	11	11	0	1	2	-110	3	2	118293	118408	4	3	0	1	119034	626	0	0	0
13	1	0	12	12	0	1	2	-110	3	1	121426	121541	4	3	0	1	122453	912	0	0	0
