subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
22	1	1	999	1	0	2	1	1000	2	4	118494	119499	1	2	1	1	120809	1310	0	0	0
22	1	1	999	2	0	2	1	-1000	3	4	122510	123515	0	0	2	2	0	0	0	0	0
22	1	1	999	3	0	2	1	1000	2	3	127525	128530	1	2	1	1	130231	1701	0	0	0
22	1	1	999	4	0	2	1	-1000	4	2	131538	132543	4	4	0	1	133648	1105	0	0	0
22	1	1	999	5	0	2	1	-1000	3	1	135556	136561	2	1	1	0	137193	632	0	0	0
22	1	0	1	1	0	2	1	300	1	3	190421	190726	2	1	2	7	191484	758	0	0	0
22	1	0	2	2	0	2	1	-110	4	2	193737	193852	4	4	0	1	194680	828	0	0	0
22	1	0	3	3	0	2	1	-50	3	1	196869	196924	2	1	1	0	197827	903	0	0	0
22	1	0	4	4	0	2	1	-110	1	4	199934	200049	2	1	0	1	200705	656	0	0	0
22	1	0	5	5	0	2	1	-50	3	2	203067	203122	3	3	0	1	203934	812	0	0	0
22	1	0	6	6	0	2	1	110	2	4	206149	206264	1	2	1	1	206894	630	0	0	0
22	1	0	7	7	0	2	1	-50	1	2	209282	209337	1	2	1	0	210622	1285	0	0	0
22	1	0	8	8	0	2	1	-300	1	4	212364	212669	2	1	0	1	213342	673	0	0	0
22	1	0	9	9	0	2	1	-300	3	4	215696	216001	3	3	0	1	216719	718	0	0	0
22	1	0	10	10	0	2	1	50	2	1	219029	219084	2	1	0	0	220299	1215	0	0	0
22	1	0	11	11	0	2	1	110	1	3	222111	222226	2	1	1	1	223194	968	0	0	0
22	1	0	12	12	0	2	1	110	2	3	225243	225358	1	2	1	1	225917	559	0	0	0
22	1	0	13	13	0	2	1	110	2	1	228376	228491	1	2	1	1	229861	1370	0	0	0
22	1	0	14	14	0	2	1	300	2	4	231508	231813	1	2	1	1	232572	759	0	0	0
22	1	0	15	15	0	2	1	50	1	3	234840	234895	2	1	1	1	235675	780	0	0	0
22	1	0	16	16	0	2	1	300	2	3	237923	238228	3	3	0	0	238841	613	0	0	0
22	1	0	17	17	0	2	1	-300	4	2	241255	241560	4	4	0	1	242213	653	0	0	0
22	1	0	18	18	0	2	1	-110	3	4	244587	244702	4	4	1	0	245670	968	0	0	0
22	1	0	19	19	0	2	1	110	4	1	247719	247834	4	4	1	1	248712	878	0	0	0
22	1	0	20	20	0	2	1	-110	3	1	250852	250967	2	1	1	0	251754	787	0	0	0
22	1	0	21	21	0	2	1	-300	3	2	253984	254289	3	3	0	1	254753	464	0	0	0
22	1	0	22	22	0	2	1	-50	4	2	257316	257371	1	2	1	0	258251	880	0	0	0
22	1	0	23	23	0	2	1	-110	3	2	260399	260514	2	1	2	6	261932	1418	0	0	0
22	1	0	24	24	0	2	1	300	4	3	263531	263836	4	4	1	1	265061	1225	0	0	0
22	1	0	25	25	0	2	1	50	2	3	266863	266918	1	2	1	1	268020	1102	0	0	0
22	1	0	26	26	0	2	1	-300	3	1	269946	270251	3	3	0	1	270909	658	0	0	0
22	1	0	27	27	0	2	1	300	2	1	273278	273583	1	2	1	1	274492	909	0	0	0
22	1	0	28	28	0	2	1	300	4	1	276610	276915	4	4	1	1	277547	632	0	0	0
22	1	0	29	29	0	2	1	-300	1	2	279942	280247	2	1	0	1	280982	735	0	0	0
22	1	0	30	30	0	2	1	50	4	3	283275	283330	3	3	0	0	284271	941	0	0	0
22	1	0	31	31	0	2	1	-50	3	4	286357	286412	3	3	0	1	287757	1345	0	0	0
22	1	0	32	32	0	2	1	50	4	1	289439	289494	1	2	2	6	290952	1458	0	0	0
22	1	0	33	33	0	2	1	-50	1	4	292522	292577	1	2	2	6	295285	2708	0	0	0
22	1	0	34	34	0	2	1	50	2	4	295604	295659	0	0	2	2	0	0	0	0	0
22	1	0	35	35	0	2	1	110	4	3	298686	298801	4	4	1	1	299670	869	0	0	0
22	1	0	36	36	0	2	1	-110	1	2	301819	301934	1	2	1	0	302774	840	0	0	0
22	1	0	1	37	1	2	1	300	1	3	304945	305250	3	3	0	0	306041	791	0	0	0
22	1	0	23	38	1	2	1	-110	3	2	308267	308382	1	2	1	0	309387	1005	0	0	0
22	1	0	32	39	1	2	1	50	4	1	311399	311454	2	1	0	0	313263	1809	0	0	0
22	1	0	33	40	1	2	1	-50	1	4	314481	314536	2	1	0	1	316532	1996	0	0	0
22	1	0	34	41	1	2	1	50	2	4	317564	317619	1	2	1	1	318717	1098	0	0	0
22	2	0	37	1	0	2	1	300	1	3	343222	343527	2	1	2	7	344122	595	0	0	0
22	2	0	38	2	0	2	1	300	4	3	346554	346859	4	4	1	1	347502	643	0	0	0
22	2	0	39	3	0	2	1	-300	4	2	349869	350174	4	4	0	1	350756	582	0	0	0
22	2	0	40	4	0	2	1	-110	4	2	353183	353298	4	4	0	1	354171	873	0	0	0
22	2	0	41	5	0	2	1	50	2	3	356318	356373	1	2	1	1	357238	865	0	0	0
22	2	0	42	6	0	2	1	-110	1	2	359400	359515	2	1	0	1	360354	839	0	0	0
22	2	0	43	7	0	2	1	-50	3	1	362532	362587	3	3	0	1	363605	1018	0	0	0
22	2	0	44	8	0	2	1	-300	1	4	365615	365920	3	3	2	6	366730	810	0	0	0
22	2	0	45	9	0	2	1	110	4	3	368947	369062	4	4	1	1	370563	1501	0	0	0
22	2	0	46	10	0	2	1	-300	3	4	372079	372384	3	3	0	1	373577	1193	0	0	0
22	2	0	47	11	0	2	1	110	1	3	375412	375527	2	1	1	1	376568	1041	0	0	0
