subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
20	1	1	999	1	0	1	1	1000	4	1	321929	322934	1	1	0	0	323494	560	0	0	0
20	1	1	999	2	0	1	1	-1000	3	4	326944	327949	3	3	2	3	327756	-193	0	0	0
20	1	1	999	3	0	1	1	1000	4	3	331975	332980	0	0	2	2	0	0	0	0	0
20	1	1	999	4	0	1	1	-1000	3	1	336990	337995	0	0	2	2	0	0	0	0	0
20	1	1	999	5	0	1	1	1000	4	1	342018	343023	0	0	2	2	0	0	0	0	0
20	1	1	999	1	0	1	1	-1000	1	4	44768	45773	1	1	0	1	47392	1619	0	0	0
20	1	1	999	2	0	1	1	-1000	3	2	48783	49788	3	3	0	1	50654	866	0	0	0
20	1	1	999	3	0	1	1	-1000	4	2	52799	53804	4	4	0	1	54793	989	0	0	0
20	1	1	999	4	0	1	1	-1000	4	2	56812	57817	4	4	0	1	58890	1073	0	0	0
20	1	1	999	5	0	1	1	1000	4	3	60830	61835	4	4	1	1	62807	972	0	0	0
20	1	0	1	1	0	1	1	-300	3	2	108697	109002	3	3	2	7	109682	680	0	0	0
20	1	0	2	2	0	1	1	-50	4	2	112012	112067	2	2	1	0	113339	1272	0	0	0
20	1	0	3	3	0	1	1	110	2	4	115076	115191	2	2	1	1	115698	507	0	0	0
20	1	0	4	4	0	1	1	300	4	3	118211	118516	4	4	1	1	118949	433	0	0	0
20	1	0	5	5	0	1	1	300	4	1	121525	121830	4	4	1	1	122302	472	0	0	0
20	1	0	6	6	0	1	1	50	4	3	124842	124897	4	4	1	1	125458	561	0	0	0
20	1	0	7	7	0	1	1	300	2	3	127925	128230	2	2	1	1	128563	333	0	0	0
20	1	0	8	8	0	1	1	-50	3	1	131257	131312	3	3	0	1	132395	1083	0	0	0
20	1	0	9	9	0	1	1	-300	3	1	134339	134644	3	3	0	1	135133	489	0	0	0
20	1	0	10	10	0	1	1	-50	3	4	137671	137726	3	3	0	1	138398	672	0	0	0
