subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
17	1	1	999	1	0	1	2	-1000	3	1	223193	224198	1	1	2	5	225086	888	1	225086	888
17	1	1	999	2	0	1	2	1000	2	1	228204	229209	1	1	2	5	230566	1357	1	230566	1357
17	1	1	999	3	0	1	2	-1000	3	4	233223	234228	3	4	2	5	235625	1397	3	235625	1397
17	1	1	999	4	0	1	2	-1000	1	4	238250	239255	1	1	0	1	239743	488	0	0	0
17	1	1	999	5	0	1	2	-1000	4	2	242265	243270	3	4	0	1	243707	437	0	0	0
17	1	0	1	1	0	1	2	300	4	1	272122	272427	3	4	2	7	273160	733	0	0	0
17	1	0	2	2	0	1	2	110	4	1	275436	275551	1	1	0	0	276877	1326	0	0	0
17	1	0	3	3	0	1	2	110	2	3	278570	278685	2	2	1	1	279454	769	0	0	0
17	1	0	4	4	0	1	2	-50	1	2	281702	281757	1	1	0	1	282425	668	0	0	0
17	1	0	5	5	0	1	2	-50	4	2	284766	284821	3	4	0	1	285527	706	0	0	0
17	1	0	6	6	0	1	2	300	4	3	287833	288138	3	4	1	1	288734	596	0	0	0
17	1	0	7	7	0	1	2	-300	1	2	291166	291471	1	1	0	1	292000	529	0	0	0
17	1	0	8	8	0	1	2	50	4	3	294498	294553	0	0	2	2	0	0	0	0	0
17	1	0	9	9	0	1	2	-50	3	2	297580	297635	2	2	1	0	298300	665	0	0	0
17	1	0	10	10	0	1	2	-300	3	1	300663	300968	4	3	0	1	301445	477	0	0	0
17	1	0	11	11	0	1	2	-110	1	2	303995	304110	1	1	0	1	304676	566	0	0	0
17	1	0	12	12	0	1	2	110	2	1	307127	307242	2	2	1	1	307829	587	0	0	0
17	1	0	13	13	0	1	2	50	1	3	310259	310314	1	1	1	1	311122	808	0	0	0
17	1	0	14	14	0	1	2	-50	3	1	313342	313397	4	3	0	1	313988	591	0	0	0
17	1	0	15	15	0	1	2	-110	1	4	316424	316539	1	1	0	1	317027	488	0	0	0
17	1	0	16	16	0	1	2	50	2	3	319556	319611	2	2	1	1	320173	562	0	0	0
17	1	0	17	17	0	1	2	-110	3	2	322639	322754	4	3	0	1	323366	612	0	0	0
17	1	0	18	18	0	1	2	-110	3	1	325764	325879	4	3	0	1	326803	924	0	0	0
17	1	0	19	19	0	1	2	-300	1	4	328903	329208	1	1	0	1	329767	559	0	0	0
17	1	0	20	20	0	1	2	-110	4	2	332236	332351	4	3	2	6	333591	1240	0	0	0
17	1	0	21	21	0	1	2	300	2	4	335368	335673	2	2	1	1	336209	536	0	0	0
17	1	0	22	22	0	1	2	110	2	4	338700	338815	2	2	1	1	339482	667	0	0	0
17	1	0	23	23	0	1	2	50	2	4	341833	341888	2	2	1	1	342510	622	0	0	0
17	1	0	24	24	0	1	2	-50	1	4	344915	344970	1	1	0	1	345549	579	0	0	0
17	1	0	25	25	0	1	2	50	4	1	347997	348052	3	4	1	1	348675	623	0	0	0
17	1	0	26	26	0	1	2	-50	3	4	351079	351134	4	3	0	1	351936	802	0	0	0
17	1	0	27	27	0	1	2	300	1	3	354162	354467	1	1	1	1	354955	488	0	0	0
17	1	0	28	28	0	1	2	-300	3	4	357494	357799	4	3	0	1	358265	466	0	0	0
17	1	0	29	29	0	1	2	110	4	3	360826	360941	4	3	0	0	361812	871	0	0	0
17	1	0	30	30	0	1	2	-300	3	2	363959	364264	4	3	0	1	365240	976	0	0	0
17	1	0	31	31	0	1	2	300	2	1	367291	367596	2	2	1	1	368051	455	0	0	0
17	1	0	32	32	0	1	2	-300	4	2	370623	370928	3	4	0	1	371528	600	0	0	0
17	1	0	33	33	0	1	2	50	2	1	373955	374010	2	2	1	1	374762	752	0	0	0
17	1	0	34	34	0	1	2	-110	3	4	377038	377153	4	3	0	1	377945	792	0	0	0
17	1	0	35	35	0	1	2	300	2	3	380170	380475	2	2	1	1	381062	587	0	0	0
17	1	0	36	36	0	1	2	110	1	3	383502	383617	4	3	0	0	384301	684	0	0	0
17	1	0	1	37	1	1	2	300	4	1	386635	386940	3	4	1	1	387536	596	0	0	0
17	1	0	8	38	1	1	2	50	4	3	389967	390022	1	1	2	5	392745	2723	1	392745	2723
17	1	0	20	39	1	1	2	-110	4	2	393049	393164	2	2	1	0	393815	651	0	0	0
17	1	0	8	40	2	1	2	50	4	3	396181	396236	3	4	1	1	396843	607	0	0	0
17	2	0	37	1	0	1	2	300	4	3	415975	416280	3	4	2	7	416750	470	0	0	0
17	2	0	38	2	0	1	2	50	4	3	419289	419344	3	4	1	1	419989	645	0	0	0
17	2	0	39	3	0	1	2	110	1	3	422354	422469	1	1	1	1	423182	713	0	0	0
17	2	0	40	4	0	1	2	50	2	4	425489	425544	3	4	0	0	426135	591	0	0	0
17	2	0	41	5	0	1	2	300	2	3	428554	428859	2	2	1	1	429277	418	0	0	0
17	2	0	42	6	0	1	2	-110	4	2	431886	432001	3	4	0	1	433145	1144	0	0	0
17	2	0	43	7	0	1	2	-300	3	1	435019	435324	4	3	0	1	436038	714	0	0	0
17	2	0	44	8	0	1	2	-110	3	4	438351	438466	4	3	0	1	439155	689	0	0	0
17	2	0	45	9	0	1	2	-300	3	2	441483	441788	4	3	0	1	442310	522	0	0	0
17	2	0	46	10	0	1	2	-300	3	4	444816	445121	4	3	0	1	445641	520	0	0	0
17	2	0	47	11	0	1	2	110	2	3	448148	448263	2	2	1	1	448811	548	0	0	0
17	2	0	48	12	0	1	2	-50	3	4	451280	451335	4	3	0	1	452110	775	0	0	0
17	2	0	49	13	0	1	2	-110	1	2	454363	454478	2	2	1	0	455604	1126	0	0	0
17	2	0	50	14	0	1	2	300	1	3	457495	457800	1	1	1	1	458240	440	0	0	0
17	2	0	51	15	0	1	2	-300	1	2	460827	461132	1	1	0	1	461422	290	0	0	0
17	2	0	52	16	0	1	2	110	4	1	464159	464274	4	3	2	6	465299	1025	0	0	0
17	2	0	53	17	0	1	2	110	2	4	467292	467407	1	1	2	5	469752	2345	1	469752	2345
17	2	0	54	18	0	1	2	-50	3	2	470424	470479	4	3	0	1	471900	1421	0	0	0
17	2	0	55	19	0	1	2	50	4	1	473506	473561	3	4	1	1	474705	1144	0	0	0
17	2	0	56	20	0	1	2	-110	1	4	476589	476704	0	0	2	2	0	0	0	0	0
17	2	0	57	21	0	1	2	110	4	3	479714	479829	4	3	0	0	480380	551	0	0	0
17	2	0	58	22	0	1	2	110	2	1	482853	482968	2	2	1	1	483464	496	0	0	0
17	2	0	59	23	0	1	2	-300	1	4	485986	486291	1	1	0	1	486680	389	0	0	0
17	2	0	60	24	0	1	2	300	2	1	489318	489623	2	2	2	5	490673	1050	2	490673	1050
17	2	0	61	25	0	1	2	-50	1	4	492650	492705	4	3	2	6	493647	942	0	0	0
17	2	0	62	26	0	1	2	50	2	3	495732	495787	2	2	1	1	496546	759	0	0	0
17	2	0	63	27	0	1	2	-110	3	2	498815	498930	4	3	0	1	500036	1106	0	0	0
17	2	0	64	28	0	1	2	-50	3	1	501947	502002	4	3	0	1	503291	1289	0	0	0
17	2	0	65	29	0	1	2	-50	1	2	505029	505084	2	2	1	0	506157	1073	0	0	0
17	2	0	66	30	0	1	2	-110	3	1	508112	508227	4	3	0	1	508873	646	0	0	0
17	2	0	67	31	0	1	2	300	4	1	511244	511549	3	4	1	1	512477	928	0	0	0
17	2	0	68	32	0	1	2	300	2	4	514576	514881	2	2	1	1	515472	591	0	0	0
17	2	0	69	33	0	1	2	50	1	3	517909	517964	2	2	2	6	519324	1360	0	0	0
17	2	0	70	34	0	1	2	-300	4	2	520991	521296	3	4	0	1	521760	464	0	0	0
17	2	0	71	35	0	1	2	-50	4	2	524323	524378	3	4	0	1	525083	705	0	0	0
17	2	0	72	36	0	1	2	50	2	1	527405	527460	2	2	1	1	528143	683	0	0	0
