subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
19	1	1	999	1	0	2	2	-1000	3	2	242518	243523	0	0	2	2	0	0	0	0	0
19	1	1	999	2	0	2	2	-1000	1	2	247533	248538	1	2	1	0	250104	1566	0	0	0
19	1	1	999	3	0	2	2	-1000	3	1	252557	253562	4	3	0	1	254375	813	0	0	0
19	1	1	999	4	0	2	2	-1000	1	4	256570	257575	2	1	0	1	258388	813	0	0	0
19	1	1	999	5	0	2	2	-1000	1	2	260588	261593	2	1	0	1	262362	769	0	0	0
19	1	0	1	1	0	2	2	-50	3	2	302990	303045	1	2	2	7	304048	1003	0	0	0
19	1	0	2	2	0	2	2	50	1	3	306056	306111	2	1	1	1	306758	647	0	0	0
19	1	0	3	3	0	2	2	110	4	3	309120	309235	3	4	1	1	310207	972	0	0	0
19	1	0	4	4	0	2	2	-300	1	4	312254	312559	2	1	0	1	313128	569	0	0	0
19	1	0	5	5	0	2	2	-300	3	4	315568	315873	4	3	0	1	316747	874	0	0	0
19	1	0	6	6	0	2	2	-50	1	4	318883	318938	2	1	0	1	319748	810	0	0	0
19	1	0	7	7	0	2	2	110	2	1	321950	322065	1	2	1	1	322631	566	0	0	0
19	1	0	8	8	0	2	2	-50	1	2	325083	325138	2	1	0	1	326189	1051	0	0	0
19	1	0	9	9	0	2	2	-50	3	1	328165	328220	2	1	1	0	328946	726	0	0	0
19	1	0	10	10	0	2	2	-50	4	2	331247	331302	1	2	1	0	332501	1199	0	0	0
19	1	0	11	11	0	2	2	300	2	3	334330	334635	1	2	1	1	335229	594	0	0	0
19	1	0	12	12	0	2	2	110	2	3	337662	337777	1	2	1	1	338511	734	0	0	0
19	1	0	13	13	0	2	2	300	1	3	340787	341092	2	1	1	1	341554	462	0	0	0
19	1	0	14	14	0	2	2	110	2	4	344110	344225	1	2	1	1	345253	1028	0	0	0
19	1	0	15	15	0	2	2	-300	3	2	347242	347547	4	3	0	1	348085	538	0	0	0
19	1	0	16	16	0	2	2	50	2	3	350574	350629	1	2	1	1	351296	667	0	0	0
19	1	0	17	17	0	2	2	-110	3	4	353656	353771	3	4	1	0	354360	589	0	0	0
19	1	0	18	18	0	2	2	50	4	1	356789	356844	2	1	0	0	358410	1566	0	0	0
19	1	0	19	19	0	2	2	50	2	1	359871	359926	1	2	1	1	360987	1061	0	0	0
19	1	0	20	20	0	2	2	50	2	4	362953	363008	1	2	1	1	363647	639	0	0	0
19	1	0	21	21	0	2	2	300	2	1	366036	366341	1	2	1	1	366983	642	0	0	0
19	1	0	22	22	0	2	2	110	1	3	369368	369483	2	1	1	1	370018	535	0	0	0
19	1	0	23	23	0	2	2	-110	3	2	372493	372608	4	3	0	1	373580	972	0	0	0
19	1	0	24	24	0	2	2	-300	1	2	375632	375937	2	1	0	1	376717	780	0	0	0
19	1	0	25	25	0	2	2	-50	3	4	378965	379020	3	4	1	0	381173	2153	0	0	0
19	1	0	26	26	0	2	2	300	4	1	382047	382352	4	3	2	6	383642	1290	0	0	0
19	1	0	27	27	0	2	2	300	4	3	385379	385684	3	4	1	1	386372	688	0	0	0
19	1	0	28	28	0	2	2	-110	1	4	388711	388826	2	1	0	1	389544	718	0	0	0
19	1	0	29	29	0	2	2	50	4	3	391844	391899	3	4	1	1	392607	708	0	0	0
19	1	0	30	30	0	2	2	110	4	1	394926	395041	3	4	1	1	397553	2512	0	0	0
19	1	0	31	31	0	2	2	-300	3	1	398058	398363	4	3	0	1	398931	568	0	0	0
19	1	0	32	32	0	2	2	-300	4	2	401391	401696	3	4	0	1	402285	589	0	0	0
