subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
10	1	1	999	1	0	2	1	1000	4	3	151766	152771	0	0	2	2	0	0	0	0	0
10	1	1	999	2	0	2	1	-1000	1	4	156781	157786	2	1	0	1	160099	2313	0	0	0
10	1	1	999	3	0	2	1	1000	2	4	160796	161801	1	2	1	1	163170	1369	0	0	0
10	1	1	999	4	0	2	1	-1000	3	2	164811	165816	3	3	0	1	167077	1261	0	0	0
10	1	1	999	5	0	2	1	-1000	1	2	168824	169829	2	1	0	1	170698	869	0	0	0
10	1	0	1	1	0	2	1	110	2	1	186871	186986	1	2	2	7	188230	1244	0	0	0
10	1	0	2	2	0	2	1	110	4	3	190003	190118	4	4	1	1	191061	943	0	0	0
10	1	0	3	3	0	2	1	-110	3	1	193135	193250	3	3	0	1	194201	951	0	0	0
10	1	0	4	4	0	2	1	-110	3	2	196268	196383	3	3	0	1	198327	1944	0	0	0
10	1	0	5	5	0	2	1	-300	1	2	199400	199705	2	1	0	1	200506	801	0	0	0
10	1	0	6	6	0	2	1	-50	3	1	202732	202787	2	1	1	0	205537	2750	0	0	0
10	1	0	7	7	0	2	1	50	2	3	205815	205870	0	0	2	2	0	0	0	0	0
10	1	0	8	8	0	2	1	110	4	1	208897	209012	3	3	2	6	211047	2035	0	0	0
10	1	0	9	9	0	2	1	-110	1	2	212029	212144	2	1	0	1	213184	1040	0	0	0
10	1	0	10	10	0	2	1	-300	3	2	215161	215466	3	3	0	1	215963	497	0	0	0
10	1	0	11	11	0	2	1	-110	4	2	218494	218609	4	4	0	1	220218	1609	0	0	0
10	1	0	12	12	0	2	1	50	4	1	221626	221681	4	4	1	1	223648	1967	0	0	0
10	1	0	13	13	0	2	1	110	2	4	224708	224823	1	2	1	1	225816	993	0	0	0
10	1	0	14	14	0	2	1	110	1	3	227834	227949	2	1	1	1	228892	943	0	0	0
10	1	0	15	15	0	2	1	300	2	3	230973	231278	1	2	1	1	231742	464	0	0	0
10	1	0	16	16	0	2	1	300	4	3	234305	234610	4	4	1	1	235181	571	0	0	0
10	1	0	17	17	0	2	1	300	4	1	237637	237942	4	4	1	1	238581	639	0	0	0
10	1	0	18	18	0	2	1	-110	3	4	240970	241085	4	4	1	0	242617	1532	0	0	0
10	1	0	19	19	0	2	1	-300	3	1	244102	244407	3	3	0	1	245117	710	0	0	0
10	1	0	20	20	0	2	1	-300	3	4	247434	247739	3	3	0	1	248738	999	0	0	0
10	1	0	21	21	0	2	1	-300	1	4	250766	251071	2	1	0	1	251759	688	0	0	0
10	1	0	22	22	0	2	1	-50	3	4	254099	254154	3	3	0	1	255567	1413	0	0	0
10	1	0	23	23	0	2	1	50	2	1	257181	257236	1	2	1	1	259442	2206	0	0	0
10	1	0	24	24	0	2	1	-300	4	2	260263	260568	4	4	0	1	262016	1448	0	0	0
10	1	0	25	25	0	2	1	-50	1	4	263595	263650	2	1	0	1	264547	897	0	0	0
10	1	0	26	26	0	2	1	-110	1	4	266678	266793	2	1	0	1	267566	773	0	0	0
10	1	0	27	27	0	2	1	300	2	1	269810	270115	1	2	1	1	270640	525	0	0	0
10	1	0	28	28	0	2	1	50	4	3	273142	273197	4	4	1	1	274800	1603	0	0	0
10	1	0	29	29	0	2	1	300	1	3	276225	276530	2	1	1	1	277117	587	0	0	0
10	1	0	30	30	0	2	1	-50	1	2	279557	279612	2	1	0	1	281152	1540	0	0	0
10	1	0	31	31	0	2	1	-50	4	2	282639	282694	2	1	2	6	285187	2493	0	0	0
10	1	0	32	32	0	2	1	50	2	4	285722	285777	1	2	1	1	286951	1174	0	0	0
10	1	0	33	33	0	2	1	110	2	3	288804	288919	1	2	1	1	290065	1146	0	0	0
10	1	0	34	34	0	2	1	50	1	3	291929	291984	3	3	0	0	293417	1433	0	0	0
10	1	0	35	35	0	2	1	300	2	4	295002	295307	1	2	1	1	295668	361	0	0	0
10	1	0	36	36	0	2	1	-50	3	2	298334	298389	2	1	2	6	300310	1921	0	0	0
10	1	0	1	37	1	2	1	110	2	1	301416	301531	2	1	0	0	303522	1991	0	0	0
10	1	0	7	38	1	2	1	50	2	3	304542	304597	2	1	2	6	305936	1339	0	0	0
10	1	0	8	39	1	2	1	110	4	1	307614	307729	0	0	2	2	0	0	0	0	0
10	1	0	31	40	1	2	1	-50	4	2	310747	310802	2	1	2	3	310655	-147	0	0	0
10	1	0	36	41	1	2	1	-50	3	2	313829	313884	3	3	0	1	314872	988	0	0	0
10	1	0	7	42	2	2	1	50	2	3	316911	316966	3	3	0	0	318738	1772	0	0	0
10	1	0	8	43	2	2	1	110	4	1	319994	320109	3	3	2	6	321526	1417	0	0	0
10	1	0	8	44	3	2	1	110	4	1	323126	323241	2	1	0	0	325778	2537	0	0	0
10	2	0	37	1	0	2	1	110	2	1	496535	496650	1	2	2	7	497603	953	0	0	0
10	2	0	38	2	0	2	1	-50	3	4	499668	499723	3	3	0	1	500813	1090	0	0	0
10	2	0	39	3	0	2	1	-110	3	1	502732	502847	1	2	2	6	505433	2586	0	0	0
10	2	0	40	4	0	2	1	-50	1	2	505865	505920	2	1	0	1	507510	1590	0	0	0
10	2	0	41	5	0	2	1	-300	1	4	508930	509235	2	1	0	1	509990	755	0	0	0
10	2	0	42	6	0	2	1	110	1	3	512247	512362	2	1	1	1	513217	855	0	0	0
10	2	0	43	7	0	2	1	300	2	1	515379	515684	1	2	1	1	516299	615	0	0	0
10	2	0	44	8	0	2	1	-50	3	1	518711	518766	2	1	1	0	520095	1329	0	0	0
10	2	0	45	9	0	2	1	-50	1	4	521794	521849	1	2	2	6	523688	1839	0	0	0
10	2	0	46	10	0	2	1	110	2	4	524876	524991	4	4	0	0	526338	1347	0	0	0
10	2	0	47	11	0	2	1	110	2	3	528008	528123	1	2	1	1	528901	778	0	0	0
10	2	0	48	12	0	2	1	-300	3	4	531140	531445	3	3	0	1	531934	489	0	0	0
10	2	0	49	13	0	2	1	-300	1	2	534473	534778	2	1	0	1	535265	487	0	0	0
10	2	0	50	14	0	2	1	-300	3	2	537805	538110	3	3	0	1	538677	567	0	0	0
10	2	0	51	15	0	2	1	-50	3	2	541137	541192	4	4	2	6	543447	2255	0	0	0
10	2	0	52	16	0	2	1	300	2	4	544219	544524	1	2	1	1	546572	2048	0	0	0
10	2	0	53	17	0	2	1	-300	4	2	547552	547857	4	4	0	1	548415	558	0	0	0
10	2	0	54	18	0	2	1	-300	3	1	550884	551189	3	3	0	1	551559	370	0	0	0
10	2	0	55	19	0	2	1	-110	3	2	554216	554331	3	3	0	1	556017	1686	0	0	0
10	2	0	56	20	0	2	1	300	4	1	557348	557653	4	4	1	1	558138	485	0	0	0
10	2	0	57	21	0	2	1	50	4	1	560681	560736	2	1	0	0	561565	829	0	0	0
10	2	0	58	22	0	2	1	50	2	3	563763	563818	3	3	0	0	566256	2438	0	0	0
10	2	0	59	23	0	2	1	50	1	3	566845	566900	3	3	0	0	567800	900	0	0	0
10	2	0	60	24	0	2	1	110	4	3	569928	570043	3	3	0	0	571975	1932	0	0	0
10	2	0	61	25	0	2	1	50	4	3	573060	573115	3	3	0	0	574095	980	0	0	0
10	2	0	62	26	0	2	1	300	1	3	576142	576447	2	1	1	1	577056	609	0	0	0
10	2	0	63	27	0	2	1	50	2	1	579474	579529	2	1	0	0	580946	1417	0	0	0
10	2	0	64	28	0	2	1	-110	3	4	582557	582672	3	3	0	1	584419	1747	0	0	0
10	2	0	65	29	0	2	1	-50	4	2	585689	585744	2	1	2	6	587907	2163	0	0	0
10	2	0	66	30	0	2	1	-110	4	2	588771	588886	2	1	2	6	591493	2607	0	0	0
10	2	0	67	31	0	2	1	-110	1	2	591904	592019	1	2	1	0	593186	1167	0	0	0
10	2	0	68	32	0	2	1	300	2	3	595036	595341	2	1	2	6	596970	1629	0	0	0
10	2	0	69	33	0	2	1	50	2	4	598368	598423	1	2	1	1	599895	1472	0	0	0
10	2	0	70	34	0	2	1	-110	1	4	601451	601566	2	1	0	1	603306	1740	0	0	0
