subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
4	1	1	999	1	0	1	1	-1000	1	2	200252	201257	2	2	1	0	202325	1068	0	0	0
4	1	1	999	2	0	1	1	-1000	3	1	205267	206272	1	1	1	0	207090	818	0	0	0
4	1	1	999	3	0	1	1	-1000	4	2	210282	211287	4	4	0	1	212191	904	0	0	0
4	1	1	999	4	0	1	1	1000	2	4	214295	215300	0	0	2	2	0	0	0	0	0
4	1	1	999	5	0	1	1	-1000	4	2	219306	220311	4	4	0	1	221910	1599	0	0	0
4	1	0	1	1	0	1	1	50	4	1	251052	251107	4	4	2	7	252306	1199	0	0	0
4	1	0	2	2	0	1	1	-50	1	2	254118	254173	1	1	0	1	255564	1391	0	0	0
4	1	0	3	3	0	1	1	50	2	3	257182	257237	4	4	2	6	258993	1756	0	0	0
4	1	0	4	4	0	1	1	-300	3	1	260249	260554	1	1	1	0	263052	2498	0	0	0
4	1	0	5	5	0	1	1	-110	3	4	263563	263678	3	3	0	1	265165	1487	0	0	0
4	1	0	6	6	0	1	1	-110	3	2	266697	266812	1	1	2	6	268283	1471	0	0	0
4	1	0	7	7	0	1	1	300	4	1	269829	270134	4	4	1	1	271035	901	0	0	0
4	1	0	8	8	0	1	1	50	4	3	273161	273216	4	4	1	1	274169	953	0	0	0
4	1	0	9	9	0	1	1	-110	4	2	276244	276359	4	4	0	1	277808	1449	0	0	0
4	1	0	10	10	0	1	1	-50	3	2	279376	279431	3	3	0	1	280728	1297	0	0	0
4	1	0	11	11	0	1	1	50	1	3	282458	282513	3	3	0	0	284427	1914	0	0	0
4	1	0	12	12	0	1	1	-110	3	1	285541	285656	3	3	0	1	286853	1197	0	0	0
4	1	0	13	13	0	1	1	300	2	4	288673	288978	2	2	1	1	289945	967	0	0	0
4	1	0	14	14	0	1	1	110	4	3	292005	292120	4	4	1	1	293093	973	0	0	0
4	1	0	15	15	0	1	1	110	2	3	295138	295253	2	2	1	1	296449	1196	0	0	0
4	1	0	16	16	0	1	1	-300	4	2	298270	298575	4	4	0	1	299494	919	0	0	0
4	1	0	17	17	0	1	1	110	2	4	301602	301717	2	2	1	1	302640	923	0	0	0
4	1	0	18	18	0	1	1	-300	3	4	304735	305040	3	3	0	1	305937	897	0	0	0
4	1	0	19	19	0	1	1	300	2	1	308067	308372	2	2	1	1	309186	814	0	0	0
4	1	0	20	20	0	1	1	110	4	1	311399	311514	2	2	2	6	312972	1458	0	0	0
4	1	0	21	21	0	1	1	-300	3	2	314531	314836	3	3	0	1	315911	1075	0	0	0
4	1	0	22	22	0	1	1	300	2	3	317864	318169	2	2	1	1	318878	709	0	0	0
4	1	0	23	23	0	1	1	-300	1	4	321196	321501	3	3	2	6	323175	1674	0	0	0
4	1	0	24	24	0	1	1	-110	1	4	324528	324643	1	1	0	1	326482	1839	0	0	0
4	1	0	25	25	0	1	1	50	2	4	327661	327716	2	2	1	1	329030	1314	0	0	0
4	1	0	26	26	0	1	1	110	2	1	330743	330858	2	2	1	1	331901	1043	0	0	0
4	1	0	27	27	0	1	1	-110	1	2	333875	333990	1	1	0	1	334930	940	0	0	0
4	1	0	28	28	0	1	1	-300	1	2	337008	337313	1	1	0	1	338715	1402	0	0	0
4	1	0	29	29	0	1	1	50	2	1	340340	340395	2	2	1	1	341542	1147	0	0	0
4	1	0	30	30	0	1	1	-50	1	4	343422	343477	4	4	1	0	344831	1354	0	0	0
4	1	0	31	31	0	1	1	110	1	3	346505	346620	1	1	1	1	348335	1715	0	0	0
4	1	0	32	32	0	1	1	-50	4	2	349637	349692	4	4	0	1	351203	1511	0	0	0
4	1	0	33	33	0	1	1	-50	3	4	352719	352774	4	4	1	0	354411	1637	0	0	0
4	1	0	34	34	0	1	1	300	4	3	355802	356107	4	4	1	1	357451	1344	0	0	0
4	1	0	35	35	0	1	1	300	1	3	359134	359439	1	1	1	1	361418	1979	0	0	0
4	1	0	36	36	0	1	1	-50	3	1	362466	362521	1	1	1	0	364147	1626	0	0	0
4	1	0	1	37	1	1	1	50	4	1	365548	365603	1	1	0	0	366926	1323	0	0	0
4	1	0	3	38	1	1	1	50	2	3	368631	368686	3	3	0	0	369712	1026	0	0	0
4	1	0	6	39	1	1	1	-110	3	2	371713	371828	3	3	0	1	374173	2345	0	0	0
4	1	0	20	40	1	1	1	110	4	1	374845	374960	1	1	0	0	376736	1776	0	0	0
4	1	0	23	41	1	1	1	-300	1	4	377978	378283	1	1	0	1	379278	995	0	0	0
4	2	0	37	1	0	1	1	300	4	3	393506	393811	4	4	2	7	394581	770	0	0	0
4	2	0	38	2	0	1	1	-300	1	2	396822	397127	1	1	0	1	397766	639	0	0	0
4	2	0	39	3	0	1	1	-110	3	2	400136	400251	3	3	0	1	401095	844	0	0	0
4	2	0	40	4	0	1	1	-300	4	2	403270	403575	4	4	0	1	404701	1126	0	0	0
4	2	0	41	5	0	1	1	110	1	3	406584	406699	1	1	1	1	407524	825	0	0	0
4	2	0	42	6	0	1	1	50	2	3	409718	409773	2	2	1	1	412152	2379	0	0	0
4	2	0	43	7	0	1	1	-50	3	4	412800	412855	3	3	0	1	414188	1333	0	0	0
4	2	0	44	8	0	1	1	-300	1	4	415882	416187	1	1	0	1	416992	805	0	0	0
4	2	0	45	9	0	1	1	-110	1	4	419214	419329	1	1	0	1	420560	1231	0	0	0
4	2	0	46	10	0	1	1	-50	1	2	422347	422402	1	1	0	1	423861	1459	0	0	0
4	2	0	47	11	0	1	1	50	4	3	425429	425484	0	0	2	2	0	0	0	0	0
4	2	0	48	12	0	1	1	-50	3	1	428511	428566	0	0	2	2	0	0	0	0	0
4	2	0	49	13	0	1	1	50	2	4	431594	431649	2	2	1	1	432855	1206	0	0	0
4	2	0	50	14	0	1	1	300	2	1	434676	434981	2	2	1	1	436739	1758	0	0	0
4	2	0	51	15	0	1	1	-50	4	2	438008	438063	4	4	0	1	439502	1439	0	0	0
4	2	0	52	16	0	1	1	-110	3	1	441091	441206	3	3	0	1	442662	1456	0	0	0
4	2	0	53	17	0	1	1	-110	1	2	444223	444338	3	3	2	6	445797	1459	0	0	0
4	2	0	54	18	0	1	1	110	2	3	447348	447463	4	4	2	6	448847	1384	0	0	0
4	2	0	55	19	0	1	1	-110	3	4	450488	450603	3	3	0	1	452268	1665	0	0	0
4	2	0	56	20	0	1	1	-300	3	2	453620	453925	3	3	0	1	454889	964	0	0	0
4	2	0	57	21	0	1	1	50	1	3	456952	457007	1	1	1	1	457899	892	0	0	0
4	2	0	58	22	0	1	1	-50	3	2	460035	460090	3	3	0	1	461183	1093	0	0	0
4	2	0	59	23	0	1	1	110	2	1	463117	463232	2	2	1	1	464084	852	0	0	0
4	2	0	60	24	0	1	1	-300	3	1	466249	466554	3	3	0	1	467351	797	0	0	0
4	2	0	61	25	0	1	1	110	4	3	469582	469697	3	3	0	0	471218	1521	0	0	0
4	2	0	62	26	0	1	1	-110	4	2	472714	472829	4	4	0	1	473836	1007	0	0	0
4	2	0	63	27	0	1	1	300	2	3	475846	476151	2	2	1	1	477172	1021	0	0	0
4	2	0	64	28	0	1	1	-50	1	4	479179	479234	1	1	0	1	480432	1198	0	0	0
4	2	0	65	29	0	1	1	50	4	1	482261	482316	4	4	1	1	483295	979	0	0	0
4	2	0	66	30	0	1	1	300	4	1	485343	485648	4	4	1	1	486534	886	0	0	0
4	2	0	67	31	0	1	1	-300	3	4	488675	488980	3	3	0	1	489720	740	0	0	0
4	2	0	68	32	0	1	1	50	2	1	492008	492063	2	2	1	1	492960	897	0	0	0
4	2	0	69	33	0	1	1	110	4	1	495090	495205	4	4	1	1	496536	1331	0	0	0
4	2	0	70	34	0	1	1	300	2	4	498222	498527	2	2	1	1	499121	594	0	0	0
4	2	0	71	35	0	1	1	110	2	4	501555	501670	2	2	1	1	502617	947	0	0	0
4	2	0	72	36	0	1	1	300	1	3	504687	504992	1	1	1	1	506282	1290	0	0	0
4	2	0	37	37	1	1	1	300	4	3	508019	508324	4	4	1	1	509184	860	0	0	0
4	2	0	47	38	1	1	1	50	4	3	511351	511406	4	4	1	1	512637	1231	0	0	0
4	2	0	48	39	1	1	1	-50	3	1	514434	514489	3	3	0	1	515727	1238	0	0	0
4	2	0	53	40	1	1	1	-110	1	2	517516	517631	1	1	0	1	518440	809	0	0	0
4	2	0	54	41	1	1	1	110	2	3	520649	520764	2	2	1	1	522135	1371	0	0	0
4	3	1	999	1	0	1	2	1000	4	3	688844	689849	0	0	2	2	0	0	0	0	0
4	3	1	999	2	0	1	2	1000	1	3	693857	694862	0	0	2	2	0	0	0	0	0
4	3	1	999	3	0	1	2	1000	1	3	698874	699879	1	1	2	3	700060	181	0	0	0
4	3	1	999	4	0	1	2	1000	4	1	703889	704894	3	4	2	3	705000	106	0	0	0
4	3	1	999	5	0	1	2	1000	2	4	708902	709907	2	2	1	1	710476	569	0	0	0
4	3	0	73	1	0	1	2	50	2	3	726999	727054	2	2	2	7	727788	734	0	0	0
4	3	0	74	2	0	1	2	-50	3	1	730064	730119	4	3	0	1	731094	975	0	0	0
4	3	0	75	3	0	1	2	110	2	4	733130	733245	2	2	1	1	733835	590	0	0	0
4	3	0	76	4	0	1	2	110	2	1	736262	736377	2	2	1	1	737294	917	0	0	0
4	3	0	77	5	0	1	2	-110	4	2	739395	739510	4	3	2	6	740450	940	0	0	0
