subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
7	1	1	999	1	0	2	2	1000	2	3	392359	393364	0	0	2	2	0	0	0	0	0
7	1	1	999	2	0	2	2	1000	4	1	397374	398379	3	4	1	1	399421	1042	0	0	0
7	1	1	999	3	0	2	2	1000	2	3	401389	402394	1	2	1	1	403421	1027	0	0	0
7	1	1	999	4	0	2	2	-1000	1	2	405403	406408	2	1	0	1	407378	970	0	0	0
7	1	1	999	5	0	2	2	1000	4	1	409420	410425	3	4	1	1	411547	1122	0	0	0
7	1	0	1	1	0	2	2	50	2	4	441610	441665	1	2	2	7	442900	1235	0	0	0
7	1	0	2	2	0	2	2	110	2	1	444675	444790	1	2	1	1	446264	1474	0	0	0
7	1	0	3	3	0	2	2	-110	1	4	447808	447923	2	1	0	1	449056	1133	0	0	0
7	1	0	4	4	0	2	2	-300	1	2	450940	451245	2	1	0	1	452233	988	0	0	0
7	1	0	5	5	0	2	2	300	1	3	454254	454559	2	1	1	1	455410	851	0	0	0
7	1	0	6	6	0	2	2	110	4	1	457571	457686	3	4	1	1	458501	815	0	0	0
7	1	0	7	7	0	2	2	110	2	3	460704	460819	1	2	1	1	461883	1064	0	0	0
7	1	0	8	8	0	2	2	50	2	3	463836	463891	1	2	1	1	464954	1063	0	0	0
7	1	0	9	9	0	2	2	-300	1	4	466918	467223	2	1	2	5	467994	771	2	467994	771
7	1	0	10	10	0	2	2	-110	1	2	470251	470366	2	1	0	1	471243	877	0	0	0
7	1	0	11	11	0	2	2	300	4	1	473383	473688	3	4	1	1	474386	698	0	0	0
7	1	0	12	12	0	2	2	-110	4	2	476715	476830	3	4	0	1	477787	957	0	0	0
7	1	0	13	13	0	2	2	110	2	4	479848	479963	1	2	1	1	481308	1345	0	0	0
7	1	0	14	14	0	2	2	-300	3	2	482973	483278	4	3	0	1	483953	675	0	0	0
7	1	0	15	15	0	2	2	-300	3	4	486296	486601	4	3	0	1	487383	782	0	0	0
7	1	0	16	16	0	2	2	-50	3	2	489628	489683	4	3	0	1	490856	1173	0	0	0
7	1	0	17	17	0	2	2	50	4	1	492710	492765	1	2	2	6	494390	1625	0	0	0
7	1	0	18	18	0	2	2	-110	3	4	495793	495908	2	1	2	6	497407	1499	0	0	0
7	1	0	19	19	0	2	2	110	4	3	498925	499040	0	0	2	2	0	0	0	0	0
7	1	0	20	20	0	2	2	300	2	1	502057	502362	1	2	1	1	503585	1223	0	0	0
7	1	0	21	21	0	2	2	300	2	3	505389	505694	1	2	1	1	506496	802	0	0	0
7	1	0	22	22	0	2	2	-50	3	4	508722	508777	4	3	0	1	510078	1301	0	0	0
7	1	0	23	23	0	2	2	50	4	3	511804	511859	3	4	1	1	512831	972	0	0	0
7	1	0	24	24	0	2	2	-300	3	1	514886	515191	4	3	0	1	516060	869	0	0	0
7	1	0	25	25	0	2	2	-50	1	4	518219	518274	2	1	0	1	519643	1369	0	0	0
7	1	0	26	26	0	2	2	110	1	3	521301	521416	4	3	0	0	522474	1058	0	0	0
7	1	0	27	27	0	2	2	-110	3	2	524433	524548	4	3	0	1	526184	1636	0	0	0
7	1	0	28	28	0	2	2	-110	3	1	527566	527681	4	3	0	1	529093	1412	0	0	0
7	1	0	29	29	0	2	2	50	2	1	530698	530753	1	2	1	1	532216	1463	0	0	0
7	1	0	30	30	0	2	2	-50	4	2	533781	533836	3	4	0	1	536043	2207	0	0	0
7	1	0	31	31	0	2	2	-300	4	2	536863	537168	3	4	0	1	538058	890	0	0	0
7	1	0	32	32	0	2	2	300	2	4	540195	540500	1	2	1	1	541234	734	0	0	0
7	1	0	33	33	0	2	2	300	4	3	543527	543832	3	4	1	1	544901	1069	0	0	0
7	1	0	34	34	0	2	2	-50	1	2	546860	546915	1	2	1	0	548045	1130	0	0	0
7	1	0	35	35	0	2	2	-50	3	1	549942	549997	0	0	2	2	0	0	0	0	0
7	1	0	36	36	0	2	2	50	1	3	553024	553079	4	3	0	0	554722	1643	0	0	0
7	1	0	1	37	1	2	2	50	2	4	556107	556162	1	2	1	1	557420	1258	0	0	0
7	1	0	17	38	1	2	2	50	4	1	559189	559244	2	1	0	0	560240	996	0	0	0
7	1	0	18	39	1	2	2	-110	3	4	562271	562386	4	3	0	1	564085	1699	0	0	0
7	1	0	19	40	1	2	2	110	4	3	565404	565519	3	4	1	1	566373	854	0	0	0
7	1	0	35	41	1	2	2	-50	3	1	568536	568591	2	1	1	0	569348	757	0	0	0
7	2	0	37	1	0	2	2	300	2	3	631516	631821	1	2	2	7	632416	595	0	0	0
7	2	0	38	2	0	2	2	-50	3	1	634831	634886	2	1	1	0	635773	887	0	0	0
7	2	0	39	3	0	2	2	50	2	4	637895	637950	1	2	1	1	638904	954	0	0	0
7	2	0	40	4	0	2	2	110	4	1	640959	641074	4	3	2	6	642084	1010	0	0	0
7	2	0	41	5	0	2	2	-110	3	4	644096	644211	4	3	0	1	645312	1101	0	0	0
7	2	0	42	6	0	2	2	-110	3	2	647228	647343	4	3	0	1	648335	992	0	0	0
7	2	0	43	7	0	2	2	110	2	1	650360	650475	1	2	1	1	651230	755	0	0	0
7	2	0	44	8	0	2	2	-300	3	2	653493	653798	4	3	0	1	654501	703	0	0	0
7	2	0	45	9	0	2	2	110	2	3	656825	656940	1	2	1	1	657642	702	0	0	0
7	2	0	46	10	0	2	2	-300	1	4	659957	660262	2	1	0	1	660859	597	0	0	0
7	2	0	47	11	0	2	2	50	4	3	663290	663345	4	3	0	0	664510	1165	0	0	0
7	2	0	48	12	0	2	2	-50	3	4	666372	666427	3	4	1	0	667451	1024	0	0	0
7	2	0	49	13	0	2	2	300	1	3	669454	669759	0	0	2	2	0	0	0	0	0
7	2	0	50	14	0	2	2	-50	3	2	672787	672842	4	3	0	1	674296	1454	0	0	0
7	2	0	51	15	0	2	2	-300	1	2	675869	676174	2	1	0	1	676946	772	0	0	0
7	2	0	52	16	0	2	2	-110	1	4	679201	679316	2	1	0	1	680333	1017	0	0	0
7	2	0	53	17	0	2	2	-300	3	4	682333	682638	4	3	0	1	683145	507	0	0	0
7	2	0	54	18	0	2	2	-50	1	4	685666	685721	2	1	0	1	686517	796	0	0	0
7	2	0	55	19	0	2	2	50	2	1	688748	688803	2	1	0	0	690502	1699	0	0	0
7	2	0	56	20	0	2	2	110	2	4	691830	691945	1	2	1	1	692789	844	0	0	0
7	2	0	57	21	0	2	2	-50	4	2	694956	695011	1	2	1	0	696392	1381	0	0	0
7	2	0	58	22	0	2	2	-50	1	2	698029	698084	1	2	1	0	699548	1464	0	0	0
7	2	0	59	23	0	2	2	300	4	1	701111	701416	3	4	1	1	702612	1196	0	0	0
7	2	0	60	24	0	2	2	-300	3	1	704443	704748	4	3	0	1	705302	554	0	0	0
7	2	0	61	25	0	2	2	110	4	3	707775	707890	4	3	0	0	709784	1894	0	0	0
7	2	0	62	26	0	2	2	-110	4	2	710901	711016	3	4	0	1	712054	1038	0	0	0
7	2	0	63	27	0	2	2	-110	3	1	714040	714155	4	3	0	1	715414	1259	0	0	0
7	2	0	64	28	0	2	2	300	2	4	717172	717477	3	4	0	0	719208	1731	0	0	0
7	2	0	65	29	0	2	2	300	4	3	720505	720810	3	4	1	1	721972	1162	0	0	0
7	2	0	66	30	0	2	2	50	2	3	723837	723892	1	2	1	1	725424	1532	0	0	0
7	2	0	67	31	0	2	2	50	1	3	726919	726974	4	3	0	0	728111	1137	0	0	0
7	2	0	68	32	0	2	2	50	4	1	730002	730057	1	2	2	6	731370	1313	0	0	0
7	2	0	69	33	0	2	2	-300	4	2	733084	733389	3	4	0	1	734110	721	0	0	0
7	2	0	70	34	0	2	2	-110	1	2	736416	736531	1	2	1	0	737769	1238	0	0	0
7	2	0	71	35	0	2	2	110	1	3	739542	739657	2	1	1	1	741393	1736	0	0	0
7	2	0	72	36	0	2	2	300	2	1	742681	742986	1	2	1	1	743811	825	0	0	0
7	2	0	37	37	1	2	2	300	2	3	746013	746318	1	2	1	1	746935	617	0	0	0
7	2	0	40	38	1	2	2	110	4	1	749346	749461	2	1	0	0	751401	1940	0	0	0
7	2	0	49	39	1	2	2	300	1	3	752478	752783	2	1	1	1	753852	1069	0	0	0
7	2	0	68	40	1	2	2	50	4	1	755810	755865	3	4	1	1	757037	1172	0	0	0
7	3	1	999	1	0	2	1	-1000	1	4	1067062	1068067	0	0	2	2	0	0	0	0	0
7	3	1	999	2	0	2	1	-1000	3	1	1072077	1073082	3	3	0	1	1074019	937	0	0	0
7	3	1	999	3	0	2	1	1000	2	3	1076092	1077097	1	2	1	1	1077890	793	0	0	0
7	3	1	999	4	0	2	1	1000	4	3	1080104	1081109	4	4	1	1	1082001	892	0	0	0
7	3	1	999	5	0	2	1	-1000	4	2	1084123	1085128	4	4	0	1	1086232	1104	0	0	0
7	3	0	73	1	0	2	1	110	2	4	1093103	1093218	1	2	2	7	1093957	739	0	0	0
7	3	0	74	2	0	2	1	50	4	3	1096236	1096291	4	4	1	1	1097313	1022	0	0	0
7	3	0	75	3	0	2	1	50	4	1	1099302	1099357	0	0	2	2	0	0	0	0	0
7	3	0	76	4	0	2	1	-110	4	2	1102365	1102480	0	0	2	2	0	0	0	0	0
7	3	0	77	5	0	2	1	-300	3	2	1105500	1105805	3	3	0	1	1106518	713	0	0	0
7	3	0	78	6	0	2	1	50	2	4	1108832	1108887	1	2	1	1	1109817	930	0	0	0
7	3	0	79	7	0	2	1	110	2	1	1111914	1112029	1	2	1	1	1113031	1002	0	0	0
7	3	0	80	8	0	2	1	50	2	3	1115047	1115102	1	2	1	1	1116101	999	0	0	0
7	3	0	81	9	0	2	1	-110	1	4	1118129	1118244	0	0	2	2	0	0	0	0	0
7	3	0	82	10	0	2	1	-110	1	2	1121261	1121376	0	0	2	2	0	0	0	0	0
7	3	0	83	11	0	2	1	-50	1	2	1124394	1124449	1	2	1	0	1125619	1170	0	0	0
7	3	0	84	12	0	2	1	-50	3	1	1127476	1127531	3	3	0	1	1128894	1363	0	0	0
7	3	0	85	13	0	2	1	-300	1	2	1130558	1130863	0	0	2	2	0	0	0	0	0
7	3	0	86	14	0	2	1	-110	3	2	1133891	1134006	3	3	0	1	1134790	784	0	0	0
7	3	0	87	15	0	2	1	-300	1	4	1137016	1137321	0	0	2	2	0	0	0	0	0
7	3	0	88	16	0	2	1	-300	3	4	1140339	1140644	3	3	0	1	1141655	1011	0	0	0
7	3	0	89	17	0	2	1	300	4	3	1143671	1143976	4	4	1	1	1144878	902	0	0	0
7	3	0	90	18	0	2	1	-300	3	1	1147003	1147308	3	3	0	1	1148179	871	0	0	0
7	3	0	91	19	0	2	1	110	2	3	1150335	1150450	1	2	1	1	1151063	613	0	0	0
7	3	0	92	20	0	2	1	-50	4	2	1153461	1153516	4	4	0	1	1154431	915	0	0	0
7	3	0	93	21	0	2	1	110	1	3	1156533	1156648	0	0	2	2	0	0	0	0	0
7	3	0	94	22	0	2	1	300	2	1	1159666	1159971	1	2	1	1	1160745	774	0	0	0
7	3	0	95	23	0	2	1	300	2	3	1162998	1163303	1	2	1	1	1164188	885	0	0	0
7	3	0	96	24	0	2	1	110	4	3	1166330	1166445	4	4	1	1	1167106	661	0	0	0
7	3	0	97	25	0	2	1	-300	4	2	1169456	1169761	4	4	0	1	1170611	850	0	0	0
7	3	0	98	26	0	2	1	50	2	1	1172778	1172833	1	2	1	1	1173775	942	0	0	0
7	3	0	99	27	0	2	1	300	4	1	1175861	1176166	4	4	1	1	1176906	740	0	0	0
7	3	0	100	28	0	2	1	300	1	3	1179193	1179498	2	1	1	1	1180047	549	0	0	0
7	3	0	101	29	0	2	1	110	4	1	1182525	1182640	4	4	1	1	1183659	1019	0	0	0
7	3	0	102	30	0	2	1	-50	1	4	1185657	1185712	2	1	0	1	1186875	1163	0	0	0
7	3	0	103	31	0	2	1	-50	3	2	1188740	1188795	3	3	0	1	1189963	1168	0	0	0
7	3	0	104	32	0	2	1	-50	3	4	1191822	1191877	4	4	1	0	1194077	2200	0	0	0
7	3	0	105	33	0	2	1	-110	3	4	1194905	1195020	3	3	0	1	1196079	1059	0	0	0
7	3	0	106	34	0	2	1	-110	3	1	1198037	1198152	3	3	0	1	1199292	1140	0	0	0
7	3	0	107	35	0	2	1	300	2	4	1201162	1201467	1	2	1	1	1201988	521	0	0	0
7	3	0	108	36	0	2	1	50	1	3	1204485	1204540	2	1	1	1	1205457	917	0	0	0
7	3	0	73	37	1	2	1	110	2	4	1207567	1207682	1	2	1	1	1208489	807	0	0	0
7	3	0	75	38	1	2	1	50	4	1	1210700	1210755	2	1	0	0	1211989	1234	0	0	0
7	3	0	76	39	1	2	1	-110	4	2	1213782	1213897	4	4	0	1	1214991	1094	0	0	0
7	3	0	81	40	1	2	1	-110	1	4	1216914	1217029	2	1	0	1	1218216	1187	0	0	0
7	3	0	82	41	1	2	1	-110	1	2	1220047	1220162	2	1	0	1	1221127	965	0	0	0
7	3	0	85	42	1	2	1	-300	1	2	1223179	1223484	2	1	0	1	1224131	647	0	0	0
7	3	0	87	43	1	2	1	-300	1	4	1226511	1226816	2	1	0	1	1227600	784	0	0	0
7	3	0	93	44	1	2	1	110	1	3	1229844	1229959	2	1	1	1	1231122	1163	0	0	0
7	4	0	109	1	0	2	1	-300	3	1	1263150	1263455	3	3	2	7	1264160	705	0	0	0
7	4	0	110	2	0	2	1	300	2	1	1266464	1266769	1	2	1	1	1267365	596	0	0	0
7	4	0	111	3	0	2	1	300	1	3	1269781	1270086	2	1	1	1	1270730	644	0	0	0
7	4	0	112	4	0	2	1	-300	1	2	1273096	1273401	0	0	2	2	0	0	0	0	0
7	4	0	113	5	0	2	1	-110	1	4	1276411	1276526	0	0	2	2	0	0	0	0	0
7	4	0	114	6	0	2	1	110	4	3	1279544	1279659	4	4	1	1	1280213	554	0	0	0
7	4	0	115	7	0	2	1	50	2	1	1282677	1282732	1	2	1	1	1283639	907	0	0	0
7	4	0	116	8	0	2	1	50	4	3	1285759	1285814	4	4	1	1	1286736	922	0	0	0
7	4	0	117	9	0	2	1	110	1	3	1288841	1288956	2	1	1	1	1289509	553	0	0	0
7	4	0	118	10	0	2	1	-110	3	1	1291967	1292082	3	3	0	1	1292861	779	0	0	0
7	4	0	119	11	0	2	1	300	2	4	1295106	1295411	1	2	1	1	1295940	529	0	0	0
7	4	0	120	12	0	2	1	-110	3	2	1298438	1298553	3	3	0	1	1299385	832	0	0	0
7	4	0	121	13	0	2	1	50	1	3	1301571	1301626	0	0	2	2	0	0	0	0	0
7	4	0	122	14	0	2	1	-50	3	1	1304653	1304708	0	0	2	2	0	0	0	0	0
7	4	0	123	15	0	2	1	110	2	4	1307736	1307851	1	2	1	1	1308603	752	0	0	0
7	4	0	124	16	0	2	1	-50	1	2	1310868	1310923	1	2	1	0	1312327	1404	0	0	0
7	4	0	125	17	0	2	1	-50	4	2	1313950	1314005	1	2	1	0	1315787	1782	0	0	0
7	4	0	126	18	0	2	1	300	2	3	1317033	1317338	1	2	1	1	1318095	757	0	0	0
7	4	0	127	19	0	2	1	-50	1	4	1320365	1320420	2	1	0	1	1321609	1189	0	0	0
7	4	0	128	20	0	2	1	50	2	4	1323447	1323502	1	2	1	1	1324320	818	0	0	0
7	4	0	129	21	0	2	1	-50	3	2	1326530	1326585	3	3	0	1	1327392	807	0	0	0
7	4	0	130	22	0	2	1	-300	1	4	1329612	1329917	0	0	2	2	0	0	0	0	0
7	4	0	131	23	0	2	1	-300	3	2	1332944	1333249	3	3	0	1	1333724	475	0	0	0
7	4	0	132	24	0	2	1	110	2	3	1336276	1336391	1	2	1	1	1337758	1367	0	0	0
7	4	0	133	25	0	2	1	50	2	3	1339409	1339464	1	2	1	1	1340203	739	0	0	0
7	4	0	134	26	0	2	1	-50	3	4	1342491	1342546	3	3	0	1	1343692	1146	0	0	0
7	4	0	135	27	0	2	1	-110	4	2	1345574	1345689	4	4	0	1	1346700	1011	0	0	0
7	4	0	136	28	0	2	1	-300	3	4	1348706	1349011	3	3	0	1	1349410	399	0	0	0
7	4	0	137	29	0	2	1	300	4	3	1352038	1352343	4	4	1	1	1353023	680	0	0	0
7	4	0	138	30	0	2	1	110	4	1	1355370	1355485	4	4	1	1	1356860	1375	0	0	0
7	4	0	139	31	0	2	1	50	4	1	1358503	1358558	4	4	1	1	1359592	1034	0	0	0
7	4	0	140	32	0	2	1	-110	3	4	1361585	1361700	3	3	0	1	1362374	674	0	0	0
7	4	0	141	33	0	2	1	110	2	1	1364717	1364832	1	2	1	1	1365796	964	0	0	0
7	4	0	142	34	0	2	1	300	4	1	1367843	1368148	4	4	1	1	1368723	575	0	0	0
7	4	0	143	35	0	2	1	-110	1	2	1371165	1371280	2	1	0	1	1372007	727	0	0	0
7	4	0	144	36	0	2	1	-300	4	2	1374298	1374603	4	4	0	1	1375124	521	0	0	0
7	4	0	109	37	1	2	1	-300	3	1	1377630	1377935	3	3	2	5	1378864	929	3	1378864	929
7	4	0	112	38	1	2	1	-300	1	2	1380962	1381267	2	1	0	1	1382266	999	0	0	0
7	4	0	113	39	1	2	1	-110	1	4	1384295	1384410	0	0	2	2	0	0	0	0	0
7	4	0	121	40	1	2	1	50	1	3	1387427	1387482	0	0	2	2	0	0	0	0	0
7	4	0	122	41	1	2	1	-50	3	1	1390509	1390564	3	3	0	1	1391445	881	0	0	0
7	4	0	130	42	1	2	1	-300	1	4	1393592	1393897	2	1	0	1	1394775	878	0	0	0
7	4	0	113	43	2	2	1	-110	1	4	1396924	1397039	4	4	1	0	1399068	2029	0	0	0
7	4	0	121	44	2	2	1	50	1	3	1400056	1400111	0	0	2	2	0	0	0	0	0
7	4	0	121	45	3	2	1	50	1	3	1403120	1403175	2	1	1	1	1403824	649	0	0	0
7	5	1	999	1	0	1	2	-1000	3	2	1705626	1706631	4	3	0	1	1707236	605	0	0	0
7	5	1	999	2	0	1	2	1000	2	3	1709638	1710643	2	2	1	1	1711389	746	0	0	0
7	5	1	999	3	0	1	2	-1000	3	4	1713657	1714662	4	3	0	1	1715428	766	0	0	0
