subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
21	1	1	999	1	0	1	2	1000	4	1	318626	319631	3	4	2	3	319664	33	0	0	0
21	1	1	999	2	0	1	2	-1000	3	1	323637	324642	0	0	2	2	0	0	0	0	0
21	1	1	999	3	0	1	2	1000	4	3	328656	329661	3	4	1	1	331506	1845	0	0	0
21	1	1	999	4	0	1	2	1000	1	3	332670	333675	1	1	1	1	335785	2110	0	0	0
21	1	1	999	5	0	1	2	1000	1	3	336681	337686	4	3	0	0	339262	1576	0	0	0
21	1	1	999	1	0	1	2	1000	4	1	20476	21481	3	4	1	1	22450	969	0	0	0
21	1	1	999	2	0	1	2	1000	1	3	24491	25496	1	1	1	1	26722	1226	0	0	0
21	1	1	999	3	0	1	2	1000	1	3	28506	29511	1	1	1	1	30651	1140	0	0	0
21	1	1	999	4	0	1	2	1000	1	3	32522	33527	1	1	1	1	34757	1230	0	0	0
21	1	1	999	5	0	1	2	1000	2	3	36535	37540	2	2	1	1	38450	910	0	0	0
21	1	0	1	1	0	1	2	300	2	4	67110	67415	3	4	2	7	70288	2873	0	0	0
21	1	0	2	2	0	1	2	-50	4	2	70425	70480	0	0	2	2	0	0	0	0	0
21	1	0	3	3	0	1	2	-110	4	2	73491	73606	4	3	2	6	75218	1612	0	0	0
21	1	0	4	4	0	1	2	110	2	1	76624	76739	2	2	1	1	77675	936	0	0	0
21	1	0	5	5	0	1	2	300	4	1	79756	80061	3	4	1	1	80671	610	0	0	0
21	1	0	6	6	0	1	2	110	4	1	83088	83203	3	4	1	1	84070	867	0	0	0
21	1	0	7	7	0	1	2	300	2	1	86220	86525	2	2	1	1	87333	808	0	0	0
21	1	0	8	8	0	1	2	50	2	1	89553	89608	2	2	1	1	90918	1310	0	0	0
21	1	0	9	9	0	1	2	-50	3	2	92635	92690	4	3	0	1	93794	1104	0	0	0
21	1	0	10	10	0	1	2	-300	3	2	95717	96022	4	3	0	1	97281	1259	0	0	0
21	1	0	11	11	0	1	2	110	1	3	99049	99164	4	3	0	0	100383	1219	0	0	0
