subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	secondButtonToj	timeSecondTojReaction	secondResponsetimeToj
9	1	1	999	1	0	1	2	-1000	4	2	9213	10218	3	4	0	1	11063	845	0	0	0
9	1	1	999	2	0	1	2	1000	2	4	13228	14233	2	2	1	1	15343	1110	0	0	0
9	1	1	999	3	0	1	2	-1000	3	4	17244	18249	4	3	0	1	19110	861	0	0	0
9	1	1	999	4	0	1	2	1000	1	3	21259	22264	1	1	1	1	23263	999	0	0	0
9	1	1	999	5	0	1	2	-1000	1	2	25272	26277	1	1	0	1	27368	1091	0	0	0
9	1	0	1	1	0	1	2	110	2	4	42433	42548	3	4	2	7	45006	2458	3	45006	2458
9	1	0	2	2	0	1	2	-300	3	2	45568	45873	2	2	1	0	48638	2765	0	0	0
9	1	0	3	3	0	1	2	50	2	4	48884	48939	0	0	2	2	0	0	0	0	0
9	1	0	4	4	0	1	2	-50	3	4	51948	52003	0	0	2	2	0	0	0	0	0
9	1	0	5	5	0	1	2	-50	1	4	55015	55070	3	4	2	5	56764	1694	3	56764	1694
9	1	0	6	6	0	1	2	300	4	1	58097	58402	4	3	2	6	59350	948	0	0	0
9	1	0	7	7	0	1	2	50	2	3	61430	61485	2	2	1	1	63048	1563	0	0	0
9	1	0	8	8	0	1	2	110	4	1	64512	64627	2	2	2	6	65962	1335	0	0	0
9	1	0	9	9	0	1	2	-300	1	4	67638	67943	1	1	0	1	69016	1073	0	0	0
9	1	0	10	10	0	1	2	110	1	3	70953	71068	1	1	1	1	72286	1218	0	0	0
9	1	0	11	11	0	1	2	300	1	3	74092	74397	3	4	2	5	76225	1828	3	76225	1828
9	1	0	12	12	0	1	2	300	4	3	77425	77730	3	4	1	1	79592	1862	0	0	0
9	1	0	13	13	0	1	2	-300	3	4	80757	81062	3	4	2	5	81938	876	3	81938	876
9	1	0	14	14	0	1	2	-50	1	2	84089	84144	1	1	0	1	85929	1785	0	0	0
9	1	0	15	15	0	1	2	50	4	3	87172	87227	1	1	2	6	89358	2131	0	0	0
9	1	0	16	16	0	1	2	300	2	1	90254	90559	3	4	2	5	92654	2095	3	92654	2095
9	1	0	17	17	0	1	2	300	2	4	93586	93891	2	2	1	1	95334	1443	0	0	0
9	1	0	18	18	0	1	2	50	1	3	96919	96974	3	4	2	5	98673	1699	3	98673	1699
9	1	0	19	19	0	1	2	50	4	1	100001	100056	4	3	2	5	102169	2113	4	102169	2113
9	1	0	20	20	0	1	2	-300	3	1	103083	103388	4	3	0	1	104549	1161	0	0	0
9	1	0	21	21	0	1	2	50	2	1	106416	106471	2	2	2	5	107746	1275	2	107746	1275
9	1	0	22	22	0	1	2	-50	3	2	109498	109553	2	2	1	0	111241	1688	0	0	0
9	1	0	23	23	0	1	2	110	2	1	112580	112695	2	2	1	1	114033	1338	0	0	0
9	1	0	24	24	0	1	2	-110	4	2	115713	115828	4	3	2	6	116897	1069	0	0	0
9	1	0	25	25	0	1	2	-300	4	2	118845	119150	0	0	2	2	0	0	0	0	0
9	1	0	26	26	0	1	2	-110	3	2	122177	122292	3	4	2	5	123999	1707	3	123999	1707
9	1	0	27	27	0	1	2	-110	1	4	125303	125418	2	2	2	6	127382	1964	0	0	0
9	1	0	28	28	0	1	2	-110	3	4	128445	128560	0	0	2	2	0	0	0	0	0
9	1	0	29	29	0	1	2	110	2	3	131577	131692	0	0	2	2	0	0	0	0	0
9	1	0	30	30	0	1	2	110	4	3	134709	134824	3	4	1	1	135526	702	0	0	0
9	1	0	31	31	0	1	2	-110	1	2	137842	137957	1	1	0	1	138828	871	0	0	0
9	1	0	32	32	0	1	2	-300	1	2	140974	141279	1	1	0	1	142448	1169	0	0	0
9	1	0	33	33	0	1	2	-110	3	1	144306	144421	3	4	2	5	145615	1194	3	145615	1194
9	1	0	34	34	0	1	2	-50	4	2	147432	147487	3	4	0	1	148296	809	0	0	0
9	1	0	35	35	0	1	2	300	2	3	150504	150809	2	2	1	1	151980	1171	0	0	0
9	1	0	36	36	0	1	2	-50	3	1	153837	153892	3	4	2	5	155056	1164	3	155056	1164
9	1	0	1	37	1	1	2	110	2	4	156919	157034	2	2	1	1	158188	1154	0	0	0
9	1	0	3	38	1	1	2	50	2	4	160051	160106	2	2	1	1	161429	1323	0	0	0
9	1	0	4	39	1	1	2	-50	3	4	163134	163189	3	4	2	5	164447	1258	3	164447	1258
9	1	0	5	40	1	1	2	-50	1	4	166216	166271	1	1	0	1	167659	1388	0	0	0
9	1	0	6	41	1	1	2	300	4	1	169299	169604	3	4	1	1	170499	895	0	0	0
9	1	0	8	42	1	1	2	110	4	1	172631	172746	3	4	1	1	173843	1097	0	0	0
9	1	0	11	43	1	1	2	300	1	3	175763	176068	1	1	1	1	177167	1099	0	0	0
9	1	0	15	44	1	1	2	50	4	3	179095	179150	3	4	2	5	180525	1375	3	180525	1375
9	1	0	16	45	1	1	2	300	2	1	182178	182483	2	2	1	1	184569	2086	0	0	0
9	1	0	18	46	1	1	2	50	1	3	185510	185565	3	4	2	6	187235	1670	0	0	0
9	1	0	19	47	1	1	2	50	4	1	188592	188647	4	3	2	6	190126	1479	0	0	0
9	1	0	24	48	1	1	2	-110	4	2	191675	191790	4	3	2	6	193821	2031	0	0	0
9	1	0	25	49	1	1	2	-300	4	2	194807	195112	4	3	2	6	196769	1657	0	0	0
9	1	0	26	50	1	1	2	-110	3	2	198139	198254	4	3	0	1	199955	1701	0	0	0
9	1	0	27	51	1	1	2	-110	1	4	201266	201381	1	1	0	1	202939	1558	0	0	0
9	1	0	28	52	1	1	2	-110	3	4	204404	204519	3	4	2	5	206081	1562	3	206081	1562
9	1	0	29	53	1	1	2	110	2	3	207536	207651	3	4	2	5	209387	1736	3	209387	1736
9	1	0	33	54	1	1	2	-110	3	1	210669	210784	4	3	0	1	212336	1552	0	0	0
9	1	0	36	55	1	1	2	-50	3	1	213801	213856	1	1	1	0	215659	1803	0	0	0
9	1	0	18	56	2	1	2	50	1	3	216884	216939	3	4	2	5	218397	1458	3	218397	1458
9	1	0	19	57	2	1	2	50	4	1	219966	220021	4	3	2	5	222343	2322	4	222343	2322
9	1	0	24	58	2	1	2	-110	4	2	223048	223163	2	2	1	0	225140	1977	0	0	0
9	1	0	25	59	2	1	2	-300	4	2	226181	226486	3	4	0	1	227518	1032	0	0	0
9	1	0	29	60	2	1	2	110	2	3	229513	229628	4	3	0	0	230657	1029	0	0	0
9	1	0	18	61	3	1	2	50	1	3	232645	232700	3	4	2	6	234343	1643	0	0	0
9	1	0	19	62	3	1	2	50	4	1	235728	235783	3	4	1	1	237149	1366	0	0	0
9	1	0	18	63	4	1	2	50	1	3	238810	238865	4	3	0	0	239873	1008	0	0	0
9	2	0	37	1	0	1	2	110	2	4	298708	298823	4	3	2	7	299653	830	0	0	0
9	2	0	38	2	0	1	2	-50	1	4	301840	301895	3	4	1	0	302638	743	0	0	0
9	2	0	39	3	0	1	2	-50	4	2	304922	304977	4	3	2	6	306003	1026	0	0	0
9	2	0	40	4	0	1	2	-50	1	2	307986	308041	1	1	0	1	309263	1222	0	0	0
9	2	0	41	5	0	1	2	300	4	3	311054	311359	3	4	2	5	312373	1014	3	312373	1014
9	2	0	42	6	0	1	2	110	4	1	314386	314501	0	0	2	2	0	0	0	0	0
9	2	0	43	7	0	1	2	300	1	3	317518	317823	1	1	1	1	318600	777	0	0	0
9	2	0	44	8	0	1	2	-50	3	1	320851	320906	4	3	0	1	321834	928	0	0	0
9	2	0	45	9	0	1	2	300	2	3	323933	324238	2	2	1	1	325267	1029	0	0	0
9	2	0	46	10	0	1	2	-300	3	4	327265	327570	4	3	0	1	328434	864	0	0	0
9	2	0	47	11	0	1	2	110	2	1	330598	330713	2	2	1	1	331878	1165	0	0	0
9	2	0	48	12	0	1	2	-50	3	4	333730	333785	4	3	0	1	334802	1017	0	0	0
9	2	0	49	13	0	1	2	-300	1	2	336812	337117	1	1	0	1	338015	898	0	0	0
9	2	0	50	14	0	1	2	50	2	1	340145	340200	2	2	1	1	341287	1087	0	0	0
9	2	0	51	15	0	1	2	110	1	3	343227	343342	1	1	1	1	344275	933	0	0	0
9	2	0	52	16	0	1	2	300	4	1	346359	346664	4	3	2	6	347440	776	0	0	0
9	2	0	53	17	0	1	2	300	2	1	349692	349997	2	2	1	1	350846	849	0	0	0
9	2	0	54	18	0	1	2	-50	3	2	353024	353079	2	2	1	0	354392	1313	0	0	0
9	2	0	55	19	0	1	2	-300	3	1	356106	356411	4	3	0	1	357091	680	0	0	0
9	2	0	56	20	0	1	2	110	2	3	359439	359554	2	2	1	1	360621	1067	0	0	0
9	2	0	57	21	0	1	2	-110	1	2	362571	362686	2	2	1	0	363897	1211	0	0	0
9	2	0	58	22	0	1	2	300	2	4	365703	366008	2	2	1	1	366971	963	0	0	0
9	2	0	59	23	0	1	2	50	4	3	369035	369090	3	4	1	1	370081	991	0	0	0
9	2	0	60	24	0	1	2	-300	3	2	372118	372423	4	3	0	1	373309	886	0	0	0
9	2	0	61	25	0	1	2	-300	4	2	375450	375755	3	4	0	1	376483	728	0	0	0
9	2	0	62	26	0	1	2	-110	1	4	378782	378897	1	1	0	1	379681	784	0	0	0
9	2	0	63	27	0	1	2	-110	3	2	381915	382030	2	2	1	0	383169	1139	0	0	0
9	2	0	64	28	0	1	2	50	2	4	385047	385102	2	2	1	1	386186	1084	0	0	0
9	2	0	65	29	0	1	2	-110	4	2	388129	388244	3	4	0	1	389181	937	0	0	0
9	2	0	66	30	0	1	2	50	4	1	391255	391310	3	4	1	1	392495	1185	0	0	0
9	2	0	67	31	0	1	2	-110	3	4	394327	394442	4	3	0	1	395337	895	0	0	0
9	2	0	68	32	0	1	2	-300	1	4	397460	397765	1	1	0	1	398546	781	0	0	0
9	2	0	69	33	0	1	2	50	1	3	400792	400847	1	1	1	1	401891	1044	0	0	0
9	2	0	70	34	0	1	2	110	4	3	403874	403989	4	3	0	0	404782	793	0	0	0
9	2	0	71	35	0	1	2	-110	3	1	407007	407122	4	3	0	1	408014	892	0	0	0
9	2	0	72	36	0	1	2	50	2	3	410139	410194	4	3	0	0	411382	1188	0	0	0
9	2	0	37	37	1	1	2	110	2	4	413222	413337	4	3	2	6	414357	1020	0	0	0
9	2	0	39	38	1	1	2	-50	4	2	416354	416409	4	3	2	6	417374	965	0	0	0
9	2	0	42	39	1	1	2	110	4	1	419436	419551	4	3	2	6	420813	1262	0	0	0
9	2	0	52	40	1	1	2	300	4	1	422569	422874	4	3	2	6	423733	859	0	0	0
9	2	0	37	41	2	1	2	110	2	4	425901	426016	3	4	0	0	426772	756	0	0	0
9	2	0	39	42	2	1	2	-50	4	2	429033	429088	3	4	0	1	429997	909	0	0	0
9	2	0	42	43	2	1	2	110	4	1	432116	432231	3	4	1	1	433229	998	0	0	0
9	2	0	52	44	2	1	2	300	4	1	435248	435553	3	4	1	1	436370	817	0	0	0
9	3	1	999	1	0	1	1	-1000	4	2	573654	574659	2	2	1	0	576137	1478	0	0	0
9	3	1	999	2	0	1	1	-1000	3	2	578665	579670	3	3	0	1	580890	1220	0	0	0
9	3	1	999	3	0	1	1	-1000	3	1	582685	583690	3	3	0	1	584618	928	0	0	0
9	3	1	999	4	0	1	1	1000	4	1	586700	587705	4	4	1	1	588658	953	0	0	0
9	3	1	999	5	0	1	1	1000	2	3	590713	591718	2	2	1	1	592702	984	0	0	0
9	3	0	73	1	0	1	1	-110	3	4	600212	600327	3	3	2	7	602030	1703	0	0	0
9	3	0	74	2	0	1	1	-50	1	4	603345	603400	3	3	2	6	604730	1330	0	0	0
9	3	0	75	3	0	1	1	-110	1	2	606427	606542	1	1	0	1	607612	1070	0	0	0
9	3	0	76	4	0	1	1	-50	3	1	609559	609614	1	1	1	0	610932	1318	0	0	0
9	3	0	77	5	0	1	1	110	2	4	612623	612738	2	2	1	1	613984	1246	0	0	0
9	3	0	78	6	0	1	1	50	1	3	615758	615813	3	3	0	0	616893	1080	0	0	0
9	3	0	79	7	0	1	1	-300	4	2	618840	619145	4	4	0	1	620409	1264	0	0	0
9	3	0	80	8	0	1	1	-300	3	4	622172	622477	3	3	0	1	623293	816	0	0	0
9	3	0	81	9	0	1	1	50	2	4	625504	625559	2	2	1	1	626728	1169	0	0	0
9	3	0	82	10	0	1	1	300	1	3	628587	628892	1	1	1	1	629868	976	0	0	0
9	3	0	83	11	0	1	1	-50	4	2	631919	631974	4	4	0	1	633365	1391	0	0	0
9	3	0	84	12	0	1	1	-110	1	4	635001	635116	3	3	2	6	636157	1041	0	0	0
9	3	0	85	13	0	1	1	110	1	3	638134	638249	1	1	1	1	639268	1019	0	0	0
9	3	0	86	14	0	1	1	50	4	3	641266	641321	3	3	0	0	642336	1015	0	0	0
9	3	0	87	15	0	1	1	300	2	4	644348	644653	2	2	1	1	645688	1035	0	0	0
9	3	0	88	16	0	1	1	-300	3	1	647681	647986	3	3	0	1	648750	764	0	0	0
9	3	0	89	17	0	1	1	110	2	3	651013	651128	2	2	1	1	651902	774	0	0	0
9	3	0	90	18	0	1	1	-50	3	4	654145	654200	3	3	0	1	655197	997	0	0	0
9	3	0	91	19	0	1	1	300	4	3	657228	657533	4	4	1	1	658386	853	0	0	0
9	3	0	92	20	0	1	1	-50	1	2	660560	660615	1	1	0	1	662324	1709	0	0	0
9	3	0	93	21	0	1	1	300	2	1	663642	663947	4	4	2	6	664928	981	0	0	0
9	3	0	94	22	0	1	1	-50	3	2	666975	667030	4	4	2	6	668068	1038	0	0	0
9	3	0	95	23	0	1	1	-300	3	2	670057	670362	3	3	0	1	671259	897	0	0	0
9	3	0	96	24	0	1	1	-110	4	2	673389	673504	2	2	1	0	674395	891	0	0	0
9	3	0	97	25	0	1	1	50	2	3	676522	676577	4	4	2	6	678157	1580	0	0	0
9	3	0	98	26	0	1	1	-300	1	4	679604	679909	1	1	0	1	680890	981	0	0	0
9	3	0	99	27	0	1	1	110	2	1	682936	683051	2	2	1	1	683950	899	0	0	0
9	3	0	100	28	0	1	1	50	2	1	686069	686124	2	2	1	1	687155	1031	0	0	0
9	3	0	101	29	0	1	1	300	4	1	689151	689456	4	4	1	1	690292	836	0	0	0
9	3	0	102	30	0	1	1	-110	3	1	692483	692598	3	3	0	1	693530	932	0	0	0
9	3	0	103	31	0	1	1	50	4	1	695609	695664	2	2	2	6	696804	1140	0	0	0
9	3	0	104	32	0	1	1	300	2	3	698681	698986	2	2	1	1	700046	1060	0	0	0
9	3	0	105	33	0	1	1	-300	1	2	702014	702319	1	1	0	1	703258	939	0	0	0
