subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	confidenceDelay	timeConfidenceReaction	responsetimeConfidence	confidenceTOJ
2	1	1	999	1	0	2	1	1	1000	4	3	163124	164124	3	3	0	0	166144	2020	valid	0	166813	669	high
2	1	1	999	2	0	2	1	1	1000	2	4	172118	173118	4	4	0	0	174938	1820	valid	0	175427	489	high
2	1	1	999	3	0	2	1	1	1000	2	4	181484	182484	4	4	0	0	184971	2487	valid	0	185273	302	high
2	1	1	999	4	0	2	1	1	1000	2	1	190933	191933	7	7	2	99	190808	-1125	several button presses	0	194778	3970	high
2	1	1	999	5	0	2	1	1	-1000	1	2	200741	201741	2	1	0	1	202541	800	valid	0	203129	588	high
2	1	0	1	1	0	2	1	1	300	2	4	225073	225373	1	2	1	1	226325	952	block start	0	226539	214	high
2	1	0	2	2	0	2	1	1	300	1	3	229756	230056	2	1	1	1	230816	760	valid	0	231419	603	high
2	1	0	3	3	0	2	1	1	-50	3	2	234155	234205	3	3	0	1	236896	2691	valid	0	237283	387	low
2	1	0	4	4	0	2	1	1	110	2	1	240356	240466	1	2	1	1	242183	1717	valid	0	242729	546	high
2	1	0	5	5	0	2	1	1	50	1	3	245622	245672	0	0	2	99	0	0	no reaction	0	249078	249078	high
2	1	0	6	6	0	2	1	1	110	2	4	252455	252565	1	2	1	1	253766	1201	valid	0	254415	649	high
2	1	0	7	7	0	2	1	1	50	2	4	257188	257238	0	0	2	99	0	0	no reaction	0	260440	260440	low
2	1	0	8	8	0	2	1	1	50	2	1	263604	263654	1	2	1	1	265606	1952	valid	0	266140	534	high
2	1	0	9	9	0	2	1	1	110	4	1	269254	269364	2	1	0	0	271592	2228	valid	0	272102	510	high
2	1	0	10	10	0	2	1	1	-110	3	1	274870	274980	2	1	1	0	276836	1856	valid	0	277323	487	high
2	1	0	11	11	0	2	1	1	-300	3	4	280020	280320	3	3	0	1	281480	1160	valid	0	282391	911	high
2	1	0	12	12	0	2	1	1	-50	1	2	285503	285553	1	2	1	0	287260	1707	valid	0	287713	453	high
2	1	0	13	13	0	2	1	1	-300	4	2	290336	290636	4	4	0	1	292494	1858	valid	0	293486	992	high
2	1	0	14	14	0	2	1	1	-110	3	2	296169	296279	1	2	1	0	298369	2090	valid	0	299224	855	high
2	1	0	15	15	0	2	1	1	50	4	3	302135	302185	3	3	0	0	303973	1788	valid	0	304594	621	high
2	1	0	16	16	0	2	1	1	-110	1	4	307468	307578	2	1	0	1	309485	1907	valid	0	309975	490	high
2	1	0	17	17	0	2	1	1	-300	1	4	313001	313301	2	1	0	1	314429	1128	valid	0	315042	613	high
2	1	0	18	18	0	2	1	1	300	4	1	318068	318368	4	4	1	1	319969	1601	valid	0	320741	772	high
2	1	0	19	19	0	2	1	1	-50	4	2	323601	323651	1	2	1	0	326192	2541	valid	0	327081	889	high
2	1	0	20	20	0	2	1	1	50	4	1	330167	330217	2	1	0	0	332091	1874	valid	0	332414	323	high
2	1	0	21	21	0	2	1	1	300	2	3	335417	335717	1	2	1	1	337329	1612	valid	0	337995	666	high
2	1	0	22	22	0	2	1	1	-300	1	2	340700	341000	1	2	1	0	342240	1240	valid	0	342813	573	high
2	1	0	23	23	0	2	1	1	110	1	3	345833	345943	3	3	0	0	348170	2227	valid	0	349335	1165	low
2	1	0	24	24	0	2	1	1	300	2	1	352416	352716	1	2	1	1	354008	1292	valid	0	354579	571	high
2	1	0	25	25	0	2	1	1	-110	3	4	357499	357609	4	4	1	0	359348	1739	valid	0	360225	877	high
2	1	0	26	26	0	2	1	1	-300	3	1	363349	363649	3	3	0	1	366112	2463	valid	0	366558	446	low
2	1	0	27	27	0	2	1	1	-50	3	1	369665	369715	0	0	2	99	0	0	no reaction	0	373147	373147	high
