subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	confidenceDelay	timeConfidenceReaction	responsetimeConfidence	confidenceTOJ
8	1	0	1	1	0	1	1	1	50	2	3	113376	113426	2	2	1	1	114976	1550	block start	319	116123	1147	high
8	1	0	2	2	0	1	1	1	-50	3	4	118526	118576	0	0	2	99	0	0	no reaction	796	122238	122238	low
8	1	0	3	3	0	1	1	1	300	4	3	127742	128042	4	4	1	1	128757	715	valid	517	0	0	high
8	1	0	4	4	0	1	1	1	-50	3	2	135508	135558	3	3	0	1	136825	1267	valid	558	137829	1004	high
8	1	0	5	5	0	1	1	1	110	1	3	140241	140351	1	1	1	1	141999	1648	valid	753	143298	1299	high
8	1	0	6	6	0	1	1	1	110	2	1	145874	145984	2	2	1	1	146764	780	valid	542	147884	1120	high
8	1	0	7	7	0	1	1	1	-50	1	2	150341	150391	2	2	1	0	151705	1314	valid	516	151721	16	high
8	1	0	8	8	0	1	1	1	-110	1	2	155407	155517	2	2	1	0	156608	1091	valid	765	157589	981	high
8	1	0	9	9	0	1	1	1	-300	3	2	159973	160273	1	1	2	99	162222	1949	wrong limb	563	163269	1047	low
8	1	0	10	10	0	1	1	1	110	4	3	165756	165866	4	4	1	1	166808	942	valid	499	168161	1353	high
8	1	0	11	11	0	1	1	1	50	2	4	170640	170690	4	4	0	0	172184	1494	valid	367	173350	1166	high
8	1	0	12	12	0	1	1	1	-110	3	4	175706	175816	4	4	1	0	177205	1389	valid	757	178602	1397	high
8	1	0	13	13	0	1	1	1	-110	4	2	181056	181166	4	4	0	1	182753	1587	valid	649	183675	922	low
8	1	0	14	14	0	1	1	1	50	1	3	186455	186505	3	3	0	0	188608	2103	valid	677	189878	1270	low
8	1	0	15	15	0	1	1	1	-50	4	2	192288	192338	4	4	0	1	194628	2290	valid	316	194656	28	low
8	1	0	16	16	0	1	1	1	300	1	3	197905	198205	1	1	1	1	199361	1156	valid	424	200356	995	high
8	1	0	17	17	0	1	1	1	110	2	3	202888	202998	2	2	1	1	203793	795	valid	259	204791	998	high
8	1	0	18	18	0	1	1	1	-300	3	1	207271	207571	3	3	0	1	208703	1132	valid	328	210421	1718	high
