subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	confidenceDelay	timeConfidenceReaction	responsetimeConfidence	confidenceTOJ
7	1	1	999	1	0	2	2	1	1000	2	4	270004	271004	1	2	1	1	272074	1070	valid	457	0	0	high
7	1	1	999	2	0	2	2	1	1000	2	4	281370	282370	1	2	1	1	283119	749	valid	513	284140	1021	high
7	1	1	999	3	0	2	2	1	-1000	3	2	286803	287803	4	3	0	1	289015	1212	valid	711	290056	1041	high
7	1	1	999	4	0	2	2	1	-1000	3	2	293170	294170	4	3	0	1	294782	612	valid	370	295849	1067	high
7	1	1	999	5	0	2	2	1	-1000	3	2	298420	299420	4	3	0	1	300012	592	valid	300	301220	1208	high
7	1	0	1	1	0	2	2	1	-110	3	4	311336	311446	4	3	0	1	312450	1004	block start	593	313842	1392	high
7	1	0	2	2	0	2	2	1	-50	1	4	316385	316435	2	1	0	1	318081	1646	valid	467	319212	1131	low
7	1	0	3	3	0	2	2	1	-110	1	4	321885	321995	2	1	0	1	323012	1017	valid	256	324054	1042	high
7	1	0	4	4	0	2	2	1	110	2	3	326718	326828	1	2	1	1	328094	1266	valid	635	329085	991	high
7	1	0	5	5	0	2	2	1	50	2	4	331751	331801	1	2	1	1	332989	1188	valid	778	333804	815	high
7	1	0	6	6	0	2	2	1	-110	3	2	336535	336645	1	2	1	0	338560	1915	valid	436	339671	1111	low
7	1	0	7	7	0	2	2	1	300	4	3	342318	342618	3	4	1	1	344201	1583	valid	709	345157	956	high
7	1	0	8	8	0	2	2	1	300	2	1	347834	348134	1	2	1	1	349142	1008	valid	300	350161	1019	high
7	1	0	9	9	0	2	2	1	-50	3	1	353084	353134	2	1	1	0	354369	1235	valid	230	355417	1048	high
7	1	0	10	10	0	2	2	1	300	4	1	358017	358317	3	4	1	1	358827	510	valid	489	360078	1251	high
