subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	confidenceDelay	timeConfidenceReaction	responsetimeConfidence	confidenceTOJ
5	1	0	1	1	0	1	2	1	300	2	3	24281	24581	2	2	1	1	25006	425	block start	724	26068	1062	high
5	1	0	2	2	0	1	2	1	-110	4	2	28698	28808	2	2	1	0	29712	904	valid	433	31104	1392	low
5	1	0	3	3	0	1	2	1	110	2	4	33964	34074	2	2	1	1	34731	657	valid	653	35520	789	high
5	1	0	4	4	0	1	2	1	-300	3	4	38364	38664	4	3	0	1	39596	932	valid	444	40826	1230	high
5	1	0	5	5	0	1	2	1	110	1	3	43464	43574	1	1	1	1	44364	790	valid	466	45331	967	high
5	1	0	6	6	0	1	2	1	-110	1	4	47997	48107	1	1	0	1	49155	1048	valid	201	50170	1015	high
5	1	0	7	7	0	1	2	1	-110	3	2	52746	52856	2	2	1	0	53914	1058	valid	289	55383	1469	low
5	1	0	8	8	0	1	2	1	300	2	1	58113	58413	2	2	1	1	59658	1245	valid	229	60461	803	high
5	1	0	9	9	0	1	2	1	-300	1	2	63279	63579	1	1	0	1	64741	1162	valid	229	65598	857	high
5	1	0	10	10	0	1	2	1	50	4	3	68262	68312	3	4	1	1	69637	1325	valid	238	70785	1148	low
5	1	0	11	11	0	1	2	1	50	2	3	73495	73545	2	2	1	1	74831	1286	valid	671	75988	1157	high
5	1	0	12	12	0	1	2	1	300	4	3	78978	79278	3	4	1	1	79867	589	valid	233	80939	1072	high
5	1	0	13	13	0	1	2	1	-50	4	2	83844	83894	2	2	1	0	84632	738	valid	228	85828	1196	high
5	1	0	14	14	0	1	2	1	-300	3	2	88594	88894	4	3	0	1	89601	707	valid	406	90712	1111	high
5	1	0	15	15	0	1	2	1	300	1	3	93727	94027	1	1	1	1	94571	544	valid	262	95800	1229	high
5	1	0	16	16	0	1	2	1	300	2	4	98377	98677	0	0	2	99	0	0	no reaction	372	103103	103103	high
5	1	0	17	17	0	1	2	1	-110	1	2	108043	108153	1	1	0	1	109319	1166	valid	673	110483	1164	low
5	1	0	18	18	0	1	2	1	-50	1	2	113293	113343	2	2	1	0	115204	1861	valid	651	116116	912	low
5	1	0	19	19	0	1	2	1	-300	4	2	119024	119324	3	4	0	1	120022	698	valid	346	120952	930	high
5	1	0	20	20	0	1	2	1	-50	3	4	123625	123675	3	4	1	0	125264	1589	valid	641	126329	1065	low
5	1	0	21	21	0	1	2	1	110	4	1	129058	129168	1	1	0	0	130283	1115	valid	576	131352	1069	low
5	1	0	22	22	0	1	2	1	50	1	3	134125	134175	3	4	2	99	136554	2379	wrong limb	216	137434	880	low
5	1	0	23	23	0	1	2	1	-50	3	1	140108	140158	1	1	1	0	140998	840	valid	569	141943	945	high
5	1	0	24	24	0	1	2	1	50	2	1	144607	144657	2	2	1	1	145506	849	valid	235	146787	1281	high
5	1	0	25	25	0	1	2	1	110	2	1	149390	149500	1	1	0	0	150817	1317	valid	313	152060	1243	low
5	1	0	26	26	0	1	2	1	-110	3	4	155223	155333	4	3	0	1	156326	993	valid	299	157620	1294	low
5	1	0	27	27	0	1	2	1	-110	3	1	160506	160616	1	1	1	0	161659	1043	valid	407	163196	1537	low
5	1	0	28	28	0	1	2	1	50	4	1	165839	165889	1	1	0	0	167374	1485	valid	578	168360	986	high
5	1	0	29	29	0	1	2	1	50	2	4	171022	171072	2	2	1	1	171703	631	valid	251	173051	1348	high
5	1	0	30	30	0	1	2	1	300	4	1	176105	176405	3	4	1	1	177425	1020	valid	371	178424	999	high
5	1	0	31	31	0	1	2	1	-50	3	2	181221	181271	2	2	1	0	181995	724	valid	459	183498	1503	high
5	1	0	32	32	0	1	2	1	-50	1	4	186338	186388	3	4	1	0	188063	1675	valid	375	189334	1271	high
5	1	0	33	33	0	1	2	1	110	2	3	191788	191898	2	2	1	1	192623	725	valid	435	193934	1311	high
5	1	0	34	34	0	1	2	1	110	4	3	196454	196564	3	4	1	1	197622	1058	valid	238	198657	1035	low
5	1	0	35	35	0	1	2	1	-300	1	4	201387	201687	3	4	1	0	202956	1269	valid	434	203988	1032	high
5	1	0	36	36	0	1	2	1	-300	3	1	206587	206887	3	4	2	99	208438	1551	wrong limb	242	209427	989	high
5	1	0	1	37	1	1	2	1	300	2	3	211937	212237	0	0	2	99	0	0	no reaction	238	0	0	high
5	1	0	16	38	1	1	2	1	300	2	4	222586	222886	2	2	1	1	223692	806	valid	388	225050	1358	high
5	1	0	22	39	1	1	2	1	50	1	3	227886	227936	1	1	1	1	228960	1024	valid	532	230252	1292	high
5	1	0	36	40	1	1	2	1	-300	3	1	232869	233169	4	3	0	1	233814	645	valid	503	235119	1305	high
5	1	0	1	41	2	1	2	1	300	2	3	237702	238002	0	0	2	99	0	0	no reaction	390	0	0	low
5	1	0	1	42	3	1	2	1	300	2	3	247990	248290	2	2	1	1	249008	718	valid	566	250572	1564	high
5	2	0	37	1	0	1	2	1	-50	3	4	268789	268839	3	4	1	0	269683	844	block start	255	270932	1249	low
5	2	0	38	2	0	1	2	1	-300	3	2	274122	274422	2	2	1	0	275320	898	valid	252	276470	1150	low
5	2	0	39	3	0	1	2	1	50	2	1	279172	279222	1	1	0	0	280740	1518	valid	635	282015	1275	low
5	2	0	40	4	0	1	2	1	50	2	4	284605	284655	2	2	1	1	285520	865	valid	659	286769	1249	high
5	2	0	41	5	0	1	2	1	110	2	4	289338	289448	2	2	1	1	290086	638	valid	791	291576	1490	high
5	2	0	42	6	0	1	2	1	110	4	3	294621	294731	2	2	2	99	296037	1306	wrong limb	557	297133	1096	high
5	2	0	43	7	0	1	2	1	50	4	1	300237	300287	1	1	0	0	301146	859	valid	590	302270	1124	high
5	2	0	44	8	0	1	2	1	300	2	3	304987	305287	2	2	1	1	305803	516	valid	430	306982	1179	high
5	2	0	45	9	0	1	2	1	-110	4	2	309586	309696	3	4	0	1	311040	1344	valid	499	312484	1444	low
5	2	0	46	10	0	1	2	1	-50	1	2	315069	315119	2	2	1	0	316374	1255	valid	568	317693	1319	high
5	2	0	47	11	0	1	2	1	110	2	1	320286	320396	2	2	1	1	321061	665	valid	724	322509	1448	high
5	2	0	48	12	0	1	2	1	50	4	3	325235	325285	3	4	1	1	326048	763	valid	601	327366	1318	high
5	2	0	49	13	0	1	2	1	-110	3	4	330585	330695	3	4	1	0	331744	1049	valid	250	332940	1196	high
5	2	0	50	14	0	1	2	1	-50	1	4	335768	335818	1	1	0	1	336494	676	valid	657	338020	1526	high
5	2	0	51	15	0	1	2	1	-110	3	1	340568	340678	4	3	0	1	341758	1080	valid	284	342812	1054	high
5	2	0	52	16	0	1	2	1	300	1	3	346067	346367	1	1	1	1	347210	843	valid	724	348473	1263	high
5	2	0	53	17	0	1	2	1	-110	3	2	351950	352060	4	3	0	1	353386	1326	valid	510	354322	936	high
5	2	0	54	18	0	1	2	1	50	1	3	357533	357583	1	1	1	1	358635	1052	valid	750	360189	1554	high
5	2	0	55	19	0	1	2	1	-110	1	2	362766	362876	1	1	0	1	363863	987	valid	776	365238	1375	high
5	2	0	56	20	0	1	2	1	-300	1	2	368149	368449	1	1	0	1	368957	508	valid	676	370432	1475	high
5	2	0	57	21	0	1	2	1	110	4	1	373299	373409	3	4	1	1	375040	1631	valid	355	376227	1187	low
5	2	0	58	22	0	1	2	1	110	2	3	379049	379159	4	3	0	0	380309	1150	valid	373	381499	1190	high
5	2	0	59	23	0	1	2	1	-300	1	4	384398	384698	1	1	0	1	385802	1104	valid	702	387064	1262	low
5	2	0	60	24	0	1	2	1	300	4	1	389731	390031	3	4	1	1	390599	568	valid	733	392041	1442	high
5	2	0	61	25	0	1	2	1	-50	3	1	394848	394898	1	1	1	0	395900	1002	valid	521	397482	1582	high
5	2	0	62	26	0	1	2	1	-50	3	2	400114	400164	2	2	1	0	400784	620	valid	201	401876	1092	high
5	2	0	63	27	0	1	2	1	-50	4	2	404664	404714	2	2	1	0	405453	739	valid	663	406884	1431	high
5	2	0	64	28	0	1	2	1	300	2	4	409414	409714	2	2	1	1	410284	570	valid	462	411476	1192	high
5	2	0	65	29	0	1	2	1	-110	1	4	414063	414173	1	1	0	1	415026	853	valid	568	416392	1366	low
5	2	0	66	30	0	1	2	1	50	2	3	419113	419163	2	2	1	1	420010	847	valid	639	421273	1263	high
5	2	0	67	31	0	1	2	1	300	4	3	424446	424746	3	4	1	1	425611	865	valid	268	426670	1059	low
5	2	0	68	32	0	1	2	1	110	1	3	429629	429739	1	1	1	1	430393	654	valid	693	431891	1498	low
5	2	0	69	33	0	1	2	1	-300	4	2	434929	435229	3	4	0	1	435888	659	valid	553	436873	985	high
5	2	0	70	34	0	1	2	1	-300	3	1	439578	439878	1	1	1	0	440516	638	valid	379	441901	1385	low
5	2	0	71	35	0	1	2	1	300	2	1	445328	445628	2	2	1	1	446143	515	valid	273	447455	1312	high
5	2	0	72	36	0	1	2	1	-300	3	4	450161	450461	3	4	1	0	451798	1337	valid	421	452909	1111	low
5	2	0	37	37	1	1	2	1	-50	3	4	455494	455544	3	4	1	0	456882	1338	valid	599	458271	1389	low
5	2	0	42	38	1	1	2	1	110	4	3	461177	461287	3	4	1	1	462880	1593	valid	768	464316	1436	low
5	3	1	999	1	0	1	1	1	1000	1	3	472793	681647	1	1	1	1	682625	978	valid	528	684137	1512	high
5	3	1	999	2	0	1	1	1	-1000	1	4	684147	686863	1	1	0	1	687408	545	valid	229	688647	1239	high
5	3	1	999	3	0	1	1	1	1000	2	4	688663	691363	2	2	1	1	691886	523	valid	261	693169	1283	high
