subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	confidenceDelay	timeConfidenceReaction	responsetimeConfidence	confidenceTOJ
3	1	1	999	2	0	2	2	1	-1000	3	1	550989	551989	4	3	0	1	553873	1884	valid	0	555304	1431	low
3	1	1	999	3	0	2	2	1	1000	2	1	607720	608720	1	2	1	1	610229	1509	valid	0	610922	693	high
3	1	1	999	4	0	2	2	1	1000	1	3	615003	616003	2	1	1	1	616800	797	valid	0	617186	386	high
3	1	1	999	5	0	2	2	1	1000	4	3	620636	621636	4	3	0	0	623836	2200	valid	0	624161	325	high
3	1	0	1	1	0	2	2	1	110	2	1	644518	644628	2	1	0	0	646821	2193	block start	0	647293	472	low
3	1	0	2	2	0	2	2	1	300	1	3	650985	651285	2	1	1	1	652168	883	valid	0	652728	560	high
3	1	0	3	3	0	2	2	1	-300	3	1	656318	656618	4	3	0	1	657344	726	valid	0	657894	550	high
3	1	0	4	4	0	2	2	1	50	2	1	661551	661601	0	0	2	99	0	0	no reaction	0	664560	664560	low
3	1	0	5	5	0	2	2	1	300	4	3	667284	667584	0	0	2	99	0	0	no reaction	0	671679	671679	low
3	1	0	6	6	0	2	2	1	300	2	4	675667	675967	1	2	1	1	677726	1759	valid	0	680672	2946	low
3	1	0	7	7	0	2	2	1	-300	1	2	683866	684166	1	2	1	0	684941	775	valid	0	684953	12	low
3	1	0	8	8	0	2	2	1	-50	4	2	689999	690049	0	0	2	99	0	0	no reaction	0	693768	693768	low
3	1	0	9	9	0	2	2	1	-300	3	2	700438	700738	4	3	0	1	701512	774	valid	0	702016	504	high
3	1	0	10	10	0	2	2	1	-300	4	2	706471	706771	3	4	0	1	707430	659	valid	0	707921	491	low
3	1	0	11	11	0	2	2	1	-110	3	2	711771	711881	4	3	0	1	713477	1596	valid	0	713890	413	low
3	1	0	12	12	0	2	2	1	110	4	1	717887	717997	0	0	2	99	0	0	no reaction	0	722076	722076	low
3	1	0	13	13	0	2	2	1	50	4	1	726270	726320	0	0	2	99	0	0	no reaction	0	729431	729431	low
3	1	0	14	14	0	2	2	1	50	1	3	744169	744219	2	1	1	1	746507	2288	valid	0	746877	370	low
3	1	0	15	15	0	2	2	1	-50	3	1	750869	750919	4	3	0	1	752666	1747	valid	0	753050	384	low
3	1	0	16	16	0	2	2	1	50	2	4	757069	757119	2	1	2	99	758705	1586	wrong limb	0	758997	292	high
3	1	0	17	17	0	2	2	1	300	2	1	762935	763235	1	2	1	1	764007	772	valid	0	764302	295	high
3	1	0	18	18	0	2	2	1	110	1	3	769885	769995	1	2	2	99	771809	1814	wrong limb	0	772093	284	low
3	1	0	19	19	0	2	2	1	110	4	3	777384	777494	0	0	2	99	0	0	no reaction	0	780786	780786	low
3	1	0	20	20	0	2	2	1	50	4	3	784251	784301	2	1	2	99	786085	1784	wrong limb	0	786472	387	low
3	1	0	21	21	0	2	2	1	-300	3	4	791950	792250	4	3	0	1	794657	2407	valid	0	795085	428	low
3	1	0	22	22	0	2	2	1	-110	4	2	799333	799443	0	0	2	99	0	0	no reaction	0	802414	802414	low
3	1	0	23	23	0	2	2	1	-50	1	2	806150	806200	4	3	2	99	807972	1772	wrong limb	0	808303	331	high
3	1	0	24	24	0	2	2	1	300	4	1	812299	812599	1	2	2	99	813695	1096	wrong limb	0	813960	265	low
3	1	0	25	25	0	2	2	1	-110	3	4	818566	818676	4	3	0	1	820609	1933	valid	0	820937	328	low
3	1	0	26	26	0	2	2	1	-110	3	1	825149	825259	0	0	2	99	0	0	no reaction	0	828649	828649	low
3	1	0	27	27	0	2	2	1	-110	1	2	832715	832825	1	2	1	0	835352	2527	valid	0	835678	326	low
3	1	0	28	28	0	2	2	1	110	2	3	839281	839391	1	2	1	1	841014	1623	valid	0	841424	410	high
3	1	0	29	29	0	2	2	1	-50	3	4	846814	846864	4	3	0	1	848352	1488	valid	0	848651	299	high
3	1	0	30	30	0	2	2	1	-50	1	4	853864	853914	0	0	2	99	0	0	no reaction	0	857347	857347	low
3	1	0	31	31	0	2	2	1	110	2	4	862147	862257	0	0	2	99	0	0	no reaction	0	865242	865242	low
3	1	0	32	32	0	2	2	1	-300	1	4	870913	871213	0	0	2	99	0	0	no reaction	0	874527	874527	low
3	1	0	33	33	0	2	2	1	-110	1	4	879563	879673	1	2	2	99	881867	2194	wrong limb	0	882132	265	low
3	1	0	34	34	0	2	2	1	50	2	3	887551	887601	1	2	1	1	888739	1138	valid	0	889009	270	high
3	1	0	35	35	0	2	2	1	300	2	3	893485	893785	1	2	1	1	894636	851	valid	0	894994	358	low
3	1	0	36	36	0	2	2	1	-50	3	2	899084	899134	1	2	1	0	900118	984	valid	0	900373	255	high
3	1	0	1	37	1	2	2	1	110	2	1	904267	904377	2	1	0	0	905422	1045	valid	0	905812	390	high
3	1	0	4	38	1	2	2	1	50	2	1	909417	909467	1	2	1	1	910296	829	valid	0	910516	220	high
3	1	0	5	39	1	2	2	1	300	4	3	914417	914717	3	4	1	1	915364	647	valid	0	915839	475	high
3	1	0	8	40	1	2	2	1	-50	4	2	920050	920100	3	4	0	1	920857	757	valid	0	921224	367	high
3	1	0	12	41	1	2	2	1	110	4	1	925466	925576	1	2	2	99	928108	2532	wrong limb	0	928444	336	low
3	1	0	13	42	1	2	2	1	50	4	1	933133	933183	1	2	2	99	935109	1926	wrong limb	0	936097	988	low
3	1	0	16	43	1	2	2	1	50	2	4	939682	939732	1	2	1	1	940824	1092	valid	0	941051	227	low
3	1	0	18	44	1	2	2	1	110	1	3	945182	945292	2	1	1	1	947562	2270	valid	0	948517	955	low
3	1	0	19	45	1	2	2	1	110	4	3	953115	953225	3	4	1	1	954087	862	valid	0	955743	1656	low
3	1	0	20	46	1	2	2	1	50	4	3	959731	959781	4	3	0	0	961262	1481	valid	0	961418	156	high
3	1	0	22	47	1	2	2	1	-110	4	2	965698	965808	1	2	1	0	967963	2155	valid	0	968728	765	low
3	1	0	23	48	1	2	2	1	-50	1	2	972614	972664	2	1	0	1	973994	1330	valid	0	974291	297	high
3	1	0	24	49	1	2	2	1	300	4	1	978664	978964	1	2	2	99	979812	848	wrong limb	0	980109	297	high
3	1	0	26	50	1	2	2	1	-110	3	1	984230	984340	2	1	1	0	986304	1964	valid	0	986324	20	low
3	1	0	30	51	1	2	2	1	-50	1	4	990280	990330	1	2	2	99	991492	1162	wrong limb	0	992029	537	low
3	1	0	31	52	1	2	2	1	110	2	4	996163	996273	1	2	1	1	997384	1111	valid	0	997775	391	high
3	1	0	32	53	1	2	2	1	-300	1	4	1002363	1002663	1	2	2	99	1003519	856	wrong limb	0	1003870	351	high
3	1	0	33	54	1	2	2	1	-110	1	4	1008062	1008172	2	1	0	1	1009616	1444	valid	0	1010225	609	low
3	1	0	12	55	2	2	2	1	110	4	1	1014629	1014739	2	1	0	0	1016264	1525	valid	0	1016529	265	low
3	1	0	13	56	2	2	2	1	50	4	1	1020728	1020778	2	1	0	0	1022140	1362	valid	0	1022509	369	high
3	1	0	24	57	2	2	2	1	300	4	1	1026628	1026928	2	1	0	0	1028169	1241	valid	0	1028538	369	high
3	1	0	30	58	2	2	2	1	-50	1	4	1033111	1033161	2	1	0	1	1034601	1440	valid	0	1034972	371	high
3	1	0	32	59	2	2	2	1	-300	1	4	1038461	1038761	1	2	2	99	1039963	1202	wrong limb	0	1040379	416	high
3	1	0	32	60	3	2	2	1	-300	1	4	1044594	1044894	1	2	2	99	1045732	838	wrong limb	0	1046166	434	high
3	1	0	32	61	4	2	2	1	-300	1	4	1050777	1051077	3	4	1	0	1053774	2697	valid	0	1053786	12	low
3	2	0	37	1	0	2	2	1	-110	3	2	1080075	1080185	2	1	2	99	1081373	1188	block start	0	1081704	331	low
3	2	0	38	2	0	2	2	1	-300	3	4	1085575	1085875	4	3	0	1	1086707	832	valid	0	1087665	958	low
3	2	0	39	3	0	2	2	1	-300	1	2	1091392	1091692	1	2	1	0	1092531	839	valid	0	1092781	250	high
3	2	0	40	4	0	2	2	1	-110	1	4	1097391	1097501	2	1	0	1	1098532	1031	valid	0	1098877	345	low
3	2	0	41	5	0	2	2	1	110	4	3	1103458	1103568	2	1	2	99	1104983	1415	wrong limb	0	1105138	155	low
3	2	0	42	6	0	2	2	1	-50	4	2	1110474	1110524	0	0	2	99	0	0	no reaction	0	1114386	1114386	low
3	2	0	43	7	0	2	2	1	-110	3	4	1122723	1122833	4	3	0	1	1124096	1263	valid	0	1124611	515	high
3	2	0	44	8	0	2	2	1	300	2	3	1128690	1128990	1	2	1	1	1129645	655	valid	0	1130113	468	high
3	2	0	45	9	0	2	2	1	300	2	4	1134373	1134673	1	2	1	1	1135625	952	valid	0	1136339	714	high
3	2	0	46	10	0	2	2	1	-110	3	1	1140089	1140199	2	1	1	0	1141476	1277	valid	0	1142007	531	low
3	2	0	47	11	0	2	2	1	300	4	1	1146639	1146939	3	4	1	1	1148189	1250	valid	0	1149866	1677	low
3	2	0	48	12	0	2	2	1	50	2	4	1153755	1153805	1	2	1	1	1156376	2571	valid	0	1156936	560	low
3	2	0	49	13	0	2	2	1	-110	4	2	1160572	1160682	0	0	2	99	0	0	no reaction	0	1164637	1164637	low
3	2	0	50	14	0	2	2	1	50	2	3	1174204	1174254	1	2	1	1	1175948	1694	valid	0	1176194	246	low
3	2	0	51	15	0	2	2	1	-300	1	4	1180937	1181237	1	2	2	99	1182217	980	wrong limb	0	1182586	369	low
3	2	0	52	16	0	2	2	1	-110	1	2	1187037	1187147	2	1	0	1	1188195	1048	valid	0	1188530	335	high
3	2	0	53	17	0	2	2	1	50	1	3	1192170	1192220	1	2	2	99	1193409	1189	wrong limb	0	1193630	221	high
3	2	0	54	18	0	2	2	1	110	2	1	1198070	1198180	2	1	0	0	1199109	929	valid	0	1199295	186	high
3	2	0	55	19	0	2	2	1	110	2	4	1203769	1203879	1	2	1	1	1205326	1447	valid	0	1205437	111	low
3	2	0	56	20	0	2	2	1	-50	3	1	1209402	1209452	2	1	1	0	1210446	994	valid	0	1210794	348	low
3	2	0	57	21	0	2	2	1	110	1	3	1214536	1214646	1	2	2	99	1216313	1667	wrong limb	0	1216548	235	low
3	2	0	58	22	0	2	2	1	-50	1	4	1221002	1221052	4	3	2	99	1223127	2075	wrong limb	0	1223678	551	low
3	2	0	59	23	0	2	2	1	-300	4	2	1227568	1227868	2	1	2	99	1228864	996	wrong limb	0	1229237	373	high
3	2	0	60	24	0	2	2	1	110	4	1	1233418	1233528	2	1	0	0	1234414	886	valid	0	1234703	289	high
3	2	0	61	25	0	2	2	1	50	4	1	1239151	1239201	3	4	1	1	1240429	1228	valid	0	1240784	355	high
3	2	0	62	26	0	2	2	1	-50	3	2	1245034	1245084	1	2	1	0	1247383	2299	valid	0	1247678	295	low
3	2	0	63	27	0	2	2	1	300	1	3	1252167	1252467	1	2	2	99	1253400	933	wrong limb	0	1253839	439	high
3	2	0	64	28	0	2	2	1	-300	3	1	1257750	1258050	2	1	1	0	1259150	1100	valid	0	1259492	342	low
3	2	0	65	29	0	2	2	1	50	4	3	1263217	1263267	4	3	0	0	1264219	952	valid	0	1264661	442	high
3	2	0	66	30	0	2	2	1	50	2	1	1270600	1270650	2	1	0	0	1272047	1397	valid	0	1272305	258	low
3	2	0	67	31	0	2	2	1	-300	3	2	1276199	1276499	4	3	0	1	1277359	860	valid	0	1277748	389	high
3	2	0	68	32	0	2	2	1	300	2	1	1281449	1281749	4	3	2	99	1282782	1033	wrong limb	0	1283378	596	low
3	2	0	69	33	0	2	2	1	110	2	3	1287432	1287542	2	1	2	99	1289089	1547	wrong limb	0	1290479	1390	low
3	2	0	70	34	0	2	2	1	-50	1	2	1293915	1293965	2	1	0	1	1295794	1829	valid	0	1296035	241	high
3	2	0	71	35	0	2	2	1	300	4	3	1299965	1300265	2	1	2	99	1301088	823	wrong limb	0	1302345	1257	low
3	2	0	72	36	0	2	2	1	-50	3	4	1306848	1306898	4	3	0	1	1308223	1325	valid	0	1308659	436	high
