subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	confidenceDelay	timeConfidenceReaction	responsetimeConfidence	confidenceTOJ
9	1	1	999	1	0	1	2	1	-1000	3	1	119427	321300	4	3	0	1	321959	659	valid	299	0	0	high
9	1	1	999	2	0	1	2	1	-1000	3	2	325284	332117	4	3	0	1	332904	787	valid	575	334376	1472	high
9	1	1	999	3	0	1	2	1	1000	1	3	334400	336965	1	1	1	1	337833	868	valid	322	339067	1234	high
9	1	1	999	4	0	1	2	1	1000	4	1	339083	341616	3	4	1	1	342117	501	valid	737	343291	1174	high
9	1	1	999	5	0	1	2	1	1000	4	3	345779	345814	3	4	1	1	346814	1000	valid	298	348578	1764	high
9	1	0	1	1	0	1	2	1	300	2	4	400863	401163	0	0	2	99	0	0	block start	640	0	0	low
9	1	0	1	1	0	1	2	1	300	2	4	55930	56230	2	2	1	1	56536	306	block start	615	57958	1422	high
9	1	0	2	2	0	1	2	1	50	2	4	60430	60480	2	2	1	1	60972	492	valid	518	62178	1206	high
9	1	0	3	3	0	1	2	1	110	2	1	64630	64740	2	2	1	1	65223	483	valid	353	66417	1194	high
9	1	0	4	4	0	1	2	1	-300	4	2	68963	69263	3	4	0	1	69806	543	valid	556	71079	1273	high
9	1	0	5	5	0	1	2	1	300	2	3	73546	73846	2	2	1	1	74256	410	valid	732	75874	1618	high
9	1	0	6	6	0	1	2	1	-300	3	2	78362	78662	4	3	0	1	79267	605	valid	785	81025	1758	high
9	1	0	7	7	0	1	2	1	-50	1	4	83529	83579	1	1	0	1	84154	575	valid	325	85516	1362	high
9	1	0	8	8	0	1	2	1	110	2	3	88062	88172	2	2	1	1	88547	375	valid	305	89878	1331	high
9	1	0	9	9	0	1	2	1	-300	1	2	92345	92645	1	1	0	1	93017	372	valid	227	94202	1185	high
9	1	0	10	10	0	1	2	1	300	2	1	96911	97211	2	2	1	1	97405	194	valid	372	98829	1424	high
9	1	0	11	11	0	1	2	1	-110	3	4	101361	101471	0	0	2	99	0	0	no reaction	218	105845	105845	high
9	1	0	12	12	0	1	2	1	-50	1	2	108378	108428	2	2	1	0	109443	1015	valid	611	111100	1657	high
9	1	0	13	13	0	1	2	1	-110	4	2	113594	113704	0	0	2	99	0	0	no reaction	356	118387	118387	high
9	1	0	14	14	0	1	2	1	-110	1	4	121077	121187	1	1	0	1	121698	511	valid	345	123079	1381	high
9	1	0	15	15	0	1	2	1	-50	4	2	125510	125560	2	2	1	0	126067	507	valid	252	127405	1338	high
9	1	0	16	16	0	1	2	1	-50	3	4	129960	130010	3	4	1	0	130729	719	valid	628	132453	1724	high
9	1	0	17	17	0	1	2	1	-300	3	4	135043	135343	3	4	1	0	135674	331	valid	620	137217	1543	low
9	1	0	18	18	0	1	2	1	50	2	3	139809	139859	2	2	1	1	140371	512	valid	680	142014	1643	high
9	1	0	19	19	0	1	2	1	300	4	1	144492	144792	3	4	1	1	145148	356	valid	707	145906	758	high
9	1	0	20	20	0	1	2	1	-300	1	4	149609	149909	1	1	0	1	150212	303	valid	691	151819	1607	high
9	1	0	21	21	0	1	2	1	50	2	1	154275	154325	2	2	1	1	154822	497	valid	602	156336	1514	high
9	1	0	22	22	0	1	2	1	110	2	4	158758	158868	2	2	1	1	159160	292	valid	731	160775	1615	high
9	1	0	23	23	0	1	2	1	110	4	1	163292	163402	3	4	1	1	164422	1020	valid	223	165717	1295	high
9	1	0	24	24	0	1	2	1	110	1	3	168425	168535	1	1	1	1	168981	446	valid	506	170561	1580	high
9	1	0	25	25	0	1	2	1	-50	3	2	173091	173141	2	2	1	0	173578	437	valid	231	174838	1260	high
9	1	0	26	26	0	1	2	1	-50	3	1	177274	177324	1	1	1	0	177766	442	valid	201	178938	1172	high
9	1	0	27	27	0	1	2	1	-110	3	1	181524	181634	3	4	2	99	182033	399	wrong limb	391	182368	335	high
9	1	0	28	28	0	1	2	1	300	1	3	186107	186407	1	1	1	1	186615	208	valid	793	188445	1830	high
9	1	0	29	29	0	1	2	1	300	4	3	191007	191307	3	4	1	1	193270	1963	valid	488	195149	1879	high
9	1	0	30	30	0	1	2	1	-300	3	1	197707	198007	4	3	0	1	198616	609	valid	349	199856	1240	high
9	1	0	31	31	0	1	2	1	50	1	3	202423	202473	1	1	1	1	202956	483	valid	709	204633	1677	high
9	1	0	32	32	0	1	2	1	50	4	1	207223	207273	3	4	1	1	207984	711	valid	625	209502	1518	high
9	1	0	33	33	0	1	2	1	50	4	3	211889	211939	3	4	1	1	213095	1156	valid	794	214938	1843	high
9	1	0	34	34	0	1	2	1	-110	1	2	217656	217766	1	1	0	1	218150	384	valid	477	219632	1482	high
9	1	0	35	35	0	1	2	1	110	4	3	222072	222182	3	4	1	1	222557	375	valid	232	223793	1236	high
9	1	0	36	36	0	1	2	1	-110	3	2	226155	226265	4	3	0	1	226703	438	valid	619	228312	1609	high
9	1	0	1	37	1	1	2	1	300	2	4	230705	231005	2	2	1	1	231143	138	valid	230	232479	1336	high
9	1	0	11	38	1	1	2	1	-110	3	4	234955	235065	4	3	0	1	235468	403	valid	440	236816	1348	high
9	1	0	13	39	1	1	2	1	-110	4	2	239188	239298	3	4	0	1	239669	371	valid	644	241326	1657	high
9	1	0	27	40	1	1	2	1	-110	3	1	243838	243948	4	3	0	1	244232	284	valid	259	245448	1216	high
9	2	0	37	1	0	1	2	1	-300	1	4	254204	254504	1	1	2	99	254603	99	block start	553	256267	1664	high
9	2	0	38	2	0	1	2	1	50	4	1	258687	258737	3	4	1	1	259336	599	valid	355	260571	1235	high
9	2	0	39	3	0	1	2	1	300	4	3	263020	263320	3	4	1	1	263735	415	valid	298	265048	1313	high
9	2	0	40	4	0	1	2	1	300	2	1	267670	267970	2	2	1	1	268114	144	valid	702	269772	1658	high
9	2	0	41	5	0	1	2	1	-110	1	4	272236	272346	1	1	0	1	273105	759	valid	201	274326	1221	high
9	2	0	42	6	0	1	2	1	-300	3	1	277253	277553	4	3	0	1	277740	187	valid	769	279503	1763	high
9	2	0	43	7	0	1	2	1	-110	3	1	282152	282262	4	3	0	1	282615	353	valid	551	284178	1563	high
9	2	0	44	8	0	1	2	1	-110	4	2	286669	286779	3	4	0	1	287154	375	valid	763	288915	1761	high
9	2	0	45	9	0	1	2	1	-110	1	2	291369	291479	1	1	0	1	291815	336	valid	204	292995	1180	high
9	2	0	46	10	0	1	2	1	50	2	1	295418	295468	2	2	1	1	295821	353	valid	334	297215	1394	high
9	2	0	47	11	0	1	2	1	-50	1	2	299652	299702	1	1	0	1	299996	294	valid	478	301445	1449	high
9	2	0	48	12	0	1	2	1	-50	1	4	303868	303918	1	1	0	1	304336	418	valid	416	305701	1365	high
9	2	0	49	13	0	1	2	1	-50	3	2	308101	308151	2	2	1	0	308562	411	valid	670	310142	1580	high
9	2	0	50	14	0	1	2	1	50	2	4	312616	312666	2	2	1	1	313022	356	valid	357	314365	1343	high
9	2	0	51	15	0	1	2	1	300	1	3	316867	317167	1	1	1	1	317279	112	valid	394	318603	1324	high
9	2	0	52	16	0	1	2	1	-110	3	2	321217	321327	4	3	0	1	321815	488	valid	391	323220	1405	high
9	2	0	53	17	0	1	2	1	-300	4	2	325784	326084	3	4	0	1	326335	251	valid	396	327733	1398	high
9	2	0	54	18	0	1	2	1	-300	3	4	330150	330450	4	3	0	1	330584	134	valid	219	332043	1459	high
9	2	0	55	19	0	1	2	1	-50	3	1	334617	334667	4	3	0	1	335130	463	valid	488	336630	1500	high
9	2	0	56	20	0	1	2	1	50	2	3	339200	339250	2	2	1	1	339641	391	valid	509	339831	190	high
9	2	0	57	21	0	1	2	1	110	4	1	343583	343693	3	4	1	1	344072	379	valid	325	345394	1322	high
9	2	0	58	22	0	1	2	1	-300	3	2	347933	348233	4	3	0	1	348618	385	valid	494	350129	1511	high
9	2	0	59	23	0	1	2	1	-50	3	4	352616	352666	4	3	0	1	353333	667	valid	659	355122	1789	high
9	2	0	60	24	0	1	2	1	110	2	3	357649	357759	2	2	1	1	358118	359	valid	313	359450	1332	high
9	2	0	61	25	0	1	2	1	110	2	4	361949	362059	2	2	1	1	362380	321	valid	309	363720	1340	high
9	2	0	62	26	0	1	2	1	110	2	1	366165	366275	2	2	1	1	366550	275	valid	632	368263	1713	high
9	2	0	63	27	0	1	2	1	50	1	3	370848	370898	4	3	0	0	371450	552	valid	715	373404	1954	high
9	2	0	64	28	0	1	2	1	110	1	3	375948	376058	1	1	1	1	378385	2327	valid	478	379891	1506	high
9	2	0	65	29	0	1	2	1	300	4	1	382348	382648	0	0	2	99	0	0	no reaction	299	386972	386972	high
9	2	0	66	30	0	1	2	1	110	4	3	389514	389624	3	4	1	1	390235	611	valid	574	391985	1750	high
9	2	0	67	31	0	1	2	1	50	4	3	394497	394547	3	4	1	1	395137	590	valid	767	396941	1804	high
9	2	0	68	32	0	1	2	1	-110	3	4	399447	399557	4	3	0	1	400583	1026	valid	565	402256	1673	high
9	2	0	69	33	0	1	2	1	300	2	4	404996	405296	2	2	1	1	405706	410	valid	491	407221	1515	high
9	2	0	70	34	0	1	2	1	-50	4	2	409680	409730	2	2	1	0	410401	671	valid	219	411854	1453	high
9	2	0	71	35	0	1	2	1	-300	1	2	414579	414879	1	1	0	1	415216	337	valid	553	416996	1780	high
9	2	0	72	36	0	1	2	1	300	2	3	419796	420096	2	2	2	99	420173	77	too early	448	421989	1816	high
9	2	0	37	37	1	1	2	1	-300	1	4	424595	424895	1	1	0	1	425029	134	valid	485	426421	1392	high
9	2	0	65	38	1	1	2	1	300	4	1	428945	429245	3	4	1	1	429400	155	valid	267	430530	1130	high
9	2	0	72	39	1	1	2	1	300	2	3	433078	433378	2	2	1	1	433641	263	valid	274	434927	1286	high
9	3	1	999	1	0	1	1	1	-1000	4	2	438728	589587	4	4	0	1	590223	636	valid	562	591232	1009	high
9	3	1	999	2	0	1	1	1	1000	2	3	589602	590799	3	3	0	0	594016	3217	valid	521	596330	2314	low
9	3	1	999	3	0	1	1	1	1000	2	3	596354	602637	2	2	1	1	603115	478	valid	794	604816	1701	high
9	3	1	999	4	0	1	1	1	-1000	3	4	607303	608303	3	3	0	1	611174	2871	valid	726	612883	1709	high
9	3	1	999	5	0	1	1	1	-1000	1	2	612903	615419	1	1	0	1	616128	709	valid	318	617621	1493	high
9	3	0	73	1	0	1	1	1	300	4	1	653868	654168	2	2	2	99	654711	543	block start	658	656196	1485	high
9	3	0	74	2	0	1	1	1	300	2	4	658617	658917	2	2	1	1	659077	160	valid	422	660583	1506	high
9	3	0	75	3	0	1	1	1	-110	1	4	663217	663327	1	1	0	1	663678	351	valid	455	665142	1464	high
9	3	0	76	4	0	1	1	1	110	2	3	667567	667677	2	2	1	1	668603	926	valid	267	669817	1214	high
9	3	0	77	5	0	1	1	1	50	4	3	672350	672400	4	4	1	1	673215	815	valid	363	674477	1262	high
9	3	0	78	6	0	1	1	1	300	4	3	676866	677166	4	4	1	1	678754	1588	valid	303	679934	1180	high
9	3	0	79	7	0	1	1	1	-50	3	2	682316	682366	2	2	1	0	684645	2279	valid	394	686126	1481	high
9	3	0	80	8	0	1	1	1	110	2	4	688583	688693	2	2	1	1	689033	340	valid	786	690800	1767	high
9	3	0	81	9	0	1	1	1	-110	3	4	693266	693376	4	4	1	0	694236	860	valid	556	695796	1560	high
9	3	0	82	10	0	1	1	1	50	2	1	698699	698749	2	2	1	1	700916	2167	valid	431	702378	1462	high
9	3	0	83	11	0	1	1	1	50	2	4	704982	705032	2	2	1	1	707562	2530	valid	714	709242	1680	high
9	3	0	84	12	0	1	1	1	50	2	3	712769	712819	0	0	2	99	0	0	no reaction	295	716907	716907	high
9	3	0	85	13	0	1	1	1	-50	1	4	719385	719435	0	0	2	99	0	0	no reaction	463	723831	723831	high
9	3	0	86	14	0	1	1	1	-300	4	2	726368	726668	4	4	0	1	727058	390	valid	734	728868	1810	high
9	3	0	87	15	0	1	1	1	-300	3	1	731401	731701	3	3	0	1	732026	325	valid	662	733794	1768	high
9	3	0	88	16	0	1	1	1	300	2	3	736534	736834	2	2	1	1	737052	218	valid	495	738592	1540	high
9	3	0	89	17	0	1	1	1	300	2	1	741001	741301	2	2	2	99	741360	59	too early	529	742747	1387	high
9	3	0	90	18	0	1	1	1	-110	1	2	745200	745310	1	1	0	1	745613	303	valid	783	747313	1700	high
9	3	0	91	19	0	1	1	1	-300	3	4	749733	750033	0	0	2	99	0	0	no reaction	567	754493	754493	high
9	3	0	92	20	0	1	1	1	110	4	3	757050	757160	4	4	1	1	757805	645	valid	411	759425	1620	high
9	3	0	93	21	0	1	1	1	50	1	3	761916	761966	1	1	1	1	762460	494	valid	654	764048	1588	high
9	3	0	94	22	0	1	1	1	-110	4	2	766549	766659	4	4	0	1	767062	403	valid	258	768250	1188	high
9	3	0	95	23	0	1	1	1	-50	3	4	770699	770749	3	3	0	1	771384	635	valid	791	773017	1633	high
9	3	0	96	24	0	1	1	1	110	2	1	775449	775559	0	0	2	99	0	0	no reaction	317	779692	779692	high
9	3	0	97	25	0	1	1	1	-300	1	4	782148	782448	1	1	2	99	782504	56	too early	387	783973	1469	high
9	3	0	98	26	0	1	1	1	-110	3	2	786465	786575	3	3	0	1	787035	460	valid	301	788258	1223	high
