subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	confidenceDelay	timeConfidenceReaction	responsetimeConfidence	confidenceTOJ
13	1	1	999	1	0	1	2	1	1000	1	3	205224	206224	1	1	1	1	207011	787	valid	770	0	0	high
13	1	1	999	2	0	1	2	1	-1000	3	4	207024	210807	3	4	1	0	216760	5953	valid	637	219288	2528	low
13	1	1	999	3	0	1	2	1	1000	4	3	227389	228389	0	0	2	99	0	0	no reaction	714	0	0	low
13	1	1	999	4	0	1	2	1	-1000	1	4	241041	242041	1	1	0	1	242798	757	valid	242	243535	737	high
13	1	1	999	5	0	1	2	1	1000	2	1	246791	247791	2	2	1	1	248487	696	valid	446	250013	1526	high
13	1	0	1	1	0	1	2	1	300	4	3	258624	258924	4	3	0	0	259706	782	block start	342	260829	1123	high
13	1	0	2	2	0	1	2	1	50	2	3	263440	263490	2	2	1	1	264856	1366	valid	718	265394	538	low
13	1	0	3	3	0	1	2	1	50	2	1	268123	268173	2	2	1	1	269150	977	valid	226	270244	1094	low
13	1	0	4	4	0	1	2	1	-300	4	2	273056	273356	0	0	2	99	0	0	no reaction	267	277471	277471	high
13	1	0	5	5	0	1	2	1	-300	3	2	280155	280455	4	3	0	1	281056	601	valid	748	282409	1353	high
13	1	0	6	6	0	1	2	1	50	4	3	285589	285639	4	3	0	0	287208	1569	valid	709	288606	1398	low
13	1	0	7	7	0	1	2	1	-300	3	4	291272	291572	4	3	0	1	292083	511	valid	766	293095	1012	high
13	1	0	8	8	0	1	2	1	50	2	4	296555	296605	0	0	2	99	0	0	no reaction	227	299649	299649	low
13	1	0	9	9	0	1	2	1	-300	1	4	303588	303888	1	1	0	1	304609	721	valid	416	305962	1353	high
13	1	0	10	10	0	1	2	1	110	2	3	308738	308848	2	2	1	1	309635	787	valid	296	310749	1114	low
13	1	0	11	11	0	1	2	1	-110	4	2	313805	313915	2	2	1	0	315698	1783	valid	212	316875	1177	low
13	1	0	12	12	0	1	2	1	110	2	1	319838	319948	2	2	1	1	320723	775	valid	695	322268	1545	high
13	1	0	13	13	0	1	2	1	300	2	4	324937	325237	2	2	1	1	325928	691	valid	406	327264	1336	high
13	1	0	14	14	0	1	2	1	110	4	3	329854	329964	4	3	0	0	330968	1004	valid	378	332189	1221	high
13	1	0	15	15	0	1	2	1	-110	1	4	335170	335280	1	1	0	1	335808	528	valid	590	337076	1268	high
13	1	0	16	16	0	1	2	1	-50	4	2	340120	340170	0	0	2	99	0	0	no reaction	735	344457	344457	low
13	1	0	17	17	0	1	2	1	50	4	1	347486	347536	1	1	0	0	348914	1378	valid	721	350335	1421	low
13	1	0	18	18	0	1	2	1	-300	3	1	353035	353335	4	3	0	1	353924	589	valid	472	355612	1688	high
13	1	0	19	19	0	1	2	1	-50	3	2	358369	358419	4	3	0	1	359572	1153	valid	506	360965	1393	low
13	1	0	20	20	0	1	2	1	300	4	1	363869	364169	0	0	2	99	0	0	no reaction	200	368258	368258	high
13	1	0	21	21	0	1	2	1	-50	1	2	371485	371535	1	1	0	1	372431	896	valid	257	373486	1055	high
13	1	0	22	22	0	1	2	1	-50	3	4	376435	376485	4	3	0	1	378460	1975	valid	709	379908	1448	low
13	1	0	23	23	0	1	2	1	50	1	3	382668	382718	4	3	0	0	384447	1729	valid	592	385926	1479	low
13	1	0	24	24	0	1	2	1	110	1	3	388718	388828	1	1	1	1	389492	664	valid	507	391809	2317	high
13	1	0	25	25	0	1	2	1	-110	3	2	394801	394911	4	3	0	1	395647	736	valid	584	396894	1247	low
13	1	0	26	26	0	1	2	1	300	2	1	400234	400534	2	2	1	1	401041	507	valid	678	402528	1487	high
13	1	0	27	27	0	1	2	1	-50	1	4	405667	405717	1	1	0	1	406518	801	valid	212	407691	1173	high
13	1	0	28	28	0	1	2	1	300	1	3	411117	411417	1	1	1	1	412045	628	valid	312	413244	1199	high
13	1	0	29	29	0	1	2	1	300	2	3	416133	416433	2	2	1	1	417226	793	valid	745	418548	1322	high
13	1	0	30	30	0	1	2	1	-50	3	1	421033	421083	4	3	0	1	422390	1307	valid	755	422985	595	high
13	1	0	31	31	0	1	2	1	-110	1	2	429496	429531	4	3	2	99	429632	101	wrong limb	438	429718	86	low
13	1	0	32	32	0	1	2	1	110	2	4	483397	483507	0	0	2	99	0	0	no reaction	744	0	0	high
13	1	0	33	33	0	1	2	1	-110	3	4	495663	495773	0	0	2	99	0	0	no reaction	689	0	0	low
