subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ
14	1	1	999	1	0	2	1	1	1000	2	1	152091	153091	1	2	1	1	154405	1314	valid
14	1	1	999	2	0	2	1	1	-1000	1	4	158124	159124	2	1	0	1	161111	1987	valid
14	1	1	999	3	0	2	1	1	1000	4	3	164157	165157	4	4	1	1	166443	1286	valid
14	1	1	999	4	0	2	1	1	1000	2	4	170172	171172	1	2	1	1	171884	712	valid
14	1	1	999	5	0	2	1	1	-1000	1	2	176189	177189	2	1	0	1	177962	773	valid
14	1	0	1	1	0	2	1	1	-110	1	2	183372	183482	1	2	1	0	185744	2262	block start
14	1	0	2	2	0	2	1	1	-50	3	2	188505	188555	1	2	1	0	191437	2882	valid
14	1	0	3	3	0	2	1	1	110	2	1	193588	193698	1	2	1	1	195466	1768	valid
14	1	0	4	4	0	2	1	1	50	4	3	198721	198771	0	0	2	99	0	0	no reaction
14	1	0	5	5	0	2	1	1	110	2	3	203787	203897	1	2	1	1	205539	1642	valid
14	1	0	6	6	0	2	1	1	300	2	3	208921	209221	2	1	2	99	210577	1356	wrong limb
14	1	0	7	7	0	2	1	1	300	2	1	214237	214537	1	2	1	1	215649	1112	valid
14	1	0	8	8	0	2	1	1	-50	3	1	219570	219620	2	1	1	0	220403	783	valid
14	1	0	9	9	0	2	1	1	-300	4	2	224653	224953	4	4	0	1	226405	1452	valid
14	1	0	10	10	0	2	1	1	110	4	3	229986	230096	4	4	1	1	231041	945	valid
14	1	0	11	11	0	2	1	1	-50	3	4	235119	235169	4	4	1	0	236542	1373	valid
14	1	0	12	12	0	2	1	1	-110	1	4	240202	240312	2	1	0	1	240869	557	valid
14	1	0	13	13	0	2	1	1	-300	3	4	245335	245635	4	4	1	0	246921	1286	valid
14	1	0	14	14	0	2	1	1	-300	1	4	250668	250968	2	1	0	1	251568	600	valid
14	1	0	15	15	0	2	1	1	-50	1	4	256002	256052	2	1	0	1	257761	1709	valid
14	1	0	16	16	0	2	1	1	-110	3	1	261085	261195	2	1	1	0	261892	697	valid
14	1	0	17	17	0	2	1	1	110	2	4	266218	266328	1	2	1	1	267589	1261	valid
14	1	0	18	18	0	2	1	1	300	4	3	271351	271651	4	4	1	1	272723	1072	valid
14	1	0	19	19	0	2	1	1	-50	4	2	276684	276734	1	2	1	0	278063	1329	valid
14	1	0	20	20	0	2	1	1	50	2	3	281767	281817	1	2	1	1	283691	1874	valid
14	1	0	21	21	0	2	1	1	50	2	4	286850	286900	1	2	1	1	289543	2643	valid
14	1	0	22	22	0	2	1	1	-110	3	4	291933	292043	0	0	2	99	0	0	no reaction
14	1	0	23	23	0	2	1	1	50	4	1	297066	297116	2	1	0	0	299541	2425	valid
14	1	0	24	24	0	2	1	1	-300	1	2	302132	302432	2	1	0	1	304236	1804	valid
14	1	0	25	25	0	2	1	1	50	2	1	307465	307515	1	2	1	1	309608	2093	valid
14	1	0	26	26	0	2	1	1	110	1	3	312548	312658	0	0	2	99	0	0	no reaction
14	1	0	27	27	0	2	1	1	-300	3	1	317681	317981	3	3	0	1	319032	1051	valid
14	1	0	28	28	0	2	1	1	300	1	3	323014	323314	2	1	1	1	324790	1476	valid
14	1	0	29	29	0	2	1	1	50	1	3	328347	328397	2	1	1	1	330460	2063	valid
14	1	0	30	30	0	2	1	1	-110	4	2	333414	333524	3	3	2	99	335147	1623	wrong limb
14	1	0	31	31	0	2	1	1	-300	3	2	338547	338847	3	3	0	1	339854	1007	valid
14	1	0	32	32	0	2	1	1	300	4	1	343862	344162	4	4	1	1	345090	928	valid
14	1	0	33	33	0	2	1	1	-110	3	2	349180	349290	1	2	1	0	350697	1407	valid
14	1	0	34	34	0	2	1	1	110	4	1	354313	354423	0	0	2	99	0	0	no reaction
14	1	0	35	35	0	2	1	1	300	2	4	359446	359746	1	2	1	1	360412	666	valid
14	1	0	36	36	0	2	1	1	-50	1	2	364779	364829	1	2	1	0	366790	1961	valid
14	1	0	1	37	1	2	1	1	-110	1	2	369862	369972	0	0	2	99	0	0	no reaction
14	1	0	4	38	1	2	1	1	50	4	3	374995	375045	0	0	2	99	0	0	no reaction
14	1	0	6	39	1	2	1	1	300	2	3	380060	380360	0	0	2	99	0	0	no reaction
14	1	0	22	40	1	2	1	1	-110	3	4	385377	385487	3	3	0	1	386377	890	valid
