subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ
12	1	1	999	1	0	1	1	1	-1000	3	1	208389	209389	3	3	0	1	210739	1350	several button presses
12	1	1	999	2	0	1	1	1	-1000	4	2	214405	215405	4	4	0	1	216283	878	valid
12	1	1	999	3	0	1	1	1	1000	2	4	220438	221438	2	2	2	99	221129	-309	too early
12	1	1	999	4	0	1	1	1	1000	2	4	228971	229971	2	2	2	99	229613	-358	too early
12	1	1	999	5	0	1	1	1	-1000	3	2	237486	238486	3	3	0	1	240083	1597	valid
12	1	0	1	1	0	1	1	1	300	1	3	262752	263052	1	1	1	1	264623	1571	block start
12	1	0	2	2	0	1	1	1	110	4	1	268068	268178	4	4	1	1	270005	1827	valid
12	1	0	3	3	0	1	1	1	-300	1	2	273202	273502	1	1	0	1	274892	1390	valid
12	1	0	4	4	0	1	1	1	-300	4	2	278535	278835	4	4	0	1	279889	1054	valid
12	1	0	5	5	0	1	1	1	110	4	3	283868	283978	3	3	0	0	285404	1426	valid
12	1	0	6	6	0	1	1	1	-50	1	2	289001	289051	1	1	0	1	290308	1257	valid
12	1	0	7	7	0	1	1	1	300	4	1	294084	294384	4	4	1	1	295573	1189	valid
12	1	0	8	8	0	1	1	1	50	2	3	299400	299450	2	2	1	1	300468	1018	valid
12	1	0	9	9	0	1	1	1	110	1	3	304467	304577	1	1	1	1	306054	1477	valid
12	1	0	10	10	0	1	1	1	50	2	1	309600	309650	2	2	1	1	311157	1507	valid
12	1	0	11	11	0	1	1	1	-50	3	2	314683	314733	2	2	1	0	316069	1336	valid
12	1	0	12	12	0	1	1	1	50	4	3	319749	319799	4	4	1	1	321072	1273	valid
12	1	0	13	13	0	1	1	1	-50	1	4	324816	324866	1	1	0	1	326351	1485	valid
12	1	0	14	14	0	1	1	1	110	2	1	329899	330009	2	2	1	1	331155	1146	valid
12	1	0	15	15	0	1	1	1	300	2	3	335032	335332	2	2	1	1	336496	1164	valid
12	1	0	16	16	0	1	1	1	-300	3	1	340347	340647	3	3	0	1	341776	1129	valid
12	1	0	17	17	0	1	1	1	-110	3	4	345665	345775	3	3	0	1	346810	1035	valid
12	1	0	18	18	0	1	1	1	300	4	3	350798	351098	4	4	1	1	352582	1484	valid
12	1	0	19	19	0	1	1	1	300	2	1	356131	356431	2	2	1	1	357686	1255	valid
12	1	0	20	20	0	1	1	1	50	1	3	361464	361514	1	1	1	1	362962	1448	valid
12	1	0	21	21	0	1	1	1	50	2	4	366547	366597	2	2	1	1	367760	1163	valid
12	1	0	22	22	0	1	1	1	-300	3	2	371630	371930	3	3	0	1	372895	965	valid
12	1	0	23	23	0	1	1	1	110	2	4	376946	377056	2	2	1	1	378312	1256	valid
12	1	0	24	24	0	1	1	1	110	2	3	382079	382189	2	2	1	1	383634	1445	valid
12	1	0	25	25	0	1	1	1	-110	4	2	387212	387322	4	4	0	1	388769	1447	valid
12	1	0	26	26	0	1	1	1	50	4	1	392345	392395	4	4	1	1	394899	2504	valid
12	1	0	27	27	0	1	1	1	-110	1	2	397428	397538	1	1	0	1	398729	1191	valid
12	1	0	28	28	0	1	1	1	-50	3	4	402562	402612	3	3	0	1	404303	1691	valid
12	1	0	29	29	0	1	1	1	-50	3	1	407645	407695	3	3	0	1	409075	1380	valid
12	1	0	30	30	0	1	1	1	-110	1	4	412728	412838	1	1	0	1	413748	910	valid
