subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ
5	1	1	999	1	0	1	2	1	-1000	1	2	39714	40714	1	1	0	1	41350	636	valid
5	1	1	999	2	0	1	2	1	-1000	4	2	45730	46730	3	4	0	1	47479	749	valid
5	1	1	999	3	0	1	2	1	-1000	3	2	51747	52747	4	3	0	1	54169	1422	valid
5	1	1	999	4	0	1	2	1	1000	4	1	57762	58762	3	4	1	1	59832	1070	valid
5	1	1	999	5	0	1	2	1	-1000	3	2	63779	64779	4	3	0	1	65526	747	valid
5	1	0	1	1	0	1	2	1	300	2	3	74729	75029	2	2	1	1	75755	726	block start
5	1	0	2	2	0	1	2	1	-110	3	2	80044	80154	4	3	0	1	81143	989	valid
5	1	0	3	3	0	1	2	1	-110	3	1	85178	85288	4	3	0	1	86130	842	valid
5	1	0	4	4	0	1	2	1	-50	1	2	90311	90361	1	1	0	1	91127	766	valid
5	1	0	5	5	0	1	2	1	110	4	3	95377	95487	3	4	1	1	97375	1888	valid
5	1	0	6	6	0	1	2	1	300	1	3	100510	100810	1	1	1	1	101526	716	valid
5	1	0	7	7	0	1	2	1	300	4	1	105826	106126	3	4	1	1	106900	774	valid
5	1	0	8	8	0	1	2	1	-110	4	2	111143	111253	3	4	0	1	112062	809	valid
5	1	0	9	9	0	1	2	1	-300	3	4	116276	116576	4	3	0	1	117283	707	valid
5	1	0	10	10	0	1	2	1	-110	1	4	121593	121703	1	1	0	1	122602	899	valid
5	1	0	11	11	0	1	2	1	-50	3	1	126726	126776	4	3	0	1	128115	1339	valid
5	1	0	12	12	0	1	2	1	300	4	3	131809	132109	3	4	1	1	132768	659	valid
5	1	0	13	13	0	1	2	1	50	4	1	137142	137192	3	4	1	1	137989	797	valid
5	1	0	14	14	0	1	2	1	110	2	3	142207	142317	2	2	1	1	142924	607	valid
5	1	0	15	15	0	1	2	1	50	2	4	147341	147391	2	2	1	1	148267	876	valid
5	1	0	16	16	0	1	2	1	50	1	3	152406	152456	1	1	1	1	153368	912	valid
5	1	0	17	17	0	1	2	1	50	4	3	157474	157524	3	4	1	1	158277	753	valid
5	1	0	18	18	0	1	2	1	-300	3	2	162557	162857	4	3	0	1	163682	825	valid
5	1	0	19	19	0	1	2	1	110	2	4	167890	168000	2	2	1	1	168920	920	valid
5	1	0	20	20	0	1	2	1	-300	1	2	173023	173323	1	1	0	1	174007	684	valid
5	1	0	21	21	0	1	2	1	-50	4	2	178339	178389	3	4	0	1	179698	1309	valid
5	1	0	22	22	0	1	2	1	-300	4	2	183406	183706	3	4	0	1	184320	614	valid
5	1	0	23	23	0	1	2	1	300	2	4	188739	189039	2	2	1	1	189686	647	valid
5	1	0	24	24	0	1	2	1	110	4	1	194055	194165	3	4	1	1	195317	1152	valid
5	1	0	25	25	0	1	2	1	-50	3	2	199188	199238	2	2	1	0	200347	1109	valid
5	1	0	26	26	0	1	2	1	-50	3	4	204255	204305	3	4	1	0	205403	1098	valid
5	1	0	27	27	0	1	2	1	50	2	1	209338	209388	2	2	1	1	210190	802	valid
5	1	0	28	28	0	1	2	1	-300	3	1	214421	214721	4	3	0	1	215556	835	valid
5	1	0	29	29	0	1	2	1	-300	1	4	219737	220037	1	1	0	1	220892	855	valid
5	1	0	30	30	0	1	2	1	300	2	1	225070	225370	2	2	1	1	226056	686	valid
5	1	0	31	31	0	1	2	1	-110	1	2	230386	230496	1	1	0	1	231220	724	valid
5	1	0	32	32	0	1	2	1	-110	3	4	235519	235629	4	3	0	1	236653	1024	valid
5	1	0	33	33	0	1	2	1	50	2	3	240652	240702	2	2	1	1	241730	1028	valid
5	1	0	34	34	0	1	2	1	110	2	1	245735	245845	2	2	1	1	246525	680	valid
5	1	0	35	35	0	1	2	1	-50	1	4	250869	250919	1	1	0	1	252252	1333	valid
5	1	0	36	36	0	1	2	1	110	1	3	255952	256062	1	1	1	1	256795	733	valid
5	1	0	1	37	1	1	2	1	300	2	3	261085	261385	2	2	1	1	261965	580	valid
5	2	0	37	1	0	1	2	1	-300	3	2	267384	267684	4	3	0	1	268577	893	block start
5	2	0	38	2	0	1	2	1	110	4	3	272700	272810	4	3	0	0	274028	1218	valid
5	2	0	39	3	0	1	2	1	-50	1	2	277834	277884	1	1	0	1	279208	1324	valid
5	2	0	40	4	0	1	2	1	-110	3	4	282917	283027	4	3	0	1	283991	964	valid
5	2	0	41	5	0	1	2	1	-110	1	2	288050	288160	1	1	0	1	288765	605	valid
5	2	0	42	6	0	1	2	1	300	2	4	293183	293483	2	2	1	1	294152	669	valid
5	2	0	43	7	0	1	2	1	-110	1	4	298516	298626	1	1	0	1	299369	743	valid
5	2	0	44	8	0	1	2	1	-50	4	2	303649	303699	2	2	1	0	304320	621	valid
5	2	0	45	9	0	1	2	1	-110	3	1	308732	308842	4	3	0	1	310062	1220	valid
5	2	0	46	10	0	1	2	1	50	2	3	313865	313915	2	2	1	1	314683	768	valid
5	2	0	47	11	0	1	2	1	110	2	1	318931	319041	2	2	1	1	319779	738	valid
5	2	0	48	12	0	1	2	1	300	4	1	324064	324364	3	4	1	1	324960	596	valid
5	2	0	49	13	0	1	2	1	300	4	3	329381	329681	3	4	1	1	330828	1147	valid
5	2	0	50	14	0	1	2	1	110	1	3	334714	334824	1	1	1	1	335744	920	valid
5	2	0	51	15	0	1	2	1	110	2	4	339847	339957	2	2	1	1	340509	552	valid
5	2	0	52	16	0	1	2	1	-50	1	4	344980	345030	1	1	0	1	345850	820	valid
5	2	0	53	17	0	1	2	1	300	2	1	350063	350363	2	2	1	1	350879	516	valid
5	2	0	54	18	0	1	2	1	-300	3	1	355396	355696	4	3	0	1	356494	798	valid
5	2	0	55	19	0	1	2	1	50	4	3	360729	360779	3	4	1	1	362775	1996	valid
5	2	0	56	20	0	1	2	1	50	2	1	365795	365845	2	2	1	1	366431	586	valid
5	2	0	57	21	0	1	2	1	-110	4	2	370862	370972	3	4	0	1	371926	954	valid
5	2	0	58	22	0	1	2	1	300	2	3	375995	376295	2	2	1	1	376840	545	valid
5	2	0	59	23	0	1	2	1	110	2	3	381328	381438	2	2	1	1	382005	567	valid
5	2	0	60	24	0	1	2	1	-300	3	4	386461	386761	4	3	0	1	387488	727	valid
5	2	0	61	25	0	1	2	1	-50	3	4	391794	391844	3	4	1	0	393024	1180	valid
5	2	0	62	26	0	1	2	1	50	4	1	396877	396927	1	1	0	0	397746	819	valid
5	2	0	63	27	0	1	2	1	-300	1	4	401960	402260	1	1	0	1	402775	515	valid
5	2	0	64	28	0	1	2	1	50	2	4	407293	407343	2	2	1	1	408168	825	valid
5	2	0	65	29	0	1	2	1	-50	3	1	412376	412426	4	3	0	1	414194	1768	valid
5	2	0	66	30	0	1	2	1	-50	3	2	417442	417492	4	3	0	1	418489	997	several button presses
5	2	0	67	31	0	1	2	1	50	1	3	422509	422559	1	1	1	1	423341	782	valid
5	2	0	68	32	0	1	2	1	110	4	1	427592	427702	3	4	1	1	428981	1279	valid
5	2	0	69	33	0	1	2	1	-300	4	2	432725	433025	3	4	0	1	434263	1238	valid
5	2	0	70	34	0	1	2	1	300	1	3	438040	438340	1	1	1	1	438811	471	valid
5	2	0	71	35	0	1	2	1	-110	3	2	443358	443468	2	2	1	0	444104	636	valid
5	2	0	72	36	0	1	2	1	-300	1	2	448491	448791	1	1	0	1	449450	659	valid
5	2	0	37	37	1	1	2	1	-300	3	2	453824	454124	4	3	0	1	454985	861	valid
5	2	0	66	38	1	1	2	1	-50	3	2	459157	459207	2	2	1	0	460398	1191	valid
5	3	1	999	1	0	1	1	1	-1000	3	4	487905	488905	0	0	2	99	0	0	no reaction
5	3	1	999	2	0	1	1	1	-1000	1	2	496438	497438	1	1	0	1	498087	649	valid
5	3	1	999	3	0	1	1	1	-1000	3	4	502471	503471	3	3	0	1	504196	725	valid
5	3	1	999	4	0	1	1	1	1000	4	1	508504	509504	4	4	1	1	510117	613	valid
5	3	1	999	5	0	1	1	1	1000	2	3	514537	515537	2	2	1	1	516362	825	valid
5	3	0	73	1	0	1	1	1	-300	3	4	522286	522586	3	3	0	1	523193	607	block start
5	3	0	74	2	0	1	1	1	-50	3	1	527603	527653	1	1	1	0	528920	1267	valid
5	3	0	75	3	0	1	1	1	-110	3	1	532686	532796	3	3	0	1	533542	746	valid
5	3	0	76	4	0	1	1	1	110	2	4	537819	537929	2	2	1	1	538910	981	valid
5	3	0	77	5	0	1	1	1	-50	4	2	542952	543002	2	2	1	0	544894	1892	valid
5	3	0	78	6	0	1	1	1	-110	4	2	548035	548145	4	4	0	1	549086	941	valid
5	3	0	79	7	0	1	1	1	110	1	3	553168	553278	1	1	1	1	554067	789	valid
5	3	0	80	8	0	1	1	1	50	1	3	558301	558351	1	1	1	1	559347	996	valid
5	3	0	81	9	0	1	1	1	-300	1	4	563384	563684	1	1	0	1	564560	876	valid
5	3	0	82	10	0	1	1	1	-110	3	2	568717	568827	3	3	0	1	569718	891	valid
5	3	0	83	11	0	1	1	1	50	2	3	573850	573900	2	2	1	1	574674	774	valid
5	3	0	84	12	0	1	1	1	110	4	3	578916	579026	4	4	1	1	579801	775	valid
5	3	0	85	13	0	1	1	1	-300	3	1	584049	584349	3	3	0	1	584942	593	valid
5	3	0	86	14	0	1	1	1	-300	1	2	589383	589683	1	1	0	1	590376	693	valid
5	3	0	87	15	0	1	1	1	-110	1	2	594716	594826	1	1	0	1	595401	575	valid
5	3	0	88	16	0	1	1	1	-50	1	4	599849	599899	1	1	0	1	600892	993	valid
5	3	0	89	17	0	1	1	1	300	2	1	604932	605232	2	2	1	1	605776	544	valid
5	3	0	90	18	0	1	1	1	-50	3	2	610248	610298	2	2	1	0	611969	1671	valid
5	3	0	91	19	0	1	1	1	50	2	4	615314	615364	2	2	1	1	616786	1422	valid
5	3	0	92	20	0	1	1	1	-300	3	2	620381	620681	3	3	0	1	621478	797	valid
5	3	0	93	21	0	1	1	1	-50	3	4	625714	625764	4	4	1	0	627210	1446	valid
5	3	0	94	22	0	1	1	1	50	2	1	630797	630847	2	2	1	1	631866	1019	valid
5	3	0	95	23	0	1	1	1	300	2	4	635880	636180	2	2	1	1	637188	1008	valid
5	3	0	96	24	0	1	1	1	300	2	3	641213	641513	2	2	1	1	642126	613	valid
5	3	0	97	25	0	1	1	1	-300	4	2	646546	646846	4	4	0	1	647782	936	valid
5	3	0	98	26	0	1	1	1	110	2	3	651879	651989	2	2	1	1	652850	861	valid
5	3	0	99	27	0	1	1	1	-110	3	4	657012	657122	3	3	0	1	657871	749	valid
5	3	0	100	28	0	1	1	1	300	4	1	662145	662445	4	4	1	1	663237	792	valid
5	3	0	101	29	0	1	1	1	50	4	3	667461	667511	4	4	1	1	669030	1519	valid
5	3	0	102	30	0	1	1	1	110	4	1	672528	672638	4	4	1	1	673293	655	valid
5	3	0	103	31	0	1	1	1	110	2	1	677661	677771	2	2	1	1	678548	777	valid
5	3	0	104	32	0	1	1	1	50	4	1	682794	682844	2	2	2	99	684192	1348	wrong limb
5	3	0	105	33	0	1	1	1	300	4	3	687877	688177	4	4	1	1	689384	1207	valid
5	3	0	106	34	0	1	1	1	300	1	3	693210	693510	1	1	1	1	694676	1166	valid
5	3	0	107	35	0	1	1	1	-50	1	2	698526	698576	2	2	1	0	700046	1470	valid
5	3	0	108	36	0	1	1	1	-110	1	4	703593	703703	1	1	0	1	704757	1054	valid
5	3	0	73	37	1	1	1	1	-300	3	4	708726	709026	3	3	0	1	709519	493	valid
5	3	0	104	38	1	1	1	1	50	4	1	714059	714109	4	4	1	1	715386	1277	valid
5	4	0	109	1	0	1	1	1	-110	3	2	725525	725635	1	1	2	99	727403	1768	block start
5	4	0	110	2	0	1	1	1	300	4	3	730658	730958	4	4	1	1	731559	601	valid
5	4	0	111	3	0	1	1	1	-50	1	4	735973	736023	4	4	1	0	737451	1428	valid
5	4	0	112	4	0	1	1	1	-50	3	2	741040	741090	2	2	1	0	742851	1761	valid
5	4	0	113	5	0	1	1	1	300	4	1	746107	746407	4	4	1	1	747044	637	valid
5	4	0	114	6	0	1	1	1	-50	1	2	751440	751490	1	1	0	1	752395	905	valid
5	4	0	115	7	0	1	1	1	300	2	4	756523	756823	2	2	1	1	757509	686	valid
5	4	0	116	8	0	1	1	1	50	2	1	761839	761889	2	2	1	1	762834	945	valid
5	4	0	117	9	0	1	1	1	50	2	4	766906	766956	2	2	1	1	767819	863	valid
5	4	0	118	10	0	1	1	1	110	4	1	771989	772099	4	4	1	1	772896	797	valid
5	4	0	119	11	0	1	1	1	300	1	3	777122	777422	1	1	1	1	778265	843	valid
5	4	0	120	12	0	1	1	1	-110	1	2	782455	782565	1	1	0	1	783555	990	valid
5	4	0	121	13	0	1	1	1	50	4	1	787588	787638	4	4	1	1	788469	831	valid
5	4	0	122	14	0	1	1	1	300	2	3	792671	792971	2	2	1	1	793589	618	valid
5	4	0	123	15	0	1	1	1	-300	4	2	797987	798287	4	4	0	1	798891	604	valid
5	4	0	124	16	0	1	1	1	-50	3	1	803304	803354	3	3	0	1	805084	1730	valid
5	4	0	125	17	0	1	1	1	110	1	3	808369	808479	1	1	1	1	809751	1272	valid
5	4	0	126	18	0	1	1	1	-300	1	4	813503	813803	1	1	0	1	814761	958	valid
5	4	0	127	19	0	1	1	1	-300	3	1	818819	819119	3	3	0	1	819889	770	valid
5	4	0	128	20	0	1	1	1	-110	3	1	824136	824246	3	3	0	1	825000	754	valid
5	4	0	129	21	0	1	1	1	110	2	4	829269	829379	2	2	1	1	830296	917	valid
5	4	0	130	22	0	1	1	1	-300	3	2	834402	834702	3	3	0	1	835566	864	valid
5	4	0	131	23	0	1	1	1	-300	3	4	839718	840018	3	3	0	1	840992	974	valid
5	4	0	132	24	0	1	1	1	110	2	1	845035	845145	2	2	1	1	845815	670	valid
5	4	0	133	25	0	1	1	1	-110	3	4	850167	850277	3	3	0	1	851488	1211	valid
5	4	0	134	26	0	1	1	1	50	1	3	855301	855351	1	1	1	1	856507	1156	valid
5	4	0	135	27	0	1	1	1	50	2	3	860384	860434	2	2	1	1	861309	875	valid
5	4	0	136	28	0	1	1	1	300	2	1	865467	865767	2	2	1	1	866330	563	valid
5	4	0	137	29	0	1	1	1	-50	4	2	870800	870850	2	2	1	0	872162	1312	valid
5	4	0	138	30	0	1	1	1	-110	1	4	875883	875993	1	1	0	1	877247	1254	valid
5	4	0	139	31	0	1	1	1	110	2	3	881016	881126	2	2	1	1	882184	1058	valid
5	4	0	140	32	0	1	1	1	-110	4	2	886149	886259	4	4	0	1	887211	952	valid
5	4	0	141	33	0	1	1	1	-300	1	2	891282	891582	1	1	0	1	892320	738	valid
5	4	0	142	34	0	1	1	1	50	4	3	896615	896665	3	3	0	0	897894	1229	valid
5	4	0	143	35	0	1	1	1	110	4	3	901681	901791	4	4	1	1	902570	779	valid
5	4	0	144	36	0	1	1	1	-50	3	4	906814	906864	3	3	0	1	907921	1057	valid
5	4	0	109	37	1	1	1	1	-110	3	2	911881	911991	3	3	0	1	912947	956	valid
5	5	1	999	1	0	2	2	1	-1000	3	1	968044	969044	4	3	0	1	969865	821	valid
5	5	1	999	2	0	2	2	1	1000	4	1	974060	975060	3	4	1	1	975789	729	valid
5	5	1	999	3	0	2	2	1	1000	4	3	980093	981093	3	4	1	1	981830	737	valid
5	5	1	999	4	0	2	2	1	1000	2	1	986126	987126	1	2	1	1	987944	818	valid
5	5	1	999	5	0	2	2	1	-1000	3	1	992159	993159	4	3	0	1	993725	566	valid
5	5	0	145	1	0	2	2	1	110	2	4	999292	999402	1	2	1	1	1000361	959	block start
5	5	0	146	2	0	2	2	1	-50	3	2	1004425	1004475	4	3	0	1	1005577	1102	valid
5	5	0	147	3	0	2	2	1	300	2	4	1009491	1009791	1	2	1	1	1010671	880	valid
5	5	0	148	4	0	2	2	1	-110	3	1	1014808	1014918	4	3	0	1	1015770	852	valid
5	5	0	149	5	0	2	2	1	-300	3	1	1019941	1020241	4	3	0	1	1021111	870	valid
5	5	0	150	6	0	2	2	1	110	1	3	1025257	1025367	2	1	1	1	1026145	778	valid
5	5	0	151	7	0	2	2	1	110	2	3	1030391	1030501	1	2	1	1	1031242	741	valid
5	5	0	152	8	0	2	2	1	-50	1	4	1035524	1035574	2	1	0	1	1036739	1165	valid
5	5	0	153	9	0	2	2	1	50	1	3	1040607	1040657	1	2	2	99	1041914	1257	wrong limb
5	5	0	154	10	0	2	2	1	-300	4	2	1045673	1045973	3	4	0	1	1046673	700	valid
