subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ
18	1	1	999	1	0	2	1	1	1000	2	4	226502	227502	1	2	1	1	227676	174	several button presses
18	1	1	999	2	0	2	1	1	-1000	3	1	232519	233519	3	3	2	99	233330	-189	several button presses
18	1	1	999	3	0	2	1	1	1000	2	4	241051	242051	1	2	2	99	241996	-55	several button presses
18	1	1	999	4	0	2	1	1	-1000	3	2	249584	250584	3	3	2	99	250304	-280	several button presses
18	1	1	999	5	0	2	1	1	1000	2	4	258099	259099	1	2	2	99	259162	63	several button presses
18	1	1	999	1	0	2	1	1	-1000	3	4	25265	26265	3	3	0	1	27262	997	valid
18	1	1	999	2	0	2	1	1	-1000	3	1	31298	32298	3	3	0	1	33527	1229	valid
18	1	1	999	3	0	2	1	1	-1000	4	2	37331	38331	4	4	0	1	39385	1054	valid
18	1	1	999	4	0	2	1	1	-1000	3	2	43364	44364	3	3	0	1	44873	509	valid
18	1	1	999	5	0	2	1	1	-1000	3	4	49397	50397	3	3	0	1	51264	867	valid
18	1	0	1	1	0	2	1	1	110	4	1	56746	56856	2	1	0	0	59527	2671	block start
18	1	0	2	2	0	2	1	1	-110	3	1	61879	61989	1	2	2	99	63733	1744	wrong limb
18	1	0	3	3	0	2	1	1	300	4	1	67012	67312	4	4	1	1	68222	910	valid
18	1	0	4	4	0	2	1	1	110	4	3	72345	72455	4	4	1	1	73743	1288	valid
18	1	0	5	5	0	2	1	1	50	1	3	77478	77528	0	0	2	99	0	0	no reaction
18	1	0	6	6	0	2	1	1	-110	3	4	82544	82654	3	3	0	1	83861	1207	valid
18	1	0	7	7	0	2	1	1	-50	4	2	87677	87727	1	2	1	0	90166	2439	valid
18	1	0	8	8	0	2	1	1	-110	1	2	92761	92871	0	0	2	99	0	0	no reaction
18	1	0	9	9	0	2	1	1	300	2	1	97894	98194	1	2	1	1	100173	1979	valid
18	1	0	10	10	0	2	1	1	-300	4	2	103227	103527	4	4	0	1	104236	709	valid
18	1	0	11	11	0	2	1	1	-110	4	2	108560	108670	4	4	0	1	111056	2386	valid
18	1	0	12	12	0	2	1	1	-50	3	1	113693	113743	3	3	0	1	115877	2134	valid
18	1	0	13	13	0	2	1	1	-50	1	4	118776	118826	2	1	0	1	120689	1863	valid
18	1	0	14	14	0	2	1	1	50	2	3	123859	123909	3	3	0	0	125853	1944	valid
18	1	0	15	15	0	2	1	1	300	4	3	128942	129242	4	4	1	1	130213	971	valid
18	1	0	16	16	0	2	1	1	-300	1	2	134258	134558	1	2	1	0	136133	1575	valid
18	1	0	17	17	0	2	1	1	-110	3	2	139591	139701	3	3	0	1	141761	2060	valid
18	1	0	18	18	0	2	1	1	-50	3	4	144724	144774	4	4	1	0	147188	2414	valid
18	1	0	19	19	0	2	1	1	-110	1	4	149790	149900	2	1	0	1	151102	1202	valid
18	1	0	20	20	0	2	1	1	50	2	4	154923	154973	1	2	1	1	157297	2324	valid
18	1	0	21	21	0	2	1	1	300	1	3	159990	160290	2	1	1	1	161578	1288	valid
18	1	0	22	22	0	2	1	1	-300	3	4	165323	165623	3	3	0	1	166518	895	valid
18	1	0	23	23	0	2	1	1	50	4	3	170638	170688	3	3	0	0	172273	1585	valid
18	1	0	24	24	0	2	1	1	110	2	4	175705	175815	1	2	1	1	177226	1411	valid
18	1	0	25	25	0	2	1	1	110	2	1	180838	180948	1	2	1	1	181819	871	valid
18	1	0	26	26	0	2	1	1	300	2	3	185971	186271	1	2	1	1	187111	840	valid
18	1	0	27	27	0	2	1	1	-50	1	2	191304	191354	1	2	1	0	192876	1522	valid
18	1	0	28	28	0	2	1	1	-300	1	4	196370	196670	2	1	0	1	197497	827	valid
18	1	0	29	29	0	2	1	1	-50	3	2	201687	201737	3	3	0	1	203026	1289	valid
18	1	0	30	30	0	2	1	1	300	2	4	206770	207070	1	2	1	1	207948	878	valid
18	1	0	31	31	0	2	1	1	-300	3	1	212086	212386	3	3	0	1	213086	700	valid
18	1	0	32	32	0	2	1	1	-300	3	2	217420	217720	3	3	0	1	218399	679	valid
18	1	0	33	33	0	2	1	1	50	2	1	222752	222802	1	2	1	1	224479	1677	valid
18	1	0	34	34	0	2	1	1	110	1	3	227836	227946	2	1	1	1	229134	1188	valid
18	1	0	35	35	0	2	1	1	50	4	1	232969	233019	2	1	0	0	234546	1527	valid
18	1	0	36	36	0	2	1	1	110	2	3	238052	238162	1	2	1	1	239338	1176	valid
18	1	0	1	37	1	2	1	1	110	4	1	243185	243295	4	4	1	1	244678	1383	valid
18	1	0	2	38	1	2	1	1	-110	3	1	248318	248428	2	1	1	0	249873	1445	valid
18	1	0	5	39	1	2	1	1	50	1	3	253451	253501	2	1	1	1	255041	1540	valid
18	1	0	8	40	1	2	1	1	-110	1	2	258534	258644	2	1	0	1	259687	1043	valid
18	2	1	999	1	0	2	1	1	1000	2	3	58096	59096	1	2	1	1	59948	852	valid
18	2	1	999	2	0	2	1	1	1000	2	1	64111	65111	1	2	1	1	65981	870	valid
18	2	1	999	3	0	2	1	1	1000	2	3	70129	71129	1	2	1	1	71860	731	valid
18	2	1	999	4	0	2	1	1	1000	4	1	76162	77162	4	4	1	1	77928	766	valid
18	2	1	999	5	0	2	1	1	-1000	4	2	82194	83194	4	4	0	1	83909	715	valid
18	2	0	37	1	0	2	1	1	-110	3	1	89627	89737	1	2	2	99	91206	1469	block start
18	2	0	38	2	0	2	1	1	300	2	4	94760	95060	1	2	1	1	95833	773	valid
18	2	0	39	3	0	2	1	1	-300	1	2	100077	100377	2	1	0	1	101092	715	valid
18	2	0	40	4	0	2	1	1	-50	3	4	105392	105442	3	3	0	1	106568	1126	valid
18	2	0	41	5	0	2	1	1	110	4	3	110459	110569	3	3	0	0	112673	2104	valid
