subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ
17	1	1	999	1	0	1	2	1	-1000	3	1	132359	133359	4	3	2	99	133272	-87	several button presses
17	1	1	999	2	0	1	2	1	-1000	3	1	140875	141875	0	0	2	99	0	0	no reaction
17	1	1	999	3	0	1	2	1	-1000	1	2	149408	150408	1	1	0	1	151157	749	valid
17	1	1	999	4	0	1	2	1	1000	2	4	155441	156441	2	2	1	1	157080	639	valid
17	1	1	999	5	0	1	2	1	1000	2	4	161457	162457	2	2	1	1	163210	753	valid
17	1	0	1	1	0	1	2	1	-110	4	2	176189	176299	2	2	1	0	177262	963	block start
17	1	0	2	2	0	1	2	1	-300	1	4	181322	181622	1	1	0	1	182150	528	valid
17	1	0	3	3	0	1	2	1	-50	1	4	186655	186705	1	1	0	1	187615	910	valid
17	1	0	4	4	0	1	2	1	50	2	4	191739	191789	2	2	1	1	192657	868	valid
17	1	0	5	5	0	1	2	1	300	4	1	196822	197122	3	4	1	1	198125	1003	valid
17	1	0	6	6	0	1	2	1	-300	1	2	202155	202455	1	1	0	1	203091	636	valid
17	1	0	7	7	0	1	2	1	50	2	1	207471	207521	1	1	0	0	208412	891	valid
17	1	0	8	8	0	1	2	1	-50	1	2	212537	212587	2	2	1	0	213427	840	valid
17	1	0	9	9	0	1	2	1	300	2	4	217620	217920	2	2	1	1	218496	576	valid
17	1	0	10	10	0	1	2	1	300	4	3	222937	223237	3	4	1	1	223690	453	valid
17	1	0	11	11	0	1	2	1	300	1	3	228270	228570	1	1	1	1	229051	481	valid
17	1	0	12	12	0	1	2	1	-110	3	1	233603	233713	3	4	2	99	234655	942	wrong limb
17	1	0	13	13	0	1	2	1	50	4	1	238736	238786	3	4	1	1	239861	1075	valid
17	1	0	14	14	0	1	2	1	110	4	3	243819	243929	3	4	1	1	245026	1097	valid
17	1	0	15	15	0	1	2	1	50	2	3	248952	249002	3	4	2	99	250399	1397	wrong limb
