subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ
10	1	1	999	1	0	2	1	1	1000	1	3	121293	122293	2	1	1	1	123722	1429	valid
10	1	1	999	2	0	2	1	1	1000	2	4	127309	128309	1	2	1	1	128950	641	valid
10	1	1	999	3	0	2	1	1	1000	2	3	133342	134342	1	2	1	1	134986	644	valid
10	1	1	999	4	0	2	1	1	1000	2	3	139375	140375	1	2	1	1	141097	722	valid
10	1	1	999	5	0	2	1	1	1000	1	3	145408	146408	2	1	1	1	147166	758	valid
10	1	0	1	1	0	2	1	1	110	2	4	152525	152635	1	2	1	1	153582	947	block start
10	1	0	2	2	0	2	1	1	300	2	4	157658	157958	1	2	1	1	158619	661	valid
10	1	0	3	3	0	2	1	1	-50	4	2	162991	163041	1	2	1	0	164173	1132	valid
10	1	0	4	4	0	2	1	1	50	4	1	168056	168106	4	4	1	1	169868	1762	valid
10	1	0	5	5	0	2	1	1	-110	3	2	173124	173234	1	2	1	0	174658	1424	valid
10	1	0	6	6	0	2	1	1	300	2	3	178257	178557	1	2	1	1	179653	1096	valid
10	1	0	7	7	0	2	1	1	110	1	3	183573	183683	2	1	1	1	185013	1330	valid
10	1	0	8	8	0	2	1	1	50	2	4	188706	188756	1	2	1	1	189450	694	valid
10	1	0	9	9	0	2	1	1	110	4	3	193773	193883	4	4	1	1	194641	758	valid
10	1	0	10	10	0	2	1	1	-110	3	4	198906	199016	3	3	0	1	199769	753	valid
10	1	0	11	11	0	2	1	1	-50	1	4	204039	204089	2	1	0	1	204682	593	valid
10	1	0	12	12	0	2	1	1	-300	3	1	209122	209422	3	3	0	1	210293	871	valid
10	1	0	13	13	0	2	1	1	-110	4	2	214455	214565	2	1	2	99	215262	697	wrong limb
10	1	0	14	14	0	2	1	1	50	4	3	219588	219638	4	4	1	1	220868	1230	valid
10	1	0	15	15	0	2	1	1	110	2	1	224671	224781	1	2	1	1	226144	1363	valid
