subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ
3	1	1	999	1	0	2	2	1	-1000	3	4	97944	98944	5	5	2	99	100352	1408	wrong limb
3	1	1	999	2	0	2	2	1	-1000	4	2	106477	107477	4	3	2	99	107268	-209	several button presses
3	1	1	999	3	0	2	2	1	-1000	1	4	114993	115993	1	2	2	99	116512	519	wrong limb
3	1	1	999	4	0	2	2	1	-1000	1	4	123526	124526	1	2	2	99	125171	645	wrong limb
3	1	1	999	5	0	2	2	1	1000	4	3	132059	133059	4	3	0	0	133846	787	valid
3	1	0	1	1	0	2	2	1	-110	3	1	214605	214715	2	1	1	0	215372	657	block start
3	1	0	2	2	0	2	2	1	-50	4	2	219738	219788	3	4	0	1	220712	924	valid
3	1	0	3	3	0	2	2	1	110	4	3	224821	224931	4	3	0	0	225584	653	valid
3	1	0	4	4	0	2	2	1	-110	1	4	229954	230064	2	1	0	1	230856	792	valid
3	1	0	5	5	0	2	2	1	-50	3	1	235087	235137	2	1	1	0	235983	846	valid
3	1	0	6	6	0	2	2	1	50	2	1	240153	240203	1	2	1	1	241326	1123	valid
3	1	0	7	7	0	2	2	1	110	2	3	245237	245347	0	0	2	99	0	0	no reaction
3	1	0	8	8	0	2	2	1	-300	4	2	250370	250670	1	2	1	0	251387	717	valid
3	1	0	9	9	0	2	2	1	300	2	4	255703	256003	1	2	1	1	256622	619	valid
3	1	0	10	10	0	2	2	1	-300	1	4	261036	261336	2	1	0	1	261784	448	valid
3	1	0	11	11	0	2	2	1	-50	3	2	266352	266402	4	3	0	1	267197	795	valid
3	1	0	12	12	0	2	2	1	50	4	1	271417	271467	2	1	0	0	272534	1067	valid
3	1	0	13	13	0	2	2	1	110	2	4	276485	276595	1	2	1	1	277341	746	valid
3	1	0	14	14	0	2	2	1	-110	1	2	281618	281728	1	2	1	0	282829	1101	valid
3	1	0	15	15	0	2	2	1	-110	4	2	286751	286861	1	2	1	0	288308	1447	valid
3	1	0	16	16	0	2	2	1	300	4	1	291884	292184	1	2	2	99	293269	1085	wrong limb
3	1	0	17	17	0	2	2	1	-110	3	2	297217	297327	2	1	2	99	298731	1404	wrong limb
3	1	0	18	18	0	2	2	1	50	2	3	302350	302400	4	3	0	0	303014	614	valid
3	1	0	19	19	0	2	2	1	110	4	1	307417	307527	2	1	0	0	308374	847	valid
3	1	0	20	20	0	2	2	1	-300	1	2	312550	312850	2	1	0	1	313302	452	valid
3	1	0	21	21	0	2	2	1	-300	3	4	317883	318183	3	4	1	0	319269	1086	several button presses
3	1	0	22	22	0	2	2	1	50	4	3	323216	323266	3	4	1	1	324654	1388	valid
3	1	0	23	23	0	2	2	1	-50	1	2	328299	328349	1	2	1	0	330182	1833	valid
3	1	0	24	24	0	2	2	1	-110	3	4	333382	333492	4	3	0	1	334436	944	several button presses
3	1	0	25	25	0	2	2	1	300	2	1	338515	338815	2	1	0	0	339823	1008	valid
3	1	0	26	26	0	2	2	1	50	1	3	343848	343898	2	1	1	1	344998	1100	valid
3	1	0	27	27	0	2	2	1	300	2	3	348914	349214	4	3	0	0	349910	696	valid
3	1	0	28	28	0	2	2	1	50	2	4	354231	354281	1	2	1	1	354862	581	valid
3	1	0	29	29	0	2	2	1	110	1	3	359314	359424	2	1	1	1	360005	581	valid
