subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	handFeetDistance	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ
16	1	1	999	1	0	1	1	1	-1000	3	2	114110	115110	3	3	2	99	114661	-449	several button presses
16	1	1	999	2	0	1	1	1	1000	4	3	122625	123625	0	0	2	99	0	0	no reaction
16	1	1	999	3	0	1	1	1	-1000	3	1	131142	132142	3	3	0	1	133115	973	several button presses
16	1	1	999	4	0	1	1	1	1000	2	1	137158	138158	4	4	2	99	139732	1574	wrong limb
16	1	1	999	5	0	1	1	1	1000	2	1	145691	146691	4	4	2	99	148509	1818	wrong limb
16	1	0	1	1	0	1	1	1	50	4	3	186171	186221	0	0	2	99	0	0	block start
16	1	0	2	2	0	1	1	1	300	1	3	191239	191539	0	0	2	99	0	0	no reaction
16	1	0	3	3	0	1	1	1	-50	1	4	196572	196622	1	1	0	1	198375	1753	valid
16	1	0	4	4	0	1	1	1	-110	1	2	201655	201765	2	2	1	0	203034	1269	valid
16	1	0	5	5	0	1	1	1	50	4	1	206788	206838	1	1	0	0	208576	1738	valid
16	1	0	6	6	0	1	1	1	-300	4	2	211871	212171	4	4	0	1	213128	957	valid
16	1	0	7	7	0	1	1	1	300	4	1	217204	217504	4	4	1	1	218276	772	valid
16	1	0	8	8	0	1	1	1	-300	3	1	222537	222837	0	0	2	99	0	0	no reaction
16	1	0	9	9	0	1	1	1	110	2	3	227853	227963	2	2	1	1	228591	628	valid
16	1	0	10	10	0	1	1	1	-50	3	4	232986	233036	4	4	1	0	233746	710	several button presses
16	1	0	11	11	0	1	1	1	-50	3	2	238053	238103	2	2	1	0	238873	770	several button presses
16	1	0	12	12	0	1	1	1	300	2	4	243136	243436	2	2	1	1	243639	203	valid
16	1	0	13	13	0	1	1	1	-300	3	2	248469	248769	0	0	2	99	0	0	no reaction
16	1	0	14	14	0	1	1	1	110	4	3	253802	253912	4	4	1	1	255278	1366	valid
16	1	0	15	15	0	1	1	1	50	2	3	258935	258985	2	2	1	1	259514	529	valid
16	1	0	16	16	0	1	1	1	110	1	3	264018	264128	1	1	1	1	264943	815	valid
16	1	0	17	17	0	1	1	1	-50	3	1	269151	269201	1	1	1	0	269990	789	valid
16	1	0	18	18	0	1	1	1	300	4	3	274234	274534	4	4	1	1	275032	498	valid
16	1	0	19	19	0	1	1	1	110	4	1	279567	279677	4	4	1	1	280470	793	valid
16	1	0	20	20	0	1	1	1	50	2	1	284700	284750	2	2	1	1	285235	485	valid
16	1	0	21	21	0	1	1	1	300	2	3	289765	290065	2	2	1	1	290314	249	valid
16	1	0	22	22	0	1	1	1	-110	4	2	295083	295193	4	4	0	1	295752	559	valid
16	1	0	23	23	0	1	1	1	-110	3	2	300216	300326	2	2	1	0	300968	642	valid
16	1	0	24	24	0	1	1	1	50	1	3	305349	305399	1	1	1	1	306038	639	valid
16	1	0	25	25	0	1	1	1	-110	3	4	310432	310542	3	3	0	1	311147	605	valid
16	1	0	26	26	0	1	1	1	-300	3	4	315565	315865	1	1	2	99	316278	413	wrong limb
16	1	0	27	27	0	1	1	1	-110	1	4	320898	321008	1	1	0	1	321476	468	valid
16	1	0	28	28	0	1	1	1	300	2	1	326031	326331	2	2	1	1	326454	123	valid
16	1	0	29	29	0	1	1	1	-300	1	2	331364	331664	1	1	0	1	331960	296	valid
16	1	0	30	30	0	1	1	1	-50	4	2	336697	336747	2	2	1	0	337151	404	valid
16	1	0	31	31	0	1	1	1	-110	3	1	341780	341890	0	0	2	99	0	0	no reaction
16	1	0	32	32	0	1	1	1	50	2	4	346913	346963	2	2	1	1	347698	735	valid
16	1	0	33	33	0	1	1	1	110	2	4	351996	352106	2	2	1	1	352546	440	valid
