subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
7	1	1	999	1	0	2	hands crossed	2	feet crossed	1000	2	twoTouches	2	rightHand	3	leftFoot	186689	187689	1	2	1	1	187413	724	two reactions	expXId
7	1	1	999	2	0	2	hands crossed	2	feet crossed	1000	1	oneTouch	2	rightHand	5	none	190728	191728	1	2	1	1	191378	650	valid	expXId
7	1	1	999	3	0	2	hands crossed	2	feet crossed	-1000	1	oneTouch	4	rightFoot	5	none	194779	195779	3	4	0	1	195435	656	valid	expXId
7	1	1	999	4	0	2	hands crossed	2	feet crossed	-1000	2	twoTouches	4	rightFoot	2	rightHand	198831	199831	3	4	0	1	199534	703	two reactions	expXId
7	1	1	999	5	0	2	hands crossed	2	feet crossed	1000	2	twoTouches	1	leftHand	3	leftFoot	202883	203883	2	1	1	1	204038	1155	valid	expXId
7	1	0	1	1	0	2	hands crossed	2	feet crossed	-110	1	oneTouch	3	leftFoot	5	none	212027	212137	4	3	0	1	213043	1016	block start	expXId
7	1	0	2	2	0	2	hands crossed	2	feet crossed	300	2	twoTouches	1	leftHand	3	leftFoot	215186	215486	2	1	1	1	216373	1187	valid	expXId
7	1	0	3	3	0	2	hands crossed	2	feet crossed	-300	1	oneTouch	1	leftHand	5	none	218530	218830	2	1	0	1	219808	1278	valid	expXId
7	1	0	4	4	0	2	hands crossed	2	feet crossed	-110	1	oneTouch	1	leftHand	5	none	221877	221987	2	1	0	1	223549	1672	valid	expXId
7	1	0	5	5	0	2	hands crossed	2	feet crossed	300	1	oneTouch	2	rightHand	5	none	225036	225336	1	2	1	1	226449	1413	valid	expXId
7	1	0	6	6	0	2	hands crossed	2	feet crossed	110	1	oneTouch	1	leftHand	5	none	228380	228490	2	1	1	1	229840	1460	valid	expXId
7	1	0	7	7	0	2	hands crossed	2	feet crossed	-300	1	oneTouch	4	rightFoot	5	none	231540	231840	3	4	0	1	232318	778	valid	expXId
