subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
8	1	1	999	1	0	1	hands parallel	1	feet parallel	1000	1	oneTouch	1	leftHand	5	none	56866	57866	1	1	1	1	57423	557	valid	expXId
8	1	1	999	2	0	1	hands parallel	1	feet parallel	1000	2	twoTouches	4	rightFoot	3	leftFoot	60918	61918	3	3	0	0	63321	2403	valid	expXId
8	1	1	999	3	0	1	hands parallel	1	feet parallel	-1000	2	twoTouches	3	leftFoot	4	rightFoot	66970	67970	3	3	0	1	67851	881	valid	expXId
8	1	1	999	4	0	1	hands parallel	1	feet parallel	1000	1	oneTouch	4	rightFoot	5	none	71021	72021	4	4	1	1	72004	983	valid	expXId
8	1	1	999	5	0	1	hands parallel	1	feet parallel	1000	1	oneTouch	1	leftHand	5	none	75073	76073	1	1	1	1	75738	665	valid	expXId
8	1	0	1	1	0	1	hands parallel	1	feet parallel	300	1	oneTouch	4	rightFoot	5	none	84029	84329	4	4	1	1	85282	1253	block start	expXId
8	1	0	2	2	0	1	hands parallel	1	feet parallel	300	2	twoTouches	4	rightFoot	1	leftHand	87376	87676	4	4	1	1	88841	1465	valid	expXId
8	1	0	3	3	0	1	hands parallel	1	feet parallel	-110	2	twoTouches	3	leftFoot	4	rightFoot	90720	90830	4	4	1	0	91895	1175	valid	expXId
8	1	0	4	4	0	1	hands parallel	1	feet parallel	-300	1	oneTouch	4	rightFoot	5	none	93880	94180	4	4	0	1	95018	1138	valid	expXId
8	1	0	5	5	0	1	hands parallel	1	feet parallel	300	1	oneTouch	2	rightHand	5	none	97239	97539	2	2	1	1	98001	762	valid	expXId
8	1	0	6	6	0	1	hands parallel	1	feet parallel	-110	2	twoTouches	1	leftHand	2	rightHand	100598	100708	1	1	0	1	101579	981	valid	expXId
8	1	0	7	7	0	1	hands parallel	1	feet parallel	-110	1	oneTouch	1	leftHand	5	none	103757	103867	1	1	0	1	104315	558	valid	expXId
8	1	0	8	8	0	1	hands parallel	1	feet parallel	110	1	oneTouch	1	leftHand	5	none	106916	107026	1	1	1	1	107526	610	valid	expXId
8	1	0	9	9	0	1	hands parallel	1	feet parallel	110	1	oneTouch	2	rightHand	5	none	110075	110185	2	2	1	1	110906	831	valid	expXId
8	1	0	10	10	0	1	hands parallel	1	feet parallel	-300	2	twoTouches	3	leftFoot	4	rightFoot	113234	113534	3	3	0	1	114514	1280	valid	expXId
8	1	0	11	11	0	1	hands parallel	1	feet parallel	110	1	oneTouch	4	rightFoot	5	none	116593	116703	4	4	1	1	117701	1108	valid	expXId
8	1	0	12	12	0	1	hands parallel	1	feet parallel	-110	1	oneTouch	3	leftFoot	5	none	119751	119861	3	3	0	1	120761	1010	valid	expXId
8	1	0	13	13	0	1	hands parallel	1	feet parallel	-300	2	twoTouches	3	leftFoot	2	rightHand	122910	123210	3	3	0	1	124155	1245	valid	expXId
8	1	0	14	14	0	1	hands parallel	1	feet parallel	-110	2	twoTouches	3	leftFoot	2	rightHand	126269	126379	3	3	0	1	127317	1048	valid	expXId
