subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
9	1	1	999	1	0	1	hands parallel	2	feet crossed	1000	1	oneTouch	2	rightHand	5	none	156379	157379	0	0	2	99	0	0	no reaction	expXId
9	1	1	999	2	0	1	hands parallel	2	feet crossed	-1000	1	oneTouch	4	rightFoot	5	none	162417	163417	3	4	0	1	163043	626	button pressed too long	expXId
9	1	1	999	3	0	1	hands parallel	2	feet crossed	-1000	1	oneTouch	1	leftHand	5	none	166469	167469	3	4	2	99	166404	-65	wrong limb	expXId
9	1	1	999	4	0	1	hands parallel	2	feet crossed	1000	1	oneTouch	4	rightFoot	5	none	172521	173521	0	0	2	99	0	0	no reaction	expXId
9	1	1	999	5	0	1	hands parallel	2	feet crossed	1000	1	oneTouch	2	rightHand	5	none	178572	179572	2	2	1	1	179214	642	valid	expXId
9	1	0	1	1	0	1	hands parallel	2	feet crossed	110	1	oneTouch	2	rightHand	5	none	187675	187785	2	2	1	1	188319	644	block start	expXId
9	1	0	2	2	0	1	hands parallel	2	feet crossed	110	2	twoTouches	2	rightHand	4	rightFoot	190834	190944	2	2	1	1	191511	677	valid	expXId
9	1	0	3	3	0	1	hands parallel	2	feet crossed	-300	1	oneTouch	3	leftFoot	5	none	193993	194293	4	3	0	1	194713	720	valid	expXId
9	1	0	4	4	0	1	hands parallel	2	feet crossed	300	2	twoTouches	2	rightHand	4	rightFoot	197339	197639	2	2	1	1	198311	972	valid	expXId
9	1	0	5	5	0	1	hands parallel	2	feet crossed	-300	1	oneTouch	1	leftHand	5	none	200684	200984	0	0	2	99	0	0	no reaction	expXId
9	1	0	6	6	0	1	hands parallel	2	feet crossed	-300	2	twoTouches	3	leftFoot	2	rightHand	204030	204330	4	3	0	1	205029	999	valid	expXId
9	1	0	7	7	0	1	hands parallel	2	feet crossed	300	1	oneTouch	1	leftHand	5	none	207375	207675	1	1	1	1	208101	726	valid	expXId
9	1	0	8	8	0	1	hands parallel	2	feet crossed	300	1	oneTouch	4	rightFoot	5	none	210721	211021	0	0	2	99	0	0	no reaction	expXId
