subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
1	1	1	999	1	0	1	hands parallel	2	feet crossed	-1000	1	oneTouch	1	leftHand	5	none	367995	368995	1	1	0	1	368782	787	valid	expXId
1	1	1	999	2	0	1	hands parallel	2	feet crossed	-1000	2	twoTouches	3	leftFoot	4	rightFoot	372047	373047	4	3	0	1	372832	785	two reactions	expXId
1	1	1	999	3	0	1	hands parallel	2	feet crossed	-1000	2	twoTouches	3	leftFoot	4	rightFoot	376099	377099	0	0	2	99	0	0	no reaction	expXId
1	1	1	999	4	0	1	hands parallel	2	feet crossed	-1000	2	twoTouches	3	leftFoot	2	rightHand	382151	383151	0	0	2	99	0	0	no reaction	expXId
1	1	1	999	5	0	1	hands parallel	2	feet crossed	-1000	2	twoTouches	1	leftHand	4	rightFoot	388202	389202	1	1	0	1	388796	594	two reactions	expXId
1	1	0	1	1	0	1	hands parallel	2	feet crossed	-110	2	twoTouches	1	leftHand	2	rightHand	416020	416130	1	1	0	1	416722	702	block start	expXId
1	1	0	2	2	0	1	hands parallel	2	feet crossed	-110	2	twoTouches	4	rightFoot	2	rightHand	419179	419289	3	4	0	1	419687	508	valid	expXId
1	1	0	3	3	0	1	hands parallel	2	feet crossed	300	2	twoTouches	1	leftHand	3	leftFoot	422331	422631	1	1	1	1	422729	398	valid	expXId
1	1	0	4	4	0	1	hands parallel	2	feet crossed	110	2	twoTouches	2	rightHand	1	leftHand	425684	425794	1	1	0	0	426307	623	valid	expXId
1	1	0	5	5	0	1	hands parallel	2	feet crossed	300	1	oneTouch	2	rightHand	5	none	428843	429143	2	2	1	1	429231	388	valid	expXId
1	1	0	6	6	0	1	hands parallel	2	feet crossed	110	1	oneTouch	2	rightHand	5	none	432188	432298	2	2	1	1	432932	744	valid	expXId
1	1	0	7	7	0	1	hands parallel	2	feet crossed	-300	2	twoTouches	1	leftHand	4	rightFoot	435347	435647	1	1	0	1	435891	544	valid	expXId
1	1	0	8	8	0	1	hands parallel	2	feet crossed	300	1	oneTouch	4	rightFoot	5	none	438693	438993	3	4	1	1	439667	974	valid	expXId
1	1	0	9	9	0	1	hands parallel	2	feet crossed	-300	1	oneTouch	4	rightFoot	5	none	442038	442338	0	0	2	99	0	0	no reaction	expXId
1	1	0	10	10	0	1	hands parallel	2	feet crossed	110	2	twoTouches	4	rightFoot	1	leftHand	445381	445491	3	4	1	1	446065	684	valid	expXId
1	1	0	11	11	0	1	hands parallel	2	feet crossed	110	2	twoTouches	2	rightHand	4	rightFoot	448543	448653	2	2	1	1	449116	573	valid	expXId
1	1	0	12	12	0	1	hands parallel	2	feet crossed	-300	2	twoTouches	3	leftFoot	4	rightFoot	451702	452002	4	3	0	1	452329	627	valid	expXId
1	1	0	13	13	0	1	hands parallel	2	feet crossed	110	1	oneTouch	2	rightHand	5	none	455048	455158	2	2	1	1	455498	450	valid	expXId
1	1	0	14	14	0	1	hands parallel	2	feet crossed	-300	1	oneTouch	3	leftFoot	5	none	458206	458506	4	3	0	1	458798	592	valid	expXId
1	1	0	15	15	0	1	hands parallel	2	feet crossed	300	2	twoTouches	4	rightFoot	1	leftHand	461549	461849	3	4	1	1	462124	575	valid	expXId
1	1	0	16	16	0	1	hands parallel	2	feet crossed	300	2	twoTouches	2	rightHand	4	rightFoot	464898	465198	2	2	1	1	465418	520	valid	expXId
1	1	0	17	17	0	1	hands parallel	2	feet crossed	300	2	twoTouches	2	rightHand	3	leftFoot	468243	468543	2	2	1	1	469023	780	valid	expXId
1	1	0	18	18	0	1	hands parallel	2	feet crossed	-110	1	oneTouch	3	leftFoot	5	none	471586	471696	3	4	2	99	472032	446	two reactions	expXId
1	1	0	19	19	0	1	hands parallel	2	feet crossed	-110	1	oneTouch	3	leftFoot	5	none	474748	474858	4	3	0	1	475448	700	valid	expXId
1	1	0	20	20	0	1	hands parallel	2	feet crossed	-110	2	twoTouches	3	leftFoot	4	rightFoot	477907	478017	4	3	0	1	478623	716	valid	expXId
1	1	0	21	21	0	1	hands parallel	2	feet crossed	110	1	oneTouch	2	rightHand	5	none	481066	481176	2	2	1	1	481559	493	valid	expXId
1	1	0	22	22	0	1	hands parallel	2	feet crossed	-300	1	oneTouch	3	leftFoot	5	none	484225	484525	4	3	0	1	484803	578	valid	expXId
1	1	0	23	23	0	1	hands parallel	2	feet crossed	300	1	oneTouch	2	rightHand	5	none	487567	487867	2	2	1	1	488107	540	valid	expXId
1	1	0	24	24	0	1	hands parallel	2	feet crossed	-110	2	twoTouches	3	leftFoot	1	leftHand	490916	491026	4	3	0	1	491880	964	valid	expXId
1	1	0	25	25	0	1	hands parallel	2	feet crossed	-110	1	oneTouch	1	leftHand	5	none	494075	494185	1	1	0	1	494626	551	valid	expXId
1	1	0	26	26	0	1	hands parallel	2	feet crossed	110	1	oneTouch	4	rightFoot	5	none	497234	497344	4	3	2	99	497779	545	wrong limb	expXId
1	1	0	27	27	0	1	hands parallel	2	feet crossed	110	1	oneTouch	1	leftHand	5	none	500393	500503	1	1	1	1	500991	598	valid	expXId
1	1	0	28	28	0	1	hands parallel	2	feet crossed	-300	2	twoTouches	1	leftHand	2	rightHand	503546	503846	1	1	0	1	504349	803	valid	expXId
1	1	0	29	29	0	1	hands parallel	2	feet crossed	-110	2	twoTouches	1	leftHand	4	rightFoot	506898	507008	1	1	0	1	508116	1218	valid	expXId
