subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
3	1	1	999	1	0	2	hands crossed	2	feet crossed	-1000	1	oneTouch	3	leftFoot	5	none	17600	18600	3	4	2	99	19299	1699	wrong limb	expXId
3	1	1	999	2	0	2	hands crossed	2	feet crossed	-1000	2	twoTouches	1	leftHand	4	rightFoot	23638	24638	0	0	2	99	0	0	no reaction	expXId
3	1	1	999	3	0	2	hands crossed	2	feet crossed	1000	2	twoTouches	4	rightFoot	1	leftHand	29689	30689	0	0	2	99	0	0	no reaction	expXId
3	1	1	999	4	0	2	hands crossed	2	feet crossed	-1000	2	twoTouches	3	leftFoot	2	rightHand	35741	36741	3	4	2	99	36493	752	wrong limb	expXId
3	1	1	999	5	0	2	hands crossed	2	feet crossed	1000	2	twoTouches	1	leftHand	3	leftFoot	41792	42792	0	0	2	99	0	0	no reaction	expXId
3	1	0	1	1	0	2	hands crossed	2	feet crossed	110	1	oneTouch	4	rightFoot	5	none	109157	109267	1	2	2	99	109817	660	block start	expXId
3	1	0	2	2	0	2	hands crossed	2	feet crossed	-110	2	twoTouches	3	leftFoot	4	rightFoot	112310	112420	3	4	1	0	113506	1196	valid	expXId
3	1	0	3	3	0	2	hands crossed	2	feet crossed	-300	2	twoTouches	3	leftFoot	1	leftHand	115475	115775	4	3	0	1	117083	1608	valid	expXId
3	1	0	4	4	0	2	hands crossed	2	feet crossed	-300	2	twoTouches	1	leftHand	4	rightFoot	118817	119117	2	1	0	1	120038	1221	valid	expXId
3	1	0	5	5	0	2	hands crossed	2	feet crossed	-300	2	twoTouches	1	leftHand	2	rightHand	122165	122465	2	1	0	1	123423	1258	valid	expXId
3	1	0	6	6	0	2	hands crossed	2	feet crossed	300	1	oneTouch	2	rightHand	5	none	125512	125812	1	2	1	1	126486	974	valid	expXId
3	1	0	7	7	0	2	hands crossed	2	feet crossed	-300	2	twoTouches	4	rightFoot	2	rightHand	128855	129155	3	4	0	1	130013	1158	valid	expXId
3	1	0	8	8	0	2	hands crossed	2	feet crossed	110	2	twoTouches	4	rightFoot	1	leftHand	132203	132313	1	2	2	99	133066	863	wrong limb	expXId
3	1	0	9	9	0	2	hands crossed	2	feet crossed	110	1	oneTouch	4	rightFoot	5	none	135362	135472	3	4	1	1	136185	823	valid	expXId
3	1	0	10	10	0	2	hands crossed	2	feet crossed	-300	1	oneTouch	1	leftHand	5	none	138521	138821	2	1	0	1	139461	940	valid	expXId
3	1	0	11	11	0	2	hands crossed	2	feet crossed	110	2	twoTouches	1	leftHand	3	leftFoot	141866	141976	2	1	1	1	142944	1078	valid	expXId
3	1	0	12	12	0	2	hands crossed	2	feet crossed	-300	1	oneTouch	1	leftHand	5	none	145025	145325	2	1	0	1	145773	748	valid	expXId
3	1	0	13	13	0	2	hands crossed	2	feet crossed	110	2	twoTouches	4	rightFoot	3	leftFoot	148371	148481	3	4	1	1	149394	1023	valid	expXId
3	1	0	14	14	0	2	hands crossed	2	feet crossed	110	1	oneTouch	2	rightHand	5	none	151530	151640	1	2	1	1	152288	758	valid	expXId
3	1	0	15	15	0	2	hands crossed	2	feet crossed	-110	2	twoTouches	1	leftHand	2	rightHand	154689	154799	2	1	0	1	156217	1528	valid	expXId
3	1	0	16	16	0	2	hands crossed	2	feet crossed	110	2	twoTouches	2	rightHand	4	rightFoot	157848	157958	1	2	1	1	158781	933	valid	expXId
3	1	0	17	17	0	2	hands crossed	2	feet crossed	110	1	oneTouch	2	rightHand	5	none	161007	161117	1	2	1	1	161666	659	valid	expXId
3	1	0	18	18	0	2	hands crossed	2	feet crossed	300	1	oneTouch	4	rightFoot	5	none	164166	164466	3	4	1	1	165079	913	valid	expXId
3	1	0	19	19	0	2	hands crossed	2	feet crossed	-110	1	oneTouch	3	leftFoot	5	none	167511	167621	4	3	0	1	168252	741	valid	expXId
3	1	0	20	20	0	2	hands crossed	2	feet crossed	300	2	twoTouches	2	rightHand	1	leftHand	170670	170970	1	2	1	1	171584	914	valid	expXId
3	1	0	21	21	0	2	hands crossed	2	feet crossed	-110	2	twoTouches	4	rightFoot	2	rightHand	174016	174126	3	4	0	1	175345	1329	valid	expXId
3	1	0	22	22	0	2	hands crossed	2	feet crossed	110	2	twoTouches	2	rightHand	3	leftFoot	177174	177284	1	2	1	1	178047	873	valid	expXId
3	1	0	23	23	0	2	hands crossed	2	feet crossed	-300	1	oneTouch	4	rightFoot	5	none	180327	180627	3	4	0	1	181054	727	valid	expXId
3	1	0	24	24	0	2	hands crossed	2	feet crossed	300	2	twoTouches	2	rightHand	3	leftFoot	183679	183979	1	2	1	1	184555	876	valid	expXId
3	1	0	25	25	0	2	hands crossed	2	feet crossed	300	2	twoTouches	4	rightFoot	1	leftHand	187025	187325	3	4	1	1	188054	1029	valid	expXId
3	1	0	26	26	0	2	hands crossed	2	feet crossed	-110	2	twoTouches	3	leftFoot	1	leftHand	190370	190480	4	3	0	1	191086	716	valid	expXId
3	1	0	27	27	0	2	hands crossed	2	feet crossed	300	1	oneTouch	2	rightHand	5	none	193529	193829	1	2	1	1	194203	674	valid	expXId
3	1	0	28	28	0	2	hands crossed	2	feet crossed	110	2	twoTouches	2	rightHand	1	leftHand	196875	196985	1	2	1	1	198540	1665	valid	expXId
3	1	0	29	29	0	2	hands crossed	2	feet crossed	-300	2	twoTouches	3	leftFoot	4	rightFoot	200034	200334	4	3	0	1	200670	636	valid	expXId
3	1	0	30	30	0	2	hands crossed	2	feet crossed	110	1	oneTouch	1	leftHand	5	none	203380	203490	2	1	1	1	204126	746	valid	expXId
3	1	0	31	31	0	2	hands crossed	2	feet crossed	-110	1	oneTouch	4	rightFoot	5	none	206538	206648	3	4	0	1	207344	806	valid	expXId
3	1	0	32	32	0	2	hands crossed	2	feet crossed	-110	1	oneTouch	1	leftHand	5	none	209697	209807	2	1	0	1	210408	711	valid	expXId
3	1	0	33	33	0	2	hands crossed	2	feet crossed	300	2	twoTouches	4	rightFoot	3	leftFoot	212856	213156	3	4	1	1	213706	850	valid	expXId
3	1	0	34	34	0	2	hands crossed	2	feet crossed	-300	1	oneTouch	3	leftFoot	5	none	216202	216502	4	3	0	1	216796	594	valid	expXId
3	1	0	35	35	0	2	hands crossed	2	feet crossed	-110	1	oneTouch	1	leftHand	5	none	219545	219655	2	1	0	1	220123	578	valid	expXId
3	1	0	36	36	0	2	hands crossed	2	feet crossed	-110	1	oneTouch	3	leftFoot	5	none	222707	222817	4	3	0	1	223601	894	valid	expXId
3	1	0	37	37	0	2	hands crossed	2	feet crossed	300	1	oneTouch	2	rightHand	5	none	225866	226166	1	2	1	1	226428	562	valid	expXId
3	1	0	38	38	0	2	hands crossed	2	feet crossed	-110	1	oneTouch	3	leftFoot	5	none	229211	229321	4	3	0	1	229746	535	valid	expXId
3	1	0	39	39	0	2	hands crossed	2	feet crossed	110	1	oneTouch	2	rightHand	5	none	232370	232480	1	2	1	1	232995	625	valid	expXId
3	1	0	40	40	0	2	hands crossed	2	feet crossed	-110	2	twoTouches	3	leftFoot	2	rightHand	235529	235639	4	3	0	1	236957	1428	valid	expXId
3	1	0	41	41	0	2	hands crossed	2	feet crossed	-300	2	twoTouches	3	leftFoot	2	rightHand	238688	238988	4	3	0	1	239852	1164	valid	expXId
3	1	0	42	42	0	2	hands crossed	2	feet crossed	-300	1	oneTouch	3	leftFoot	5	none	242034	242334	4	3	0	1	242788	754	valid	expXId
3	1	0	43	43	0	2	hands crossed	2	feet crossed	300	2	twoTouches	2	rightHand	4	rightFoot	245379	245679	1	2	1	1	246061	682	valid	expXId
3	1	0	44	44	0	2	hands crossed	2	feet crossed	-110	2	twoTouches	1	leftHand	4	rightFoot	248725	248835	2	1	0	1	249692	967	valid	expXId
3	1	0	45	45	0	2	hands crossed	2	feet crossed	300	2	twoTouches	1	leftHand	3	leftFoot	251884	252184	2	1	1	1	252944	1060	valid	expXId
3	1	0	46	46	0	2	hands crossed	2	feet crossed	300	1	oneTouch	4	rightFoot	5	none	255229	255529	3	4	1	1	256177	948	valid	expXId
3	1	0	47	47	0	2	hands crossed	2	feet crossed	-300	1	oneTouch	3	leftFoot	5	none	258572	258872	4	3	0	1	259235	663	valid	expXId
3	1	0	48	48	0	2	hands crossed	2	feet crossed	300	1	oneTouch	1	leftHand	5	none	261920	262220	2	1	1	1	262422	502	valid	expXId
3	1	0	1	49	1	2	hands crossed	2	feet crossed	110	1	oneTouch	4	rightFoot	5	none	265263	265373	3	4	1	1	265966	703	valid	expXId
3	1	0	8	50	1	2	hands crossed	2	feet crossed	110	2	twoTouches	4	rightFoot	1	leftHand	268425	268535	3	4	1	1	270151	1726	valid	expXId
3	2	0	49	1	0	2	hands crossed	2	feet crossed	300	1	oneTouch	4	rightFoot	5	none	275529	275829	3	4	1	1	276097	568	block start	expXId
3	2	0	50	2	0	2	hands crossed	2	feet crossed	-110	2	twoTouches	4	rightFoot	2	rightHand	278888	278998	1	2	1	0	279618	730	valid	expXId
3	2	0	51	3	0	2	hands crossed	2	feet crossed	-300	1	oneTouch	4	rightFoot	5	none	282047	282347	3	4	0	1	282903	856	valid	expXId
3	2	0	52	4	0	2	hands crossed	2	feet crossed	-110	2	twoTouches	3	leftFoot	4	rightFoot	285393	285503	4	3	0	1	286027	634	valid	expXId
