subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPositionCode	handPosition	feetPositionCode	feetPosition	soa	touchesNo	noOfTouches	firstLimbCode	firstLimb	secondLimbCode	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
4	1	1	999	1	0	1	hands parallel	1	feet parallel	1000	1	oneTouch	4	rightFoot	5	none	8150	9150	4	4	1	1	9669	1519	button pressed too long	expXId
4	1	1	999	2	0	1	hands parallel	1	feet parallel	-1000	2	twoTouches	3	leftFoot	4	rightFoot	12188	13188	3	3	0	1	14458	2270	valid	expXId
4	1	1	999	3	0	1	hands parallel	1	feet parallel	1000	2	twoTouches	1	leftHand	3	leftFoot	16241	17241	1	1	1	1	17413	1172	valid	expXId
4	1	1	999	4	0	1	hands parallel	1	feet parallel	1000	1	oneTouch	2	rightHand	5	none	20293	21293	2	2	1	1	21864	1571	valid	expXId
4	1	1	999	5	0	1	hands parallel	1	feet parallel	-1000	1	oneTouch	3	leftFoot	5	none	24345	25345	3	3	0	1	25959	1614	valid	expXId
4	1	0	1	1	0	1	hands parallel	1	feet parallel	300	1	oneTouch	2	rightHand	5	none	32142	32442	2	2	1	1	33241	1099	block start	expXId
4	1	0	2	2	0	1	hands parallel	1	feet parallel	-110	1	oneTouch	1	leftHand	5	none	35488	35598	1	1	0	1	37112	1624	valid	expXId
4	1	0	3	3	0	1	hands parallel	1	feet parallel	110	2	twoTouches	2	rightHand	3	leftFoot	38647	38757	2	2	1	1	39549	902	valid	expXId
4	1	0	4	4	0	1	hands parallel	1	feet parallel	-110	2	twoTouches	3	leftFoot	4	rightFoot	41806	41916	3	3	0	1	43403	1597	valid	expXId
4	1	0	5	5	0	1	hands parallel	1	feet parallel	-110	2	twoTouches	1	leftHand	4	rightFoot	44964	45074	1	1	0	1	46254	1290	valid	expXId
4	1	0	6	6	0	1	hands parallel	1	feet parallel	110	1	oneTouch	2	rightHand	5	none	48123	48233	2	2	1	1	49020	897	valid	expXId
