subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
7	1	1	999	1	0	2	2	-1000	3	1	67561	68561	4	3	0	1	68631	70	too early	expXIc
7	1	1	999	2	0	2	2	-1000	3	4	74025	75025	0	0	2	99	0	0	no reaction	expXIc
7	1	1	999	3	0	2	2	1000	1	3	81073	82073	0	0	2	99	0	0	no reaction	expXIc
7	1	1	999	4	0	2	2	-1000	3	1	88104	89104	4	3	0	1	90590	1486	valid	expXIc
7	1	1	999	5	0	2	2	1000	1	3	94535	95535	0	0	2	99	0	0	no reaction	expXIc
7	1	0	1	1	0	2	2	-300	4	2	143653	143953	3	4	0	1	144910	957	block start	expXIc
7	1	0	2	2	0	2	2	110	4	1	149351	149461	3	4	1	1	150708	1247	valid	expXIc
7	1	0	3	3	0	2	2	300	4	3	154916	155216	3	4	1	1	157141	1925	valid	expXIc
7	1	0	4	4	0	2	2	-50	3	2	160697	160747	0	0	2	99	0	0	no reaction	expXIc
7	1	0	5	5	0	2	2	300	2	1	165779	166079	1	2	1	1	167692	1613	valid	expXIc
7	1	0	6	6	0	2	2	110	2	3	172477	172587	4	3	0	0	175112	2525	valid	expXIc
7	1	0	7	7	0	2	2	300	2	3	178292	178592	1	2	1	1	179559	967	valid	expXIc
7	1	0	8	8	0	2	2	-110	3	1	183957	184067	4	3	0	1	185564	1497	valid	expXIc
7	1	0	9	9	0	2	2	50	2	4	189422	189472	1	2	1	1	190898	1426	valid	expXIc
7	1	0	10	10	0	2	2	110	2	4	195269	195379	1	2	1	1	197860	2481	valid	expXIc
7	1	0	11	11	0	2	2	-110	1	4	201534	201644	0	0	2	99	0	0	no reaction	expXIc
7	1	0	12	12	0	2	2	50	4	1	206683	206733	3	4	1	1	206770	37	too early	expXIc
7	1	0	13	13	0	2	2	-50	3	4	212148	212198	0	0	2	99	0	0	no reaction	expXIc
7	1	0	14	14	0	2	2	50	1	3	217229	217279	0	0	2	99	0	0	no reaction	expXIc
7	1	0	15	15	0	2	2	-300	1	2	222311	222611	0	0	2	99	0	0	no reaction	expXIc
7	1	0	16	16	0	2	2	-110	3	4	227643	227753	3	4	1	0	229459	1706	valid	expXIc
7	1	0	17	17	0	2	2	-300	3	4	233191	233491	4	3	0	1	234579	1088	valid	expXIc
7	1	0	18	18	0	2	2	-50	4	2	238806	238856	1	2	1	0	239982	1126	valid	expXIc
7	1	0	19	19	0	2	2	-110	3	2	244154	244264	4	3	0	1	245655	1391	valid	expXIc
7	1	0	20	20	0	2	2	50	2	3	249669	249719	0	0	2	99	0	0	no reaction	expXIc
7	1	0	21	21	0	2	2	-300	1	4	254750	255050	1	2	2	99	256786	1736	wrong limb	expXIc
7	1	0	22	22	0	2	2	50	2	1	260432	260482	0	0	2	99	0	0	no reaction	expXIc
7	1	0	23	23	0	2	2	300	1	3	265514	265814	2	1	1	1	265517	-297	too early	expXIc
7	1	0	24	24	0	2	2	-300	3	2	271295	271595	4	3	0	1	272534	939	valid	expXIc
7	1	0	25	25	0	2	2	-50	1	4	276927	276977	4	3	2	99	278702	1725	wrong limb	expXIc
7	1	0	26	26	0	2	2	110	4	3	282392	282502	3	4	1	1	284840	2338	valid	expXIc
7	1	0	27	27	0	2	2	110	1	3	288556	288666	4	3	0	0	291440	2774	valid	expXIc
7	1	0	28	28	0	2	2	-110	4	2	294588	294698	0	0	2	99	0	0	no reaction	expXIc
7	1	0	29	29	0	2	2	300	2	4	299736	300036	1	2	1	1	301212	1176	valid	expXIc
7	1	0	30	30	0	2	2	-50	3	1	305334	305384	4	3	0	1	307417	2033	valid	expXIc
7	1	0	31	31	0	2	2	50	4	3	310749	310799	3	4	1	1	313424	2625	valid	expXIc
7	1	0	32	32	0	2	2	300	4	1	316747	317047	0	0	2	99	0	0	no reaction	expXIc
7	1	0	33	33	0	2	2	-110	1	2	322079	322189	0	0	2	99	0	0	no reaction	expXIc
7	1	0	34	34	0	2	2	110	2	1	327227	327337	1	2	1	1	329185	1848	valid	expXIc
7	1	0	35	35	0	2	2	-300	3	1	332692	332992	4	3	0	1	333954	962	valid	expXIc
7	1	0	36	36	0	2	2	-50	1	2	338290	338340	4	3	2	99	340833	2493	wrong limb	expXIc
7	1	0	1	37	1	2	2	-300	4	2	343755	344055	3	4	0	1	345217	1162	valid	expXIc
7	1	0	4	38	1	2	2	-50	3	2	349353	349403	1	2	1	0	351629	2226	valid	expXIc
7	1	0	11	39	1	2	2	-110	1	4	354985	355095	0	0	2	99	0	0	no reaction	expXIc
7	1	0	12	40	1	2	2	50	4	1	360133	360183	3	4	1	1	361721	1538	valid	expXIc
7	1	0	13	41	1	2	2	-50	3	4	365598	365648	4	3	0	1	367973	2325	valid	expXIc
7	1	0	14	42	1	2	2	50	1	3	371280	371330	4	3	0	0	372887	1557	valid	expXIc
7	1	0	15	43	1	2	2	-300	1	2	376695	376995	0	0	2	99	0	0	no reaction	expXIc
7	1	0	20	44	1	2	2	50	2	3	382026	382076	1	2	1	1	383843	1767	valid	expXIc
7	1	0	21	45	1	2	2	-300	1	4	387408	387708	0	0	2	99	0	0	no reaction	expXIc
7	1	0	22	46	1	2	2	50	2	1	392739	392789	0	0	2	99	0	0	no reaction	expXIc
7	1	0	23	47	1	2	2	300	1	3	397821	398121	4	3	0	0	397865	-256	too early	expXIc
7	1	0	25	48	1	2	2	-50	1	4	403469	403519	3	4	1	0	405784	2265	valid	expXIc
7	1	0	28	49	1	2	2	-110	4	2	408967	409077	3	4	0	1	411158	2081	valid	expXIc
7	1	0	32	50	1	2	2	300	4	1	414499	414799	0	0	2	99	0	0	no reaction	expXIc
7	1	0	33	51	1	2	2	-110	1	2	419831	419941	4	3	2	99	421793	1852	wrong limb	expXIc
7	1	0	36	52	1	2	2	-50	1	2	425662	425712	0	0	2	99	0	0	no reaction	expXIc
7	1	0	11	53	2	2	2	-110	1	4	430744	430854	0	0	2	99	0	0	no reaction	expXIc
7	1	0	15	54	2	2	2	-300	1	2	435892	436192	2	1	0	1	438689	2497	valid	expXIc
7	1	0	21	55	2	2	2	-300	1	4	442490	442790	0	0	2	99	0	0	no reaction	expXIc
7	1	0	22	56	2	2	2	50	2	1	447822	447872	3	4	2	99	449696	1824	wrong limb	expXIc
7	1	0	23	57	2	2	2	300	1	3	453320	453620	2	1	1	1	455202	1582	valid	expXIc
7	1	0	32	58	2	2	2	300	4	1	458984	459284	3	4	1	1	460445	1161	valid	expXIc
7	1	0	33	59	2	2	2	-110	1	2	464650	464760	1	2	1	0	467285	2525	valid	expXIc
7	1	0	36	60	2	2	2	-50	1	2	470598	470648	1	2	1	0	472660	2012	valid	expXIc
7	1	0	11	61	3	2	2	-110	1	4	475929	476039	0	0	2	99	0	0	no reaction	expXIc
7	1	0	21	62	3	2	2	-300	1	4	481078	481378	0	0	2	99	0	0	no reaction	expXIc
7	1	0	22	63	3	2	2	50	2	1	486409	486459	0	0	2	99	0	0	no reaction	expXIc
7	1	0	11	64	4	2	2	-110	1	4	491491	491601	2	1	0	1	491494	-107	too early	expXIc
7	1	0	21	65	4	2	2	-300	1	4	497406	497706	0	0	2	99	0	0	no reaction	expXIc
7	1	0	22	66	4	2	2	50	2	1	502737	502787	1	2	1	1	504532	1745	valid	expXIc
7	1	0	11	67	5	2	2	-110	1	4	508185	508295	0	0	2	99	0	0	no reaction	expXIc
7	1	0	21	68	5	2	2	-300	1	4	513334	513634	0	0	2	99	0	0	no reaction	expXIc
7	1	0	11	69	6	2	2	-110	1	4	518665	518775	2	1	0	1	521272	2497	valid	expXIc
7	1	0	21	70	6	2	2	-300	1	4	524214	524514	0	0	2	99	0	0	no reaction	expXIc
7	1	0	21	71	7	2	2	-300	1	4	529545	529845	0	0	2	99	0	0	no reaction	expXIc
7	1	0	21	72	8	2	2	-300	1	4	534881	535181	2	1	0	1	536049	868	valid	expXIc
7	2	0	37	1	0	2	2	50	1	3	605209	605259	2	1	1	1	606753	1494	block start	expXIc
7	2	0	38	2	0	2	2	-110	3	4	610807	610917	4	3	0	1	612997	2080	valid	expXIc
7	2	0	39	3	0	2	2	-300	3	2	616971	617271	4	3	0	1	618453	1182	valid	expXIc
7	2	0	40	4	0	2	2	-50	3	1	622586	622636	4	3	0	1	624759	2123	valid	expXIc
7	2	0	41	5	0	2	2	50	2	1	628234	628284	2	1	0	0	630677	2393	valid	expXIc
7	2	0	42	6	0	2	2	-300	3	1	634366	634666	4	3	0	1	635789	1123	valid	expXIc
7	2	0	43	7	0	2	2	110	2	4	640114	640224	3	4	0	0	641811	1587	valid	expXIc
7	2	0	44	8	0	2	2	-50	1	4	646062	646112	4	3	2	99	648229	2117	wrong limb	expXIc
7	2	0	45	9	0	2	2	-50	3	2	652077	652127	3	4	2	99	654386	2259	wrong limb	expXIc
7	2	0	46	10	0	2	2	110	1	3	657675	657785	0	0	2	99	0	0	no reaction	expXIc
7	2	0	47	11	0	2	2	50	2	3	662823	662873	0	0	2	99	0	0	no reaction	expXIc
7	2	0	48	12	0	2	2	-50	3	4	667905	667955	3	4	1	0	670300	2345	valid	expXIc
7	2	0	49	13	0	2	2	50	4	1	673853	673903	4	3	2	99	675647	1744	wrong limb	expXIc
7	2	0	50	14	0	2	2	110	2	1	679268	679378	1	2	1	1	681265	1887	valid	expXIc
7	2	0	51	15	0	2	2	110	4	3	685066	685176	4	3	0	0	687588	2412	valid	expXIc
7	2	0	52	16	0	2	2	110	4	1	690981	691091	0	0	2	99	0	0	no reaction	expXIc
7	2	0	53	17	0	2	2	-110	3	2	696129	696239	3	4	2	99	697585	1346	wrong limb	expXIc
7	2	0	54	18	0	2	2	300	4	1	701711	702011	3	4	1	1	704314	2303	valid	expXIc
7	2	0	55	19	0	2	2	-50	1	2	707775	707825	1	2	1	0	710520	2695	valid	expXIc
7	2	0	56	20	0	2	2	50	2	4	714157	714207	3	4	0	0	715880	1673	valid	expXIc
7	2	0	57	21	0	2	2	300	2	3	719605	719905	1	2	1	1	721425	1520	valid	expXIc
7	2	0	58	22	0	2	2	110	2	3	725336	725446	1	2	1	1	728188	2742	valid	expXIc
7	2	0	59	23	0	2	2	300	2	1	731401	731701	1	2	1	1	733391	1690	valid	expXIc
7	2	0	60	24	0	2	2	-300	1	4	737016	737316	2	1	0	1	739206	1890	valid	expXIc
7	2	0	61	25	0	2	2	300	4	3	742764	743064	3	4	1	1	744397	1333	valid	expXIc
7	2	0	62	26	0	2	2	-110	1	2	748396	748506	3	4	2	99	751075	2569	wrong limb	expXIc
7	2	0	63	27	0	2	2	-300	1	2	754277	754577	2	1	0	1	757441	2864	valid	expXIc
7	2	0	64	28	0	2	2	50	4	3	760275	760325	3	4	1	1	762832	2507	valid	expXIc
7	2	0	65	29	0	2	2	-300	4	2	765890	766190	3	4	0	1	768322	2132	valid	expXIc
7	2	0	66	30	0	2	2	300	1	3	771605	771905	2	1	1	1	774626	2721	valid	expXIc
7	2	0	67	31	0	2	2	300	2	4	777136	777436	1	2	1	1	778680	1244	valid	expXIc
7	2	0	68	32	0	2	2	-50	4	2	782801	782851	3	4	0	1	784520	1669	valid	expXIc
7	2	0	69	33	0	2	2	-110	4	2	788216	788326	3	4	0	1	789718	1392	valid	expXIc
7	2	0	70	34	0	2	2	-110	3	1	793698	793808	4	3	0	1	794906	1098	valid	expXIc
7	2	0	71	35	0	2	2	-300	3	4	799179	799479	4	3	0	1	801121	1642	valid	expXIc
7	2	0	72	36	0	2	2	-110	1	4	804827	804938	2	1	0	1	806602	1664	valid	expXIc
7	2	0	37	37	1	2	2	50	1	3	810292	810342	0	0	2	99	0	0	no reaction	expXIc
7	2	0	44	38	1	2	2	-50	1	4	815374	815424	4	3	2	99	818237	2813	wrong limb	expXIc
7	2	0	45	39	1	2	2	-50	3	2	820972	821022	3	4	2	99	822777	1755	wrong limb	expXIc
7	2	0	46	40	1	2	2	110	1	3	826520	826630	3	4	2	99	829160	2530	wrong limb	expXIc
7	2	0	47	41	1	2	2	50	2	3	832052	832102	1	2	1	1	834138	2036	valid	expXIc
7	2	0	49	42	1	2	2	50	4	1	837850	837900	3	4	1	1	840659	2759	valid	expXIc
7	2	0	52	43	1	2	2	110	4	1	844032	844142	4	3	2	99	846221	2079	wrong limb	expXIc
7	2	0	53	44	1	2	2	-110	3	2	849580	849690	3	4	2	99	851222	1532	wrong limb	expXIc
7	2	0	62	45	1	2	2	-110	1	2	855061	855171	2	1	0	1	856694	1523	valid	expXIc
7	2	0	37	46	2	2	2	50	1	3	860526	860576	4	3	0	0	862882	2306	valid	expXIc
7	2	0	44	47	2	2	2	-50	1	4	866308	866358	2	1	0	1	868135	1777	valid	expXIc
7	2	0	45	48	2	2	2	-50	3	2	871906	871956	4	3	0	1	873980	2024	valid	expXIc
7	2	0	46	49	2	2	2	110	1	3	877404	877514	2	1	1	1	879880	2366	valid	expXIc
7	2	0	52	50	2	2	2	110	4	1	883369	883479	4	3	2	99	885505	2026	wrong limb	expXIc
7	2	0	53	51	2	2	2	-110	3	2	889334	889444	4	3	0	1	891669	2225	valid	expXIc
7	2	0	52	52	3	2	2	110	4	1	895565	895675	4	3	2	99	897879	2204	wrong limb	expXIc
7	2	0	52	53	4	2	2	110	4	1	901046	901156	3	4	1	1	902054	898	valid	expXIc
7	3	1	999	1	0	2	1	1000	2	3	1115577	1116577	0	0	2	99	0	0	no reaction	expXIc
7	3	1	999	2	0	2	1	-1000	1	4	1122608	1123608	2	1	0	1	1125226	1618	valid	expXIc
7	3	1	999	3	0	2	1	1000	1	3	1129040	1130040	0	0	2	99	0	0	no reaction	expXIc
7	3	1	999	4	0	2	1	-1000	3	1	1136070	1137070	3	3	0	1	1138861	1791	valid	expXIc
7	3	1	999	5	0	2	1	1000	2	4	1142485	1143485	1	2	1	1	1143184	-301	too early	expXIc
7	3	0	73	1	0	2	1	-300	1	2	1153598	1153898	2	1	0	1	1155081	1183	block start	expXIc
7	3	0	74	2	0	2	1	50	2	4	1159263	1159313	0	0	2	99	0	0	no reaction	expXIc
7	3	0	75	3	0	2	1	50	2	3	1164345	1164395	2	1	2	99	1166814	2419	wrong limb	expXIc
7	3	0	76	4	0	2	1	-300	3	4	1170460	1170760	3	3	0	1	1172372	1612	valid	expXIc
7	3	0	77	5	0	2	1	300	1	3	1176124	1176424	2	1	1	1	1177661	1237	valid	expXIc
7	3	0	78	6	0	2	1	-50	1	4	1181756	1181806	2	1	0	1	1183600	1794	valid	expXIc
7	3	0	79	7	0	2	1	110	2	4	1187271	1187381	4	4	0	0	1189584	2203	valid	expXIc
7	3	0	80	8	0	2	1	300	2	1	1193569	1193869	1	2	1	1	1195061	1192	valid	expXIc
7	3	0	81	9	0	2	1	110	1	3	1199184	1199294	2	1	1	1	1201026	1732	valid	expXIc
7	3	0	82	10	0	2	1	110	4	1	1205315	1205425	4	4	1	1	1206818	1393	valid	expXIc
7	3	0	83	11	0	2	1	-110	1	2	1210730	1210840	3	3	2	99	1213606	2766	wrong limb	expXIc
7	3	0	84	12	0	2	1	-50	1	2	1216578	1216628	2	1	0	1	1219108	2480	valid	expXIc
7	3	0	85	13	0	2	1	50	2	1	1223442	1223492	2	1	0	0	1225930	2438	valid	expXIc
7	3	0	86	14	0	2	1	300	2	3	1229191	1229491	1	2	1	1	1230894	1403	valid	expXIc
7	3	0	87	15	0	2	1	-110	3	4	1234805	1234915	3	3	0	1	1236809	1894	valid	expXIc
7	3	0	88	16	0	2	1	50	4	1	1240420	1240470	4	4	1	1	1242118	1648	valid	expXIc
7	3	0	89	17	0	2	1	-50	4	2	1245902	1245952	4	4	0	1	1247927	1975	valid	expXIc
7	3	0	90	18	0	2	1	110	4	3	1251867	1251977	4	4	1	1	1253939	1962	valid	expXIc
7	3	0	91	19	0	2	1	110	2	1	1257715	1257825	0	0	2	99	0	0	no reaction	expXIc
7	3	0	92	20	0	2	1	-110	3	1	1262863	1262973	3	3	0	1	1264715	1742	valid	expXIc
7	3	0	93	21	0	2	1	50	4	3	1268395	1268445	4	4	1	1	1270292	1847	valid	expXIc
7	3	0	94	22	0	2	1	-300	4	2	1274043	1274343	4	4	0	1	1275487	1144	valid	expXIc
7	3	0	95	23	0	2	1	-110	1	4	1279641	1279751	2	1	0	1	1281719	1968	valid	expXIc
7	3	0	96	24	0	2	1	300	4	3	1285189	1285489	4	4	1	1	1286570	1081	valid	expXIc
7	3	0	97	25	0	2	1	-300	3	2	1290787	1291087	3	3	0	1	1292135	1048	valid	expXIc
7	3	0	98	26	0	2	1	50	1	3	1296352	1296402	2	1	1	1	1297966	1564	valid	expXIc
7	3	0	99	27	0	2	1	300	4	1	1301767	1302067	4	4	1	1	1303109	1042	valid	expXIc
7	3	0	100	28	0	2	1	-50	3	4	1307399	1307449	4	4	1	0	1310137	2688	valid	expXIc
7	3	0	101	29	0	2	1	-50	3	1	1313413	1313463	3	3	0	1	1315571	2108	valid	expXIc
7	3	0	102	30	0	2	1	-300	1	4	1319028	1319328	2	1	0	1	1320511	1183	valid	expXIc
7	3	0	103	31	0	2	1	-110	4	2	1324660	1324770	4	4	0	1	1326675	1905	valid	expXIc
7	3	0	104	32	0	2	1	300	2	4	1330158	1330458	1	2	1	1	1331576	1118	valid	expXIc
7	3	0	105	33	0	2	1	110	2	3	1335790	1335900	1	2	1	1	1337893	1993	valid	expXIc
7	3	0	106	34	0	2	1	-300	3	1	1341221	1341521	3	3	0	1	1343124	1603	valid	expXIc
7	3	0	107	35	0	2	1	-50	3	2	1346969	1347019	3	3	0	1	1349359	2340	valid	expXIc
7	3	0	108	36	0	2	1	-110	3	2	1353051	1353161	3	3	0	1	1354905	1744	valid	expXIc
7	3	0	73	37	1	2	1	-300	1	2	1358615	1358915	2	1	0	1	1360951	2036	valid	expXIc
7	3	0	74	38	1	2	1	50	2	4	1364697	1364747	3	3	2	99	1366807	2060	wrong limb	expXIc
7	3	0	75	39	1	2	1	50	2	3	1370128	1370178	1	2	1	1	1372162	1984	valid	expXIc
7	3	0	83	40	1	2	1	-110	1	2	1375710	1375820	1	2	1	0	1377685	1865	valid	expXIc
7	3	0	91	41	1	2	1	110	2	1	1381491	1381601	2	1	0	0	1383874	2273	valid	expXIc
7	3	0	74	42	2	2	1	50	2	4	1387273	1387323	1	2	1	1	1390061	2738	valid	expXIc
7	4	0	109	1	0	2	1	-110	3	1	1398836	1398946	3	3	0	1	1400891	1945	block start	expXIc
7	4	0	110	2	0	2	1	-50	3	1	1404384	1404434	0	0	2	99	0	0	no reaction	expXIc
7	4	0	111	3	0	2	1	-300	3	1	1409466	1409766	3	3	0	1	1410803	1037	valid	expXIc
7	4	0	112	4	0	2	1	50	1	3	1415114	1415164	2	1	1	1	1417431	2267	valid	expXIc
7	4	0	113	5	0	2	1	50	2	3	1421029	1421079	3	3	0	0	1422996	1917	valid	expXIc
7	4	0	114	6	0	2	1	-300	4	2	1426727	1427027	4	4	0	1	1428706	1679	valid	expXIc
7	4	0	115	7	0	2	1	50	4	1	1432292	1432342	4	4	1	1	1434342	2000	valid	expXIc
7	4	0	116	8	0	2	1	-110	1	2	1437673	1437783	0	0	2	99	0	0	no reaction	expXIc
7	4	0	117	9	0	2	1	50	2	4	1442822	1442872	4	4	0	0	1444485	1613	valid	expXIc
7	4	0	118	10	0	2	1	-110	1	4	1448786	1448896	1	2	2	99	1450750	1854	wrong limb	expXIc
7	4	0	119	11	0	2	1	-110	3	2	1454218	1454328	3	3	0	1	1455648	1320	valid	expXIc
7	4	0	120	12	0	2	1	300	1	3	1459700	1460000	2	1	1	1	1460926	926	valid	expXIc
7	4	0	121	13	0	2	1	-50	1	4	1465264	1465314	0	0	2	99	0	0	no reaction	expXIc
7	4	0	122	14	0	2	1	300	2	4	1470346	1470646	1	2	1	1	1472299	1653	valid	expXIc
7	4	0	123	15	0	2	1	110	2	3	1475978	1476088	1	2	1	1	1478017	1929	valid	expXIc
7	4	0	124	16	0	2	1	110	2	4	1481426	1481536	4	4	0	0	1483062	1526	valid	expXIc
7	4	0	125	17	0	2	1	-300	1	2	1486857	1487157	0	0	2	99	0	0	no reaction	expXIc
7	4	0	126	18	0	2	1	300	4	3	1492189	1492489	4	4	1	1	1493588	1099	valid	expXIc
7	4	0	127	19	0	2	1	110	2	1	1497921	1498031	2	1	0	0	1500563	2532	valid	expXIc
7	4	0	128	20	0	2	1	110	4	1	1503785	1503895	4	4	1	1	1505157	1262	valid	expXIc
7	4	0	129	21	0	2	1	300	4	1	1509217	1509517	4	4	1	1	1510836	1319	valid	expXIc
7	4	0	130	22	0	2	1	-110	3	4	1514815	1514925	3	3	0	1	1516409	1484	valid	expXIc
7	4	0	131	23	0	2	1	300	2	1	1520247	1520547	1	2	1	1	1521773	1226	valid	expXIc
7	4	0	132	24	0	2	1	110	1	3	1525912	1526022	2	1	1	1	1527356	1334	valid	expXIc
7	4	0	133	25	0	2	1	-50	1	2	1531376	1531426	3	3	2	99	1533855	2429	wrong limb	expXIc
7	4	0	134	26	0	2	1	-50	4	2	1537075	1537125	4	4	0	1	1538921	1796	valid	expXIc
7	4	0	135	27	0	2	1	300	2	3	1542440	1542740	1	2	1	1	1544080	1340	valid	expXIc
7	4	0	136	28	0	2	1	50	4	3	1548054	1548104	4	4	1	1	1550784	2680	valid	expXIc
7	4	0	137	29	0	2	1	50	2	1	1553919	1553969	3	3	2	99	1555895	1926	wrong limb	expXIc
7	4	0	138	30	0	2	1	-50	3	4	1559334	1559384	3	3	0	1	1561372	1988	valid	expXIc
7	4	0	139	31	0	2	1	-110	4	2	1564832	1564942	1	2	1	0	1567073	2131	valid	expXIc
7	4	0	140	32	0	2	1	-50	3	2	1570331	1570381	3	3	0	1	1571887	1506	valid	expXIc
7	4	0	141	33	0	2	1	-300	3	2	1575745	1576045	3	3	0	1	1577950	1905	valid	expXIc
7	4	0	142	34	0	2	1	-300	1	4	1581427	1581727	2	1	0	1	1583369	1642	valid	expXIc
7	4	0	143	35	0	2	1	-300	3	4	1587042	1587342	4	4	1	0	1589355	2013	valid	expXIc
7	4	0	144	36	0	2	1	110	4	3	1592673	1592783	4	4	1	1	1594236	1453	valid	expXIc
7	4	0	109	37	1	2	1	-110	3	1	1598105	1598215	3	3	0	1	1599733	1518	valid	expXIc
7	4	0	110	38	1	2	1	-50	3	1	1603670	1603720	3	3	0	1	1605555	1835	valid	expXIc
7	4	0	116	39	1	2	1	-110	1	2	1609085	1609195	4	4	2	99	1610611	1416	wrong limb	expXIc
7	4	0	118	40	1	2	1	-110	1	4	1614500	1614610	2	1	0	1	1615982	1372	valid	expXIc
7	4	0	121	41	1	2	1	-50	1	4	1619964	1620014	2	1	0	1	1621787	1773	valid	expXIc
7	4	0	125	42	1	2	1	-300	1	2	1625379	1625679	0	0	2	99	0	0	no reaction	expXIc
7	4	0	133	43	1	2	1	-50	1	2	1630711	1630761	1	2	1	0	1632720	1959	valid	expXIc
7	4	0	137	44	1	2	1	50	2	1	1636059	1636109	0	0	2	99	0	0	no reaction	expXIc
7	4	0	116	45	2	2	1	-110	1	2	1641141	1641251	1	2	1	0	1643345	2094	valid	expXIc
7	4	0	125	46	2	2	1	-300	1	2	1646623	1646923	2	1	0	1	1648086	1163	valid	expXIc
7	4	0	137	47	2	2	1	50	2	1	1652204	1652254	2	1	0	0	1654388	2134	valid	expXIc
7	5	1	999	1	0	1	2	1000	2	4	1861087	1862087	2	2	1	1	1862927	840	valid	expXIc
7	5	1	999	2	0	1	2	-1000	3	1	1867418	1868418	4	3	0	1	1869167	749	valid	expXIc
7	5	1	999	3	0	1	2	1000	2	4	1873716	1874716	2	2	1	1	1875651	935	valid	expXIc
7	5	1	999	4	0	1	2	1000	2	4	1879997	1880997	2	2	1	1	1882072	1075	valid	expXIc
7	5	1	999	5	0	1	2	1000	2	4	1886295	1887295	2	2	1	1	1888806	1511	valid	expXIc
7	5	0	145	1	0	1	2	-50	1	2	1897125	1897175	1	1	0	1	1898955	1780	block start	expXIc
7	5	0	146	2	0	1	2	300	2	1	1902657	1902957	2	2	1	1	1904018	1061	valid	expXIc
7	5	0	147	3	0	1	2	300	2	4	1908205	1908505	0	0	2	99	0	0	no reaction	expXIc
7	5	0	148	4	0	1	2	50	4	3	1913536	1913586	4	3	0	0	1915321	1735	valid	expXIc
7	5	0	149	5	0	1	2	-110	1	4	1918918	1919028	1	1	0	1	1921022	1994	valid	expXIc
7	5	0	150	6	0	1	2	300	4	3	1924716	1925016	3	4	1	1	1926236	1220	valid	expXIc
7	5	0	151	7	0	1	2	-110	1	2	1930364	1930474	1	1	0	1	1931920	1446	valid	expXIc
7	5	0	152	8	0	1	2	110	2	3	1935929	1936039	2	2	1	1	1937314	1275	valid	expXIc
7	5	0	153	9	0	1	2	110	2	1	1941461	1941571	2	2	1	1	1942743	1172	valid	expXIc
7	5	0	154	10	0	1	2	-300	4	2	1947475	1947775	3	4	0	1	1948683	908	valid	expXIc
7	5	0	155	11	0	1	2	-110	3	4	1953340	1953450	4	3	0	1	1954868	1418	valid	expXIc
7	5	0	156	12	0	1	2	-50	4	2	1959038	1959088	3	4	0	1	1960653	1565	valid	expXIc
7	5	0	157	13	0	1	2	50	4	1	1964770	1964820	3	4	1	1	1966307	1487	valid	expXIc
7	5	0	158	14	0	1	2	-300	3	1	1970785	1971085	4	3	0	1	1972060	975	valid	expXIc
7	5	0	159	15	0	1	2	-300	3	2	1976533	1976833	4	3	0	1	1977959	1126	valid	expXIc
