subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
104	1	1	999	1	0	1	1	-1000	4	2	166078	167078	4	4	0	1	167092	14	too early	expXIc
104	1	1	999	2	0	1	1	1000	2	4	175108	176108	2	2	1	1	175756	-352	too early	expXIc
104	1	1	999	3	0	1	1	-1000	4	2	182306	183306	4	4	0	1	184249	943	valid	expXIc
104	1	1	999	4	0	1	1	-1000	1	4	189003	190003	1	1	0	1	190963	960	valid	expXIc
104	1	1	999	5	0	1	1	-1000	1	4	196151	197151	1	1	0	1	198220	1069	valid	expXIc
104	1	0	1	1	0	1	1	110	4	1	300000	300110	1	1	0	0	301211	1101	block start	expXIc
104	1	0	2	2	0	1	1	50	4	1	305665	305715	1	1	0	0	306839	1124	valid	expXIc
104	1	0	3	3	0	1	1	300	4	1	311330	311630	4	4	1	1	311644	14	too early	expXIc
104	1	0	4	4	0	1	1	-110	3	1	317511	317621	3	3	0	1	317635	14	too early	expXIc
104	1	0	5	5	0	1	1	-110	1	4	323159	323269	1	1	0	1	323173	-96	too early	expXIc
104	1	0	6	6	0	1	1	50	1	3	329374	329424	3	3	0	0	329388	-36	too early	expXIc
104	1	0	7	7	0	1	1	110	2	1	335072	335182	2	2	1	1	336437	1255	valid	expXIc
104	1	0	8	8	0	1	1	110	2	4	341536	341646	2	2	1	1	342525	879	valid	expXIc
104	1	0	9	9	0	1	1	-110	4	2	347401	347511	4	4	0	1	348796	1285	valid	expXIc
104	1	0	10	10	0	1	1	-50	3	1	353532	353582	1	1	1	0	353596	14	too early	expXIc
104	1	0	11	11	0	1	1	-50	4	2	359930	359980	2	2	1	0	361800	1820	valid	expXIc
104	1	0	12	12	0	1	1	110	1	3	366045	366155	1	1	1	1	366059	-96	too early	expXIc
104	1	0	13	13	0	1	1	-300	3	1	371793	372093	1	1	1	0	372107	14	too early	expXIc
104	1	0	14	14	0	1	1	-110	1	2	377791	377901	2	2	1	0	377805	-96	too early	expXIc
104	1	0	15	15	0	1	1	-110	3	2	384289	384399	3	3	0	1	386227	1828	valid	expXIc
104	1	0	16	16	0	1	1	50	2	3	390087	390137	2	2	1	1	391464	1327	valid	expXIc
104	1	0	17	17	0	1	1	300	1	3	395635	395935	1	1	1	1	395649	-286	too early	expXIc
104	1	0	18	18	0	1	1	-300	4	2	401400	401700	4	4	0	1	403188	1488	valid	expXIc
104	1	0	19	19	0	1	1	-110	3	4	407365	407475	3	3	0	1	408603	1128	valid	expXIc
104	1	0	20	20	0	1	1	-300	1	4	413129	413429	1	1	0	1	413143	-286	too early	expXIc
