subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
4	1	1	999	1	0	1	1	-1000	1	2	364865	365865	1	1	0	1	365881	16	too early	expXIc
4	1	1	999	2	0	1	1	-1000	3	2	371279	372279	3	3	0	1	372296	17	too early	expXIc
4	1	1	999	3	0	1	1	-1000	3	1	377610	378610	0	0	2	99	0	0	no reaction	expXIc
4	1	1	999	4	0	1	1	1000	2	3	384658	385658	2	2	1	1	384675	-983	too early	expXIc
4	1	1	999	5	0	1	1	-1000	1	4	391056	392056	0	0	2	99	0	0	no reaction	expXIc
4	1	0	1	1	0	1	1	300	2	1	406451	406751	2	2	1	1	406468	-283	block start	expXIc
4	1	0	2	2	0	1	1	-110	3	1	412033	412143	0	0	2	99	0	0	no reaction	expXIc
4	1	0	3	3	0	1	1	110	2	1	417181	417291	2	2	1	1	417198	-93	too early	expXIc
4	1	0	4	4	0	1	1	300	4	3	422696	422996	4	4	1	1	423857	861	valid	expXIc
4	1	0	5	5	0	1	1	-110	3	2	428344	428454	3	3	0	1	428471	17	too early	expXIc
4	1	0	6	6	0	1	1	-50	3	4	433909	433959	0	0	2	99	0	0	no reaction	expXIc
4	1	0	7	7	0	1	1	50	4	1	438991	439041	0	0	2	99	0	0	no reaction	expXIc
4	1	0	8	8	0	1	1	50	2	4	444072	444122	2	2	1	1	444089	-33	too early	expXIc
4	1	0	9	9	0	1	1	-110	3	4	449537	449647	0	0	2	99	0	0	no reaction	expXIc
4	1	0	10	10	0	1	1	-110	1	2	454685	454795	1	1	0	1	454812	17	too early	expXIc
4	1	0	11	11	0	1	1	110	1	3	460300	460410	0	0	2	99	0	0	no reaction	expXIc
4	1	0	12	12	0	1	1	-50	4	2	465449	465499	2	2	1	0	465515	16	too early	expXIc
4	1	0	13	13	0	1	1	110	4	1	470900	471010	4	4	1	1	472180	1170	valid	expXIc
4	1	0	14	14	0	1	1	110	2	3	476348	476458	2	2	1	1	476365	-93	too early	expXIc
4	1	0	15	15	0	1	1	300	1	3	481796	482096	1	1	1	1	482931	835	valid	expXIc
4	1	0	16	16	0	1	1	-300	1	2	487478	487778	1	1	0	1	487794	16	too early	expXIc
4	1	0	17	17	0	1	1	-300	1	4	493292	493592	0	0	2	99	0	0	no reaction	expXIc
4	1	0	18	18	0	1	1	-50	3	2	498624	498674	2	2	1	0	498691	17	too early	expXIc
4	1	0	19	19	0	1	1	-50	3	1	504006	504056	1	1	1	0	505210	1154	valid	expXIc
4	1	0	20	20	0	1	1	50	2	3	509470	509520	2	2	1	1	509487	-33	too early	expXIc
4	1	0	21	21	0	1	1	50	1	3	514969	515019	0	0	2	99	0	0	no reaction	expXIc
4	1	0	22	22	0	1	1	-50	1	2	520050	520100	1	1	0	1	520117	17	too early	expXIc
4	1	0	23	23	0	1	1	110	2	4	525505	525615	0	0	2	99	0	0	no reaction	expXIc
4	1	0	24	24	0	1	1	300	2	3	530654	530954	0	0	2	99	0	0	no reaction	expXIc
4	1	0	25	25	0	1	1	50	2	1	535985	536035	0	0	2	99	0	0	no reaction	expXIc
4	1	0	26	26	0	1	1	300	4	1	541067	541367	4	4	1	1	542143	776	valid	expXIc
4	1	0	27	27	0	1	1	300	2	4	546782	547082	2	2	1	1	547658	576	valid	expXIc
4	1	0	28	28	0	1	1	-300	3	4	552430	552730	5	0	2	99	554054	1324	strange verbal response	expXIc
4	1	0	29	29	0	1	1	-300	3	2	558012	558312	3	3	0	1	558942	630	valid	expXIc
4	1	0	30	30	0	1	1	-50	1	4	563610	563660	0	0	2	99	0	0	no reaction	expXIc
4	1	0	31	31	0	1	1	-110	4	2	568691	568801	2	2	1	0	570018	1217	valid	expXIc
