subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
11	1	1	999	1	0	2	2	-1000	4	2	276926	277926	0	0	2	99	0	0	no reaction	expXIc
11	1	1	999	2	0	2	2	-1000	3	4	283973	284973	4	3	0	1	285963	990	valid	expXIc
11	1	1	999	3	0	2	2	-1000	3	4	290338	291338	4	3	0	1	292366	1028	valid	expXIc
11	1	1	999	4	0	2	2	-1000	1	2	296669	297669	2	1	0	1	298743	1074	valid	expXIc
11	1	1	999	5	0	2	2	-1000	1	2	302983	303983	2	1	0	1	305069	1086	valid	expXIc
11	1	0	1	1	0	2	2	300	2	4	322460	322760	1	2	1	1	323735	975	block start	expXIc
11	1	0	2	2	0	2	2	-110	1	2	328075	328185	2	1	0	1	329223	1038	valid	expXIc
11	1	0	3	3	0	2	2	-110	3	2	333590	333700	4	3	0	1	334818	1118	valid	expXIc
11	1	0	4	4	0	2	2	50	4	3	339072	339122	3	4	1	1	340111	989	valid	expXIc
11	1	0	5	5	0	2	2	-300	3	2	344420	344720	4	3	0	1	345443	723	valid	expXIc
11	1	0	6	6	0	2	2	-300	1	2	350001	350301	2	1	0	1	351097	796	valid	expXIc
11	1	0	7	7	0	2	2	300	2	1	355633	355933	1	2	1	1	356712	779	valid	expXIc
11	1	0	8	8	0	2	2	-300	3	1	361215	361515	4	3	0	1	362213	698	valid	expXIc
11	1	0	9	9	0	2	2	50	2	1	366796	366846	2	1	0	0	368133	1287	valid	expXIc
11	1	0	10	10	0	2	2	110	4	1	372128	372238	3	4	1	1	373070	832	valid	expXIc
11	1	0	11	11	0	2	2	300	1	3	377576	377876	2	1	1	1	378713	837	valid	expXIc
11	1	0	12	12	0	2	2	110	4	3	383291	383401	3	4	1	1	384205	804	valid	expXIc
11	1	0	13	13	0	2	2	110	2	4	388722	388832	1	2	1	1	389734	902	valid	expXIc
11	1	0	14	14	0	2	2	110	2	1	394154	394264	1	2	1	1	395215	951	valid	expXIc
11	1	0	15	15	0	2	2	300	4	1	399602	399902	3	4	1	1	400612	710	valid	expXIc
11	1	0	16	16	0	2	2	-300	4	2	405184	405484	3	4	0	1	406116	632	valid	expXIc
11	1	0	17	17	0	2	2	-50	3	4	410815	410865	3	4	1	0	412190	1325	valid	expXIc
11	1	0	18	18	0	2	2	50	2	4	416530	416580	1	2	1	1	417792	1212	valid	expXIc
11	1	0	19	19	0	2	2	110	1	3	421945	422055	1	2	2	99	423249	1194	wrong limb	expXIc
11	1	0	20	20	0	2	2	-110	4	2	427343	427453	3	4	0	1	428325	872	valid	expXIc
11	1	0	21	21	0	2	2	-300	1	4	432758	433058	2	1	0	1	433813	755	valid	expXIc
