subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
5	1	1	999	1	0	1	2	1000	2	3	351033	352033	0	0	2	99	0	0	no reaction	expXIc
5	1	1	999	2	0	1	2	-1000	4	2	358081	359081	3	4	0	1	360007	926	valid	expXIc
5	1	1	999	3	0	1	2	-1000	1	2	364596	365596	0	0	2	99	0	0	no reaction	expXIc
5	1	1	999	4	0	1	2	1000	2	3	371627	372627	0	0	2	99	0	0	no reaction	expXIc
5	1	1	999	5	0	1	2	-1000	3	2	378673	379673	4	3	0	1	380424	751	valid	expXIc
5	1	0	1	1	0	1	2	300	1	3	404781	405081	1	1	1	1	405880	799	block start	expXIc
5	1	0	2	2	0	1	2	-110	4	2	410413	410523	3	4	0	1	411623	1100	valid	expXIc
5	1	0	3	3	0	1	2	110	2	4	415894	416004	2	2	1	1	417054	1050	valid	expXIc
5	1	0	4	4	0	1	2	-50	3	2	421542	421592	4	3	0	1	423889	2297	valid	expXIc
5	1	0	5	5	0	1	2	50	4	1	427174	427224	1	1	0	0	429159	1935	valid	expXIc
5	1	0	6	6	0	1	2	-110	1	2	432622	432732	1	1	0	1	434191	1459	valid	expXIc
5	1	0	7	7	0	1	2	300	2	3	438320	438620	0	0	2	99	0	0	no reaction	expXIc
5	1	0	8	8	0	1	2	300	4	3	443652	443952	3	4	1	1	444965	1013	valid	expXIc
5	1	0	9	9	0	1	2	50	2	3	449283	449333	2	2	1	1	450566	1233	valid	expXIc
5	1	0	10	10	0	1	2	-300	1	2	454615	454915	1	1	0	1	455806	891	valid	expXIc
5	1	0	11	11	0	1	2	-50	1	2	460196	460246	1	1	0	1	461669	1423	valid	expXIc
5	1	0	12	12	0	1	2	50	1	3	465861	465911	1	1	1	1	467586	1675	valid	expXIc
5	1	0	13	13	0	1	2	110	1	3	471309	471419	0	0	2	99	0	0	no reaction	expXIc
5	1	0	14	14	0	1	2	50	2	1	476457	476507	0	0	2	99	0	0	no reaction	expXIc
5	1	0	15	15	0	1	2	-110	3	2	481539	481649	4	3	0	1	483473	1824	valid	expXIc
5	1	0	16	16	0	1	2	-50	1	4	486987	487037	0	0	2	99	0	0	no reaction	expXIc
5	1	0	17	17	0	1	2	-300	3	1	492069	492369	4	3	0	1	493430	1061	valid	expXIc
5	1	0	18	18	0	1	2	300	2	1	497684	497984	0	0	2	99	0	0	no reaction	expXIc
5	1	0	19	19	0	1	2	-50	3	4	503015	503065	3	4	1	0	504325	1260	valid	expXIc
5	1	0	20	20	0	1	2	-300	1	4	508330	508630	1	1	0	1	509827	1197	valid	expXIc
5	1	0	21	21	0	1	2	-50	4	2	513978	514028	3	4	0	1	516097	2069	valid	expXIc
5	1	0	22	22	0	1	2	-300	4	2	519493	519793	0	0	2	99	0	0	no reaction	expXIc
5	1	0	23	23	0	1	2	-110	1	4	524825	524935	1	1	0	1	526476	1541	valid	expXIc
5	1	0	24	24	0	1	2	50	2	4	530473	530523	2	2	1	1	531501	978	valid	expXIc
5	1	0	25	25	0	1	2	110	4	1	535854	535964	3	4	1	1	537638	1674	valid	expXIc
5	1	0	26	26	0	1	2	-50	3	1	541786	541836	4	3	0	1	543157	1321	valid	expXIc
5	1	0	27	27	0	1	2	-110	3	4	547167	547277	4	3	0	1	548839	1562	valid	expXIc
5	1	0	28	28	0	1	2	300	2	4	552599	552899	2	2	1	1	553718	819	valid	expXIc
5	1	0	29	29	0	1	2	300	4	1	558247	558547	3	4	1	1	559941	1394	valid	expXIc
5	1	0	30	30	0	1	2	-300	3	4	563862	564162	4	3	0	1	565013	851	valid	expXIc
5	1	0	31	31	0	1	2	50	4	3	569460	569510	3	4	1	1	570846	1336	valid	expXIc
5	1	0	32	32	0	1	2	110	2	3	574825	574935	0	0	2	99	0	0	no reaction	expXIc
5	1	0	33	33	0	1	2	110	2	1	579973	580083	0	0	2	99	0	0	no reaction	expXIc
5	1	0	34	34	0	1	2	-300	3	2	585122	585422	4	3	0	1	586394	972	valid	expXIc
5	1	0	35	35	0	1	2	110	4	3	590736	590846	3	4	1	1	592366	1520	valid	expXIc
5	1	0	36	36	0	1	2	-110	3	1	596218	596328	0	0	2	99	0	0	no reaction	expXIc
5	1	0	1	37	1	1	2	300	1	3	601366	601666	1	1	1	1	602943	1277	valid	expXIc
5	1	0	7	38	1	1	2	300	2	3	606981	607281	0	0	2	99	0	0	no reaction	expXIc
5	1	0	13	39	1	1	2	110	1	3	612328	612438	1	1	1	1	613495	1057	valid	expXIc
5	1	0	14	40	1	1	2	50	2	1	617726	617776	0	0	2	99	0	0	no reaction	expXIc
5	1	0	16	41	1	1	2	-50	1	4	622808	622858	1	1	0	1	623936	1078	valid	expXIc
5	1	0	18	42	1	1	2	300	2	1	628189	628489	0	0	2	99	0	0	no reaction	expXIc
5	1	0	22	43	1	1	2	-300	4	2	633521	633821	4	3	2	99	634714	893	wrong limb	expXIc
5	1	0	32	44	1	1	2	110	2	3	639169	639279	2	2	1	1	640218	939	valid	expXIc
5	1	0	33	45	1	1	2	110	2	1	644617	644727	2	2	1	1	645690	963	valid	expXIc
5	1	0	36	46	1	1	2	-110	3	1	650082	650192	4	3	0	1	651069	877	valid	expXIc
5	1	0	7	47	2	1	2	300	2	3	655480	655780	2	2	1	1	656699	919	valid	expXIc
5	1	0	14	48	2	1	2	50	2	1	661062	661112	2	2	1	1	662670	1558	valid	expXIc
5	1	0	18	49	2	1	2	300	2	1	666560	666860	2	2	1	1	667803	943	valid	expXIc
5	1	0	22	50	2	1	2	-300	4	2	672191	672491	3	4	0	1	673244	753	valid	expXIc
5	2	0	37	1	0	1	2	-300	3	2	688953	689253	4	3	0	1	690051	798	block start	expXIc
5	2	0	38	2	0	1	2	-110	3	1	694684	694794	4	3	0	1	695962	1168	valid	expXIc
5	2	0	39	3	0	1	2	110	4	3	700216	700326	3	4	1	1	701364	1038	valid	expXIc
5	2	0	40	4	0	1	2	300	2	4	705697	705997	2	2	1	1	706782	785	valid	expXIc
5	2	0	41	5	0	1	2	-300	4	2	711328	711628	3	4	0	1	712501	873	valid	expXIc
5	2	0	42	6	0	1	2	110	2	4	716977	717087	3	4	0	0	718263	1176	valid	expXIc
5	2	0	43	7	0	1	2	-110	3	4	722442	722552	3	4	1	0	723819	1267	valid	expXIc
5	2	0	44	8	0	1	2	50	2	3	727990	728040	2	2	1	1	729292	1252	valid	expXIc
