subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
16	1	1	999	1	0	1	1	-1000	1	2	310518	311518	1	1	0	1	310405	-1113	too early	expXIc
16	1	1	999	2	0	1	1	1000	4	1	340762	341762	4	4	1	1	341778	16	too early	expXIc
16	1	1	999	3	0	1	1	-1000	4	2	350905	351905	4	4	0	1	352334	429	valid	expXIc
16	1	1	999	4	0	1	1	1000	2	3	358782	359782	2	2	1	1	359068	-714	too early	expXIc
16	1	1	999	5	0	1	1	-1000	1	4	365993	366993	1	1	0	1	367795	802	valid	expXIc
16	1	0	1	1	0	1	1	-50	3	1	395397	395447	1	1	1	0	396391	944	block start	expXIc
16	1	0	2	2	0	1	1	-300	3	4	401715	402015	3	3	0	1	402665	650	valid	expXIc
16	1	0	3	3	0	1	1	-50	3	4	408233	408283	3	3	0	1	409099	816	valid	expXIc
16	1	0	4	4	0	1	1	-110	4	2	413991	414101	4	4	0	1	415164	1063	valid	expXIc
16	1	0	5	5	0	1	1	-300	3	1	420709	421009	3	3	0	1	421570	561	valid	expXIc
16	1	0	6	6	0	1	1	110	2	3	426800	426910	2	2	1	1	427656	746	valid	expXIc
16	1	0	7	7	0	1	1	110	1	3	432518	432628	1	1	1	1	433476	848	valid	expXIc
16	1	0	8	8	0	1	1	-110	1	4	439849	439959	1	1	0	1	440809	850	valid	expXIc
16	1	0	9	9	0	1	1	300	2	1	445701	446001	2	2	1	1	446668	667	valid	expXIc
16	1	0	10	10	0	1	1	-50	3	2	451646	451696	2	2	1	0	452507	811	valid	expXIc
16	1	0	11	11	0	1	1	300	2	3	457244	457544	2	2	1	1	458224	680	valid	expXIc
16	1	0	12	12	0	1	1	50	4	3	463122	463172	4	4	1	1	464212	1040	valid	expXIc
16	1	0	13	13	0	1	1	-110	3	2	468880	468990	3	3	0	1	470013	1023	valid	expXIc
16	1	0	14	14	0	1	1	110	2	1	474891	475001	2	2	1	1	475126	125	valid	expXIc
16	1	0	15	15	0	1	1	50	1	3	480663	480713	1	1	1	1	481728	1015	valid	expXIc
16	1	0	16	16	0	1	1	-50	1	4	486434	486484	1	1	0	1	487464	980	valid	expXIc
16	1	0	17	17	0	1	1	-300	1	2	492072	492372	1	1	0	1	493107	735	valid	expXIc
16	1	0	18	18	0	1	1	300	1	3	498364	498664	1	1	1	1	499347	683	valid	expXIc
16	1	0	19	19	0	1	1	110	2	4	504228	504338	2	2	1	1	505136	798	valid	expXIc
16	1	0	20	20	0	1	1	50	2	4	509907	509957	2	2	1	1	510779	822	valid	expXIc
16	1	0	21	21	0	1	1	-110	3	1	515598	515708	3	3	0	1	516479	771	valid	expXIc
16	1	0	22	22	0	1	1	-50	1	2	521329	521379	1	1	0	1	522403	1024	valid	expXIc
16	1	0	23	23	0	1	1	-110	3	4	527234	527344	3	3	0	1	528062	718	valid	expXIc
16	1	0	24	24	0	1	1	50	2	3	533112	533162	2	2	1	1	533925	763	valid	expXIc
16	1	0	25	25	0	1	1	-50	4	2	539617	539667	4	4	0	1	540593	926	valid	expXIc
16	1	0	26	26	0	1	1	50	4	1	545815	545865	4	4	1	1	546705	840	valid	expXIc
16	1	0	27	27	0	1	1	110	4	3	551666	551776	4	4	1	1	552654	878	valid	expXIc
16	1	0	28	28	0	1	1	-300	3	2	557491	557791	3	3	0	1	558609	818	valid	expXIc
16	1	0	29	29	0	1	1	110	4	1	563449	563559	4	4	1	1	564212	653	valid	expXIc
16	1	0	30	30	0	1	1	-300	4	2	570953	571253	4	4	0	1	572110	857	valid	expXIc
16	1	0	31	31	0	1	1	300	4	1	576925	577225	4	4	1	1	577823	598	valid	expXIc
16	1	0	32	32	0	1	1	50	2	1	583016	583066	2	2	1	1	584441	1375	valid	expXIc
16	1	0	33	33	0	1	1	300	4	3	588854	589154	4	4	1	1	589995	841	valid	expXIc
16	1	0	34	34	0	1	1	300	2	4	594652	594952	2	2	1	1	595792	840	valid	expXIc
16	1	0	35	35	0	1	1	-300	1	4	600597	600897	1	1	0	1	601657	760	valid	expXIc
16	1	0	36	36	0	1	1	-110	1	2	606302	606412	1	1	0	1	607269	857	valid	expXIc
16	1	0	1	37	1	1	1	-50	3	1	612060	612110	1	1	1	0	613144	1034	valid	expXIc
16	2	0	37	1	0	1	1	-300	1	2	640437	640737	1	1	0	1	641558	821	block start	expXIc
16	2	0	38	2	0	1	1	110	2	4	647462	647572	2	2	1	1	648363	791	valid	expXIc
16	2	0	39	3	0	1	1	50	4	1	653460	653510	4	4	1	1	654429	919	valid	expXIc
16	2	0	40	4	0	1	1	-50	4	2	659005	659055	2	2	1	0	659969	914	valid	expXIc
16	2	0	41	5	0	1	1	-50	3	1	664656	664706	3	3	0	1	665853	1147	valid	expXIc
16	2	0	42	6	0	1	1	50	2	3	670161	670211	2	2	1	1	670841	630	valid	expXIc
16	2	0	43	7	0	1	1	110	2	1	675373	675483	2	2	1	1	676210	727	valid	expXIc
16	2	0	44	8	0	1	1	50	1	3	680971	681021	1	1	1	1	682060	1039	valid	expXIc
16	2	0	45	9	0	1	1	300	2	1	686741	687041	2	2	1	1	687687	646	valid	expXIc
16	2	0	46	10	0	1	1	110	4	3	692607	692717	4	4	1	1	693363	646	valid	expXIc
16	2	0	47	11	0	1	1	-110	3	4	698392	698502	3	3	0	1	699192	690	valid	expXIc
16	2	0	48	12	0	1	1	300	2	4	704217	704517	2	2	1	1	705252	735	valid	expXIc
16	2	0	49	13	0	1	1	-110	3	1	710135	710245	3	3	0	1	711050	805	valid	expXIc
16	2	0	50	14	0	1	1	-300	3	2	716066	716366	3	3	0	1	717069	703	valid	expXIc
16	2	0	51	15	0	1	1	50	4	3	722451	722501	4	4	1	1	723425	924	valid	expXIc
16	2	0	52	16	0	1	1	-300	3	4	728182	728482	3	3	0	1	729156	674	valid	expXIc
16	2	0	53	17	0	1	1	50	2	1	734567	734617	2	2	1	1	735409	792	valid	expXIc
16	2	0	54	18	0	1	1	-110	4	2	742897	743007	4	4	0	1	743890	883	valid	expXIc
16	2	0	55	19	0	1	1	50	2	4	749269	749319	2	2	1	1	750127	808	valid	expXIc
16	2	0	56	20	0	1	1	-50	3	2	755040	755090	2	2	1	0	756332	1242	valid	expXIc
16	2	0	57	21	0	1	1	-300	1	4	760918	761218	1	1	0	1	761499	281	valid	expXIc
16	2	0	58	22	0	1	1	110	1	3	767956	768066	1	1	1	1	768842	776	valid	expXIc
16	2	0	59	23	0	1	1	-300	4	2	775807	776107	4	4	0	1	776932	825	valid	expXIc
