subNo	blocNo	practiceLevel	trialID	trialNo	repeated	handPosition	feetPosition	soa	firstLimb	secondLimb	timeTojStimulus1	timeTojStimulus2	buttonToj	buttonRealigned	buttonTojRight	correctnessToj	timeTojReaction	responsetimeToj	validityTOJ	expName
15	1	1	999	1	0	2	2	-1000	1	4	209680	210680	0	0	2	99	0	0	no reaction	expXIc
15	1	1	999	2	0	2	2	-1000	1	2	216710	217710	0	0	2	99	0	0	no reaction	expXIc
15	1	1	999	3	0	2	2	-1000	3	2	223752	224752	4	3	0	1	224687	-65	too early	expXIc
15	1	1	999	4	0	2	2	1000	1	3	230150	231150	2	1	1	1	231336	186	valid	expXIc
15	1	1	999	5	0	2	2	1000	4	1	236531	237531	3	4	1	1	238248	717	valid	expXIc
15	1	0	1	1	0	2	2	-110	1	2	251326	251436	2	1	0	1	252287	851	block start	expXIc
15	1	0	2	2	0	2	2	-110	4	2	256791	256901	3	4	0	1	258489	1588	valid	expXIc
15	1	0	3	3	0	2	2	-300	1	4	262306	262606	2	1	0	1	263211	605	valid	expXIc
15	1	0	4	4	0	2	2	110	2	3	267938	268048	2	1	2	99	269073	1025	wrong limb	expXIc
15	1	0	5	5	0	2	2	-50	3	2	273452	273502	4	3	0	1	275760	2258	valid	expXIc
15	1	0	6	6	0	2	2	50	2	1	279284	279334	1	2	1	1	280114	780	valid	expXIc
15	1	0	7	7	0	2	2	110	2	1	285432	285542	1	2	1	1	286678	1136	valid	expXIc
15	1	0	8	8	0	2	2	300	4	1	290963	291263	3	4	1	1	291924	661	valid	expXIc
15	1	0	9	9	0	2	2	-50	3	4	296595	296645	4	3	0	1	297436	791	valid	expXIc
15	1	0	10	10	0	2	2	-50	1	4	301976	302026	2	1	0	1	302764	738	valid	expXIc
15	1	0	11	11	0	2	2	300	4	3	307874	308174	3	4	1	1	308869	695	valid	expXIc
15	1	0	12	12	0	2	2	50	4	3	313473	313523	3	4	1	1	314448	925	valid	expXIc
15	1	0	13	13	0	2	2	-110	3	4	318837	318947	3	4	1	0	320955	2008	valid	expXIc
15	1	0	14	14	0	2	2	300	2	4	324569	324869	1	2	1	1	325677	808	valid	expXIc
15	1	0	15	15	0	2	2	110	4	1	330933	331043	4	3	2	99	332536	1493	wrong limb	expXIc
15	1	0	16	16	0	2	2	300	1	3	336598	336898	2	1	1	1	337622	724	valid	expXIc
15	1	0	17	17	0	2	2	50	2	4	342246	342296	1	2	1	1	343761	1465	valid	expXIc
15	1	0	18	18	0	2	2	-110	3	2	347861	347971	4	3	0	1	350344	2373	valid	expXIc
15	1	0	19	19	0	2	2	50	2	3	354159	354209	4	3	0	0	355518	1309	valid	expXIc
15	1	0	20	20	0	2	2	300	2	3	359657	359957	1	2	1	1	360614	657	valid	expXIc
15	1	0	21	21	0	2	2	-300	3	1	365755	366055	4	3	0	1	367110	1055	valid	expXIc
15	1	0	22	22	0	2	2	-110	3	1	371420	371530	4	3	0	1	372571	1041	valid	expXIc
15	1	0	23	23	0	2	2	-300	3	4	376885	377185	4	3	0	1	378490	1305	valid	expXIc
15	1	0	24	24	0	2	2	-300	4	2	382516	382816	4	3	2	99	384980	2164	wrong limb	expXIc
15	1	0	25	25	0	2	2	-50	3	1	389098	389148	1	2	2	99	391853	2705	wrong limb	expXIc
15	1	0	26	26	0	2	2	50	1	3	395795	395845	2	1	1	1	396728	883	valid	expXIc
15	1	0	27	27	0	2	2	-50	1	2	401177	401227	1	2	1	0	402295	1068	valid	expXIc
15	1	0	28	28	0	2	2	110	1	3	407391	407501	1	2	2	99	409751	2250	wrong limb	expXIc
15	1	0	29	29	0	2	2	110	2	4	412923	413033	1	2	1	1	414610	1577	valid	expXIc
15	1	0	30	30	0	2	2	-50	4	2	418438	418488	1	2	1	0	420252	1764	valid	expXIc
15	1	0	31	31	0	2	2	300	2	1	424886	425186	1	2	1	1	425993	807	valid	expXIc
15	1	0	32	32	0	2	2	110	4	3	430600	430710	4	3	0	0	432377	1667	valid	expXIc
15	1	0	33	33	0	2	2	-110	1	4	436199	436309	2	1	0	1	437072	763	valid	expXIc
15	1	0	34	34	0	2	2	-300	1	2	441747	442047	2	1	0	1	442749	702	valid	expXIc
15	1	0	35	35	0	2	2	50	4	1	447395	447445	2	1	0	0	449634	2189	valid	expXIc
15	1	0	36	36	0	2	2	-300	3	2	452960	453260	4	3	0	1	453873	613	valid	expXIc
15	1	0	1	37	1	2	2	-110	1	2	458558	458668	1	2	1	0	460436	1768	valid	expXIc
15	1	0	4	38	1	2	2	110	2	3	464206	464316	2	1	2	99	465236	920	wrong limb	expXIc
15	1	0	15	39	1	2	2	110	4	1	469654	469764	1	2	2	99	472196	2432	wrong limb	expXIc
15	1	0	24	40	1	2	2	-300	4	2	475852	476152	3	4	0	1	476853	701	valid	expXIc
15	1	0	25	41	1	2	2	-50	3	1	481517	481567	3	4	2	99	482485	918	wrong limb	expXIc
15	1	0	28	42	1	2	2	110	1	3	486915	487025	2	1	1	1	487871	846	valid	expXIc
15	1	0	4	43	2	2	2	110	2	3	492380	492490	1	2	1	1	493191	701	valid	expXIc
15	1	0	15	44	2	2	2	110	4	1	497845	497955	3	4	1	1	499615	1660	valid	expXIc
15	1	0	25	45	2	2	2	-50	3	1	503343	503393	1	2	2	99	506248	2855	wrong limb	expXIc
15	1	0	25	46	3	2	2	-50	3	1	509841	509891	3	4	2	99	511082	1191	wrong limb	expXIc
15	1	0	25	47	4	2	2	-50	3	1	515306	515356	3	4	2	99	516656	1300	wrong limb	expXIc
15	1	0	25	48	5	2	2	-50	3	1	520771	520821	1	2	2	99	523459	2638	wrong limb	expXIc
15	1	0	25	49	6	2	2	-50	3	1	527485	527535	1	2	2	99	530330	2795	wrong limb	expXIc
15	1	0	25	50	7	2	2	-50	3	1	533200	533250	0	0	2	99	0	0	no reaction	expXIc
15	1	0	25	51	8	2	2	-50	3	1	538281	538331	0	0	2	99	0	0	no reaction	expXIc
15	1	0	25	52	9	2	2	-50	3	1	543363	543413	4	3	0	1	544839	1426	valid	expXIc
15	2	0	37	1	0	2	2	110	1	3	569971	570081	2	1	1	1	570816	735	block start	expXIc
15	2	0	38	2	0	2	2	-110	4	2	575419	575529	3	4	0	1	576433	904	valid	expXIc
15	2	0	39	3	0	2	2	-300	1	2	582334	582634	2	1	0	1	583185	551	valid	expXIc
15	2	0	40	4	0	2	2	-110	1	2	587998	588108	2	1	0	1	588838	730	valid	expXIc
15	2	0	41	5	0	2	2	-300	3	2	593763	594063	4	3	0	1	594525	462	valid	expXIc
15	2	0	42	6	0	2	2	-110	1	4	599395	599505	4	3	2	99	600196	691	wrong limb	expXIc
15	2	0	43	7	0	2	2	110	2	3	606675	606785	1	2	1	1	607612	827	valid	expXIc
15	2	0	44	8	0	2	2	-300	3	1	612507	612807	4	3	0	1	614427	1620	valid	expXIc
15	2	0	45	9	0	2	2	-50	3	2	618438	618488	1	2	1	0	621139	2651	valid	expXIc
15	2	0	46	10	0	2	2	50	2	3	625236	625286	0	0	2	99	0	0	no reaction	expXIc
15	2	0	47	11	0	2	2	50	2	1	630318	630368	2	1	0	0	631862	1494	valid	expXIc
15	2	0	48	12	0	2	2	-50	3	4	635716	635766	4	3	0	1	636846	1080	valid	expXIc
15	2	0	49	13	0	2	2	-50	1	2	641114	641164	0	0	2	99	0	0	no reaction	expXIc
15	2	0	50	14	0	2	2	-50	1	4	646196	646246	2	1	0	1	647129	883	valid	expXIc
15	2	0	51	15	0	2	2	-50	3	1	651661	651711	0	0	2	99	0	0	no reaction	expXIc
15	2	0	52	16	0	2	2	-300	1	4	656742	657042	2	1	0	1	657802	760	valid	expXIc
15	2	0	53	17	0	2	2	-50	4	2	662490	662540	3	4	0	1	665103	2563	valid	expXIc
15	2	0	54	18	0	2	2	50	1	3	669755	669805	4	3	0	0	670830	1025	valid	expXIc
15	2	0	55	19	0	2	2	-110	3	4	675253	675363	4	3	0	1	676004	641	valid	expXIc
15	2	0	56	20	0	2	2	50	4	3	680666	680716	4	3	0	0	681611	895	valid	expXIc
15	2	0	57	21	0	2	2	-110	3	1	686116	686226	4	3	0	1	686982	756	valid	expXIc
15	2	0	58	22	0	2	2	300	2	3	691647	691947	0	0	2	99	0	0	no reaction	expXIc
15	2	0	59	23	0	2	2	-300	3	4	696978	697278	4	3	0	1	698016	738	valid	expXIc
15	2	0	60	24	0	2	2	110	4	1	702610	702720	3	4	1	1	703377	657	valid	expXIc
15	2	0	61	25	0	2	2	300	1	3	708109	708409	2	1	1	1	708987	578	valid	expXIc
15	2	0	62	26	0	2	2	50	2	4	713790	713840	1	2	1	1	714900	1060	valid	expXIc
15	2	0	63	27	0	2	2	110	2	1	719422	719532	1	2	1	1	720236	704	valid	expXIc
15	2	0	64	28	0	2	2	300	2	4	725453	725753	1	2	1	1	726376	623	valid	expXIc
15	2	0	65	29	0	2	2	-110	3	2	731534	731644	4	3	0	1	732434	790	valid	expXIc
15	2	0	66	30	0	2	2	110	2	4	737049	737159	1	2	1	1	737346	187	valid	expXIc
15	2	0	67	31	0	2	2	-300	4	2	742481	742781	3	4	0	1	743733	952	valid	expXIc
15	2	0	68	32	0	2	2	50	4	1	748179	748229	2	1	0	0	749106	877	valid	expXIc
15	2	0	69	33	0	2	2	300	4	1	753610	753910	3	4	1	1	754883	973	valid	expXIc
15	2	0	70	34	0	2	2	110	4	3	759258	759368	4	3	0	0	760580	1212	valid	expXIc
15	2	0	71	35	0	2	2	300	2	1	764740	765040	1	2	1	1	765599	559	valid	expXIc
15	2	0	72	36	0	2	2	300	4	3	770838	771138	3	4	1	1	771775	637	valid	expXIc
15	2	0	37	37	1	2	2	110	1	3	776553	776663	2	1	1	1	777333	670	valid	expXIc
15	2	0	42	38	1	2	2	-110	1	4	782001	782111	3	4	1	0	783209	1098	valid	expXIc
15	2	0	46	39	1	2	2	50	2	3	787466	787516	0	0	2	99	0	0	no reaction	expXIc
15	2	0	49	40	1	2	2	-50	1	2	792547	792597	2	1	0	1	793335	738	valid	expXIc
15	2	0	51	41	1	2	2	-50	3	1	797929	797979	2	1	1	0	798760	781	valid	expXIc
15	2	0	58	42	1	2	2	300	2	3	803344	803644	1	2	1	1	804397	753	valid	expXIc
15	2	0	46	43	2	2	2	50	2	3	810658	810708	1	2	1	1	811489	781	valid	expXIc
15	3	1	999	1	0	2	1	1000	4	1	864490	865490	4	4	1	1	865312	-178	too early	expXIc
15	3	1	999	2	0	2	1	-1000	3	4	870955	871955	3	3	0	1	872582	627	valid	expXIc
15	3	1	999	3	0	2	1	-1000	3	4	877653	878653	0	0	2	99	0	0	no reaction	expXIc
15	3	1	999	4	0	2	1	1000	4	3	884700	885700	4	4	1	1	886392	692	valid	expXIc
15	3	1	999	5	0	2	1	1000	4	3	891081	892081	4	4	1	1	892548	467	valid	expXIc
15	3	0	73	1	0	2	1	-110	4	2	902911	903021	4	4	0	1	903785	764	block start	expXIc
15	3	0	74	2	0	2	1	-50	1	4	908442	908492	2	1	0	1	909206	714	valid	expXIc
15	3	0	75	3	0	2	1	-50	3	2	913807	913857	1	2	1	0	914862	1005	valid	expXIc
15	3	0	76	4	0	2	1	300	2	4	919205	919505	1	2	1	1	920016	511	valid	expXIc
15	3	0	77	5	0	2	1	-300	3	4	924920	925220	3	3	0	1	925753	533	valid	expXIc
15	3	0	78	6	0	2	1	-110	3	4	930702	930812	3	3	0	1	931381	569	valid	expXIc
15	3	0	79	7	0	2	1	-300	1	2	936933	937233	2	1	0	1	937875	642	valid	expXIc
15	3	0	80	8	0	2	1	50	2	4	942598	942648	2	1	2	99	943349	701	wrong limb	expXIc
15	3	0	81	9	0	2	1	-300	3	2	947963	948263	3	3	0	1	948864	601	valid	expXIc
15	3	0	82	10	0	2	1	-110	1	2	953594	953704	1	2	1	0	954600	896	valid	expXIc
15	3	0	83	11	0	2	1	-110	3	1	959959	960069	3	3	0	1	960859	790	valid	expXIc
15	3	0	84	12	0	2	1	50	2	1	965557	965607	1	2	1	1	966923	1316	valid	expXIc
15	3	0	85	13	0	2	1	-300	4	2	971388	971688	4	4	0	1	972235	547	valid	expXIc
15	3	0	86	14	0	2	1	50	4	1	977203	977253	4	4	1	1	978591	1338	valid	expXIc
15	3	0	87	15	0	2	1	110	2	4	983567	983677	1	2	1	1	984974	1297	valid	expXIc
15	3	0	88	16	0	2	1	110	1	3	989565	989675	2	1	1	1	990393	718	valid	expXIc
15	3	0	89	17	0	2	1	110	2	1	995147	995257	1	2	1	1	995918	661	valid	expXIc
15	3	0	90	18	0	2	1	-110	1	4	1000678	1000788	2	1	0	1	1001527	739	valid	expXIc
15	3	0	91	19	0	2	1	-110	3	2	1006226	1006336	3	3	0	1	1007023	687	valid	expXIc
15	3	0	92	20	0	2	1	300	1	3	1012225	1012525	2	1	1	1	1013666	1141	valid	expXIc
15	3	0	93	21	0	2	1	-50	3	4	1018423	1018473	3	3	0	1	1019292	819	valid	expXIc
15	3	0	94	22	0	2	1	-50	1	2	1023837	1023887	2	1	0	1	1024686	799	valid	expXIc
15	3	0	95	23	0	2	1	110	4	1	1030452	1030562	4	4	1	1	1031250	688	valid	expXIc
15	3	0	96	24	0	2	1	50	4	3	1036050	1036100	4	4	1	1	1036920	820	valid	expXIc
15	3	0	97	25	0	2	1	50	2	3	1041398	1041448	1	2	1	1	1043200	1752	valid	expXIc
15	3	0	98	26	0	2	1	300	4	1	1047630	1047930	4	4	1	1	1048377	447	valid	expXIc
15	3	0	99	27	0	2	1	-300	1	4	1053328	1053628	2	1	0	1	1054194	566	valid	expXIc
15	3	0	100	28	0	2	1	-50	3	1	1059259	1059309	3	3	0	1	1060015	706	valid	expXIc
15	3	0	101	29	0	2	1	300	2	3	1064624	1064924	1	2	1	1	1065536	612	valid	expXIc
15	3	0	102	30	0	2	1	-300	3	1	1070305	1070605	3	3	0	1	1071195	590	valid	expXIc
15	3	0	103	31	0	2	1	300	2	1	1075937	1076237	0	0	2	99	0	0	no reaction	expXIc
15	3	0	104	32	0	2	1	-50	4	2	1081268	1081318	4	4	0	1	1082840	1522	valid	expXIc
15	3	0	105	33	0	2	1	110	2	3	1086667	1086777	1	2	1	1	1087458	681	valid	expXIc
15	3	0	106	34	0	2	1	50	1	3	1092165	1092215	3	3	0	0	1094415	2200	valid	expXIc
15	3	0	107	35	0	2	1	110	4	3	1098096	1098206	4	4	1	1	1099017	811	valid	expXIc
15	3	0	108	36	0	2	1	300	4	3	1103261	1103561	4	4	1	1	1104025	464	valid	expXIc
15	3	0	73	37	1	2	1	-110	4	2	1109143	1109253	4	4	0	1	1109851	598	valid	expXIc
15	3	0	80	38	1	2	1	50	2	4	1114674	1114724	4	4	0	0	1116081	1357	valid	expXIc
15	3	0	103	39	1	2	1	300	2	1	1120122	1120422	1	2	1	1	1121109	687	valid	expXIc
15	4	0	109	1	0	2	1	50	2	3	1131385	1131435	1	2	1	1	1132209	774	block start	expXIc
15	4	0	110	2	0	2	1	-50	4	2	1136767	1136817	1	2	1	0	1138885	2068	valid	expXIc
15	4	0	111	3	0	2	1	-50	1	4	1142615	1142665	1	2	2	99	1144455	1790	wrong limb	expXIc
15	4	0	112	4	0	2	1	-110	4	2	1148080	1148190	4	4	0	1	1148824	634	valid	expXIc
15	4	0	113	5	0	2	1	300	2	3	1153461	1153761	1	2	1	1	1154350	589	valid	expXIc
15	4	0	114	6	0	2	1	110	2	4	1159593	1159703	1	2	1	1	1160407	704	valid	expXIc
15	4	0	115	7	0	2	1	300	2	1	1165191	1165491	1	2	1	1	1166209	718	valid	expXIc
15	4	0	116	8	0	2	1	300	4	3	1170839	1171139	4	4	1	1	1172465	1326	valid	expXIc
15	4	0	117	9	0	2	1	-50	3	1	1176403	1176453	1	2	2	99	1177818	1365	wrong limb	expXIc
15	4	0	118	10	0	2	1	-50	1	2	1181985	1182035	2	1	0	1	1183778	1743	valid	expXIc
15	4	0	119	11	0	2	1	-110	3	4	1187500	1187610	3	3	0	1	1188252	642	valid	expXIc
15	4	0	120	12	0	2	1	50	4	1	1192931	1192981	3	3	2	99	1195311	2330	wrong limb	expXIc
15	4	0	121	13	0	2	1	110	2	1	1198513	1198623	1	2	1	1	1199439	816	valid	expXIc
15	4	0	122	14	0	2	1	110	4	3	1203994	1204104	4	4	1	1	1204815	711	valid	expXIc
15	4	0	123	15	0	2	1	110	1	3	1209443	1209553	2	1	1	1	1211660	2107	valid	expXIc
15	4	0	124	16	0	2	1	-50	3	2	1215241	1215291	3	3	0	1	1216294	1003	valid	expXIc
15	4	0	125	17	0	2	1	110	4	1	1220739	1220849	4	4	1	1	1221446	597	valid	expXIc
15	4	0	126	18	0	2	1	-300	3	4	1226154	1226454	0	0	2	99	0	0	no reaction	expXIc
15	4	0	127	19	0	2	1	50	1	3	1231485	1231535	0	0	2	99	0	0	no reaction	expXIc
15	4	0	128	20	0	2	1	50	2	4	1236567	1236617	1	2	1	1	1237386	769	valid	expXIc
15	4	0	129	21	0	2	1	-300	3	1	1242015	1242315	3	3	0	1	1242899	584	valid	expXIc
15	4	0	130	22	0	2	1	300	2	4	1247697	1247997	1	2	1	1	1248795	798	valid	expXIc
15	4	0	131	23	0	2	1	-110	1	4	1253345	1253455	2	1	0	1	1255092	1637	valid	expXIc
15	4	0	132	24	0	2	1	-300	4	2	1258793	1259093	4	4	0	1	1259586	493	valid	expXIc
15	4	0	133	25	0	2	1	110	2	3	1264425	1264535	1	2	1	1	1265519	984	valid	expXIc
15	4	0	134	26	0	2	1	50	4	3	1269939	1269989	4	4	1	1	1270619	630	valid	expXIc
15	4	0	135	27	0	2	1	-300	3	2	1275321	1275621	3	3	0	1	1276172	551	valid	expXIc
15	4	0	136	28	0	2	1	-300	1	2	1280952	1281252	2	1	0	1	1281688	436	valid	expXIc
15	4	0	137	29	0	2	1	50	2	1	1286700	1286750	1	2	1	1	1287577	827	valid	expXIc
15	4	0	138	30	0	2	1	300	1	3	1292149	1292449	2	1	1	1	1293008	559	valid	expXIc
15	4	0	139	31	0	2	1	-50	3	4	1297780	1297830	4	4	1	0	1298618	788	valid	expXIc
15	4	0	140	32	0	2	1	-110	3	1	1303328	1303438	3	3	0	1	1304708	1270	valid	expXIc
15	4	0	141	33	0	2	1	-300	1	4	1308860	1309160	0	0	2	99	0	0	no reaction	expXIc
15	4	0	142	34	0	2	1	-110	1	2	1314191	1314301	0	0	2	99	0	0	no reaction	expXIc
15	4	0	143	35	0	2	1	300	4	1	1319340	1319640	4	4	1	1	1320104	464	valid	expXIc
15	4	0	144	36	0	2	1	-110	3	2	1325138	1325248	3	3	0	1	1326591	1343	valid	expXIc
15	4	0	109	37	1	2	1	50	2	3	1330603	1330653	1	2	1	1	1331387	734	valid	expXIc
15	4	0	111	38	1	2	1	-50	1	4	1336134	1336184	2	1	0	1	1336847	663	valid	expXIc
